epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.543087,0.543087,0.530179,0.807822,0.807822,0.621359
1,0.377382,0.377382,0.437218,0.729340,0.729340,0.587791
2,0.356229,0.356229,0.423243,0.718773,0.718773,0.585541
3,0.347757,0.347757,0.418066,0.727571,0.727571,0.585952
4,0.343448,0.343448,0.416117,0.723291,0.723291,0.582700
5,0.336720,0.336720,0.411833,0.702986,0.702986,0.574859
6,0.334514,0.334514,0.410753,0.704110,0.704110,0.577228
7,0.332735,0.332735,0.409865,0.695164,0.695164,0.574463
8,0.329774,0.329774,0.408219,0.702573,0.702573,0.577738
9,0.328448,0.328448,0.408043,0.704944,0.704944,0.577833
