head,data,heterogeneous,seed,delta_mse,delta_mae,relative_mse_pct
flatten,ETTh1,False,7,0.009819115162062242,0.00856338432316156,2.3173345637569565
flatten,ETTh1,False,13,-0.0014602738278501892,0.0007769622759409844,-0.3351470955348934
flatten,ETTh1,False,21,0.018073351455483833,0.014442540001903426,4.197199576425681
flatten,ETTh1,True,7,0.013255878273274069,0.009807879785043161,3.1697873856288084
flatten,ETTh1,True,13,-0.003281881290781663,-0.0012385885875987324,-0.7668488186773792
flatten,ETTh1,True,21,0.0038135438464780846,0.004388605671524659,0.8955615665305894
flatten,ETTh2,False,7,-0.04588016451117283,-0.03208375303426314,-12.543961888128695
flatten,ETTh2,False,13,-0.0420457257001412,-0.016868071264164786,-10.201189713655069
flatten,ETTh2,False,21,-0.00026823665708419764,-0.0018226791683714216,-0.08404016094927247
flatten,ETTh2,True,7,-0.0002765765987277624,0.001444547750108105,-0.07864247714756134
flatten,ETTh2,True,13,-0.003444129161974785,-2.5178246954027372e-06,-1.0539588301983094
flatten,ETTh2,True,21,-0.001677829760490912,-0.00030070890108241377,-0.5044727220342327
