architecture,horizon,heterogeneous,seed,delta_mse,delta_mae
patch_snn,96,False,7,-0.010659293893010208,-0.006790118636682746
patch_snn,96,False,13,-0.02537928648022611,-0.017557431176402738
patch_snn,96,False,21,0.007974148752309868,0.005577162945463038
patch_snn,96,True,7,-0.00113447965601976,-0.0016675198197689534
patch_snn,96,True,13,-0.006501563813737621,-0.005371031489261047
patch_snn,96,True,21,-0.0012961020322809214,-0.0013388496102983982
patch_snn,720,False,7,0.04098249304441043,0.018490619107346618
patch_snn,720,False,13,0.011573000277148249,0.00489435505932212
patch_snn,720,False,21,0.0038289190721843003,0.001954828483974602
patch_snn,720,True,7,0.021570279764664857,0.009621618812824972
patch_snn,720,True,13,0.01711582949573437,0.004161608115474336
patch_snn,720,True,21,0.05748676735312713,0.022892405766448187
spike_tcn,96,False,7,-0.018030524674555293,-0.01176018435555079
spike_tcn,96,False,13,-0.021752999763995695,-0.0080455544941119
spike_tcn,96,False,21,0.008902557399199845,0.0063099304167659465
spike_tcn,96,True,7,0.006489650837273181,0.005626213767575661
spike_tcn,96,True,13,-0.0033630052263782517,-0.0006205532061470953
spike_tcn,96,True,21,0.0010678570429935308,0.002043948385221095
spike_tcn,720,False,7,0.009929102999979622,0.0026827243220550745
spike_tcn,720,False,13,0.003191742928895458,-0.0039545866744621905
spike_tcn,720,False,21,0.05901487073590056,0.011792671894994222
spike_tcn,720,True,7,0.08735007133181338,0.03370829227394867
spike_tcn,720,True,13,-0.052580397552782765,-0.02122278208583528
spike_tcn,720,True,21,-0.005630584151293028,-0.003614638939835768
