epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.537305,0.537305,0.530490,0.872685,0.872685,0.652535
1,0.406458,0.406458,0.459294,0.816463,0.816463,0.630486
2,0.384711,0.384711,0.445321,0.763936,0.763936,0.609551
3,0.373250,0.373250,0.438477,0.758657,0.758657,0.605046
4,0.364360,0.364360,0.431952,0.743002,0.743002,0.598711
5,0.357393,0.357393,0.427128,0.725332,0.725332,0.591300
6,0.353185,0.353185,0.424281,0.718485,0.718485,0.588265
7,0.349288,0.349288,0.421677,0.732824,0.732824,0.594138
8,0.345555,0.345555,0.419012,0.723528,0.723528,0.590163
9,0.341649,0.341649,0.416797,0.724161,0.724161,0.588700
