epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.534692,0.534692,0.528486,0.872986,0.872986,0.652962
1,0.405278,0.405278,0.457924,0.819400,0.819400,0.631984
2,0.385039,0.385039,0.445126,0.771298,0.771298,0.613772
3,0.372899,0.372899,0.437872,0.761630,0.761630,0.606489
4,0.363673,0.363673,0.431490,0.746500,0.746500,0.601082
5,0.357636,0.357636,0.427222,0.733450,0.733450,0.594859
6,0.353780,0.353780,0.424833,0.725118,0.725118,0.590612
7,0.349575,0.349575,0.421897,0.734623,0.734623,0.595033
8,0.344896,0.344896,0.418752,0.728020,0.728020,0.592656
9,0.341415,0.341415,0.416550,0.730965,0.730965,0.592264
