horizon_zero_based,mse,mae
0,0.23626274757,0.350477596243
1,0.291007837754,0.383359106823
2,0.33129293003,0.402532587841
3,0.360554304978,0.415339445353
4,0.372658542661,0.418575413194
5,0.378844856963,0.420139172173
6,0.380115866047,0.419908754238
7,0.37778007597,0.417500294228
8,0.388462856851,0.42454132992
9,0.392552308557,0.427616580478
10,0.392646496383,0.42786628682
11,0.399339038912,0.435969292013
12,0.391429300592,0.427570204122
13,0.389157769366,0.425115456565
14,0.384583269294,0.421666292333
15,0.377390512874,0.415763400741
16,0.383961824469,0.41937600716
17,0.389140665592,0.420715897847
18,0.387335130214,0.420315981859
19,0.389456190955,0.42401134504
20,0.38309860343,0.417714743203
21,0.382205213363,0.41756300546
22,0.377878148085,0.416054626006
23,0.377479717379,0.415737523601
24,0.393944990998,0.426526405502
25,0.407847506053,0.434202608222
26,0.416751179444,0.439625450031
27,0.422494130026,0.442245388734
28,0.420790296987,0.437882265551
29,0.418674208098,0.437537852352
30,0.412608878209,0.433398395943
31,0.411056239657,0.432794688687
32,0.421811952661,0.438629239978
33,0.425355765909,0.440428216035
34,0.422217479928,0.438459188639
35,0.425798995244,0.444960296916
36,0.421235559529,0.440703445966
37,0.415727289642,0.435071931715
38,0.410560932099,0.431975214231
39,0.407016224346,0.428540968224
40,0.416079513532,0.435758950781
41,0.417604250684,0.436489809239
42,0.417351850981,0.43778121436
43,0.419448352634,0.440943609754
44,0.412289479325,0.433073129878
45,0.415031300846,0.435309363666
46,0.411659330531,0.433497711787
47,0.408575467597,0.431489302407
48,0.426828592085,0.44602826963
49,0.43337525747,0.450354894681
50,0.439660982277,0.45298695606
51,0.444452520401,0.456654789687
52,0.442576321046,0.451305362809
53,0.439105363656,0.447124612613
54,0.434492882497,0.446427927927
55,0.430505039913,0.442072622511
56,0.440310014434,0.447215587407
57,0.445929488362,0.452902010129
58,0.441795083638,0.449659845989
59,0.445035185622,0.454849744242
60,0.441399889637,0.45062812646
61,0.437000997962,0.446653147031
62,0.433840359661,0.445742754646
63,0.433439828126,0.444613528678
64,0.442838674699,0.451078794219
65,0.445260871831,0.452337218514
66,0.444028026408,0.451415312567
67,0.446732123969,0.453724942017
68,0.443460313635,0.448299306167
69,0.441296081931,0.447105349315
70,0.441488495643,0.448474000658
71,0.439194768482,0.446541501768
72,0.453935952402,0.457460264417
73,0.464838155747,0.465646448729
74,0.468630347917,0.466709662977
75,0.47369355491,0.4709900624
76,0.46768225698,0.463932507858
77,0.464279788888,0.461612853781
78,0.46025912112,0.460422428888
79,0.454644858974,0.455957085309
80,0.466348152611,0.464560624404
81,0.469648099189,0.466584434506
82,0.465929407542,0.462093765398
83,0.466252242347,0.463078556352
84,0.463450602232,0.45900506552
85,0.458923269164,0.456569325222
86,0.455179357211,0.455883257915
87,0.459796618832,0.460337284698
88,0.470254332453,0.46717677537
89,0.475861500043,0.473117787813
90,0.472420902376,0.469537407709
91,0.473803975814,0.472457920906
92,0.468530288112,0.465002533598
93,0.462601742903,0.461564883824
94,0.459660643588,0.461429525245
95,0.462771455326,0.462824878477
