epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.546688,0.546688,0.534744,0.921400,0.921400,0.677223
1,0.419423,0.419423,0.466275,0.874863,0.874863,0.660705
2,0.407780,0.407780,0.459843,0.843506,0.843506,0.644392
3,0.397377,0.397377,0.453038,0.831385,0.831385,0.640640
4,0.390264,0.390264,0.448235,0.815158,0.815158,0.631700
5,0.385586,0.385586,0.445106,0.815070,0.815070,0.632515
6,0.380177,0.380177,0.441817,0.810724,0.810724,0.628392
7,0.376487,0.376487,0.439948,0.792195,0.792195,0.621236
8,0.373926,0.373926,0.438231,0.791614,0.791614,0.619838
9,0.371967,0.371967,0.436875,0.792638,0.792638,0.618245
