horizon_zero_based,mse,mae
0,0.44001927091,0.477154987555
1,0.602575345406,0.544999970578
2,0.72512224854,0.601218518007
3,0.817389328259,0.640091232974
4,0.860016029008,0.662020230091
5,0.872934968399,0.660117957883
6,0.871615366975,0.66862630833
7,0.860077712136,0.663881843162
8,0.848768058079,0.658458550889
9,0.830806050239,0.641040265106
10,0.799243101093,0.628089784336
11,0.778188757407,0.611445810121
12,0.741005727018,0.599034859325
13,0.707183829704,0.573852904157
14,0.656504876532,0.549393571425
15,0.604086372106,0.525888773754
16,0.564150473025,0.50708397189
17,0.533599381016,0.489954269897
18,0.579716859958,0.512083026787
19,0.520887119146,0.484285424856
20,0.538491704869,0.502283564883
21,0.488974806625,0.485022418584
22,0.486340838618,0.495335628743
23,0.532645478087,0.517890918402
24,0.615157800194,0.555673333656
25,0.717274547608,0.600652727541
26,0.79887567283,0.640592338868
27,0.850687709403,0.659807300353
28,0.876502412979,0.671455049907
29,0.893601619921,0.681455965176
30,0.884387827918,0.677819418451
31,0.869717307586,0.670533435145
32,0.854962941641,0.660836533481
33,0.841840635002,0.655927923703
34,0.811106252477,0.639499589507
35,0.777331173116,0.625660454492
36,0.749925701035,0.604349194544
37,0.716910521888,0.59129415136
38,0.669956972512,0.56242517895
39,0.614272788607,0.537570295787
40,0.556517881545,0.504882391742
41,0.528523394445,0.487532360359
42,0.522128869385,0.483852420786
43,0.54236126238,0.498554963695
44,0.53680452917,0.500509937396
45,0.514114498777,0.499307068707
46,0.503889192419,0.50059367575
47,0.551307366396,0.529390551273
48,0.618783042465,0.559337116789
49,0.712643698624,0.600321236499
50,0.789445595613,0.635785681549
51,0.829774959367,0.656065685193
52,0.863867729213,0.674156724703
53,0.866634056151,0.675422501569
54,0.86396974506,0.67880820087
55,0.855932479365,0.671614287171
56,0.836791106202,0.656489871495
57,0.822169666714,0.656252743155
58,0.803089051333,0.641212587028
59,0.783118480474,0.628022260018
60,0.7570182603,0.619001846709
61,0.719068653795,0.598496129641
62,0.676882139503,0.570554862911
63,0.6280743583,0.549916289012
64,0.590696144703,0.530169742032
65,0.548066862775,0.503129326869
66,0.574864745115,0.518171429306
67,0.575146971507,0.520481226651
68,0.554415910227,0.516741216927
69,0.547175003754,0.524304662293
70,0.522400235638,0.511341012048
71,0.56300645931,0.534022263258
72,0.645230236697,0.574266945584
73,0.72872932136,0.611256534288
74,0.799544688182,0.642084515134
75,0.847303710479,0.666006006665
76,0.86365791867,0.673479732291
77,0.875189158483,0.679911158033
78,0.86682517885,0.677260033448
79,0.852458982691,0.672346402472
80,0.84692059399,0.663853950886
81,0.820051668448,0.650376005124
82,0.805243465688,0.643891209914
83,0.78910336731,0.63114811133
84,0.762194798509,0.615385172223
85,0.7285044355,0.595201107357
86,0.693461778174,0.580722350571
87,0.651536733467,0.558698836642
88,0.632259863245,0.548945938628
89,0.587187012603,0.520429185956
90,0.601110457037,0.528981216452
91,0.606402842309,0.533809167721
92,0.593036524789,0.531540198322
93,0.592608431642,0.539235059805
94,0.571340606506,0.534114107231
95,0.605770533836,0.55325530427
96,0.672325951931,0.586739290416
97,0.747371103064,0.622005642827
98,0.813276750753,0.647954698323
99,0.859176681121,0.670863534343
100,0.870737357387,0.674883645791
101,0.880352063835,0.680446360949
102,0.867354498638,0.676630406727
103,0.853106933654,0.673251647164
104,0.841083069071,0.664410038432
105,0.820076794629,0.65039044476
106,0.804169854509,0.640227421744
107,0.780519845544,0.627688693564
108,0.755221190627,0.611791372769
109,0.718714431957,0.592406338707
110,0.683555761696,0.578686608497
111,0.637900473445,0.5514739559
112,0.61025954808,0.53740533471
113,0.589011463161,0.524531755752
114,0.609881923774,0.535744230556
115,0.586655331055,0.522711888582
116,0.6050241822,0.5375251016
117,0.586867414254,0.537340764883
118,0.578977431922,0.539436879562
119,0.615673348146,0.55705726086
120,0.673774642641,0.590162168027
121,0.744445789264,0.620129346539
122,0.802744869519,0.646227412874
123,0.839740099473,0.665211858562
124,0.856440730815,0.674611699291
125,0.856447890856,0.673910918975
126,0.851386215188,0.667911272268
127,0.853812836176,0.677180452534
128,0.831184195626,0.656926500361
129,0.817429258414,0.650692787835
130,0.791938974914,0.635051253637
131,0.786848467057,0.628995184472
132,0.748030182168,0.60873353049
133,0.721814681501,0.596098575668
134,0.686596892334,0.578066782226
135,0.643401789884,0.552132184032
136,0.603721648764,0.531464220962
137,0.590483060853,0.524229544797
138,0.603880849007,0.531706660324
139,0.603881338508,0.53122733901
140,0.601165632088,0.534034741357
141,0.614186743222,0.552561314083
142,0.605156304555,0.554535406133
143,0.629251020097,0.56443143039
144,0.692799397759,0.596953397986
145,0.756731245958,0.623976276153
146,0.818111422156,0.654343108151
147,0.844735042242,0.669613534573
148,0.862141880092,0.677561962962
149,0.867252411206,0.685168482405
150,0.858860793247,0.673368122656
151,0.845931773264,0.675996457338
152,0.832305040237,0.667154824605
153,0.811411636238,0.653733324269
154,0.795789088651,0.642334860615
155,0.785546179993,0.634791709603
156,0.759427272848,0.625262070733
157,0.718382126747,0.598689733134
158,0.683827565507,0.586026844332
159,0.645086411146,0.564366328574
160,0.609754022129,0.545090702989
161,0.580799056974,0.524148298808
162,0.606275082953,0.541888577249
163,0.61083648771,0.544736205609
164,0.604855950175,0.547394482855
165,0.594799307084,0.547830493091
166,0.602321673581,0.558946296561
167,0.63065291624,0.57425571571
168,0.683949180979,0.59739937822
169,0.760358818075,0.634992932213
170,0.81698539939,0.659293944917
171,0.839656186509,0.669728349889
172,0.865647432439,0.686607871433
173,0.866521955795,0.690029180659
174,0.855576837498,0.681154070375
175,0.847853016317,0.675220517184
176,0.833746422455,0.667341352464
177,0.820468372844,0.660550580218
178,0.791641601636,0.6434260516
179,0.771459030219,0.631443740808
180,0.757043940323,0.62584988675
181,0.71759597162,0.60228486898
182,0.685372059774,0.588332022811
183,0.639149737248,0.567189247258
184,0.609554507811,0.551951903643
185,0.591750696647,0.539188620815
186,0.577385468409,0.527516062102
187,0.606136017658,0.547405320752
188,0.605320852457,0.551147357346
189,0.586636106371,0.54875429735
190,0.594107687533,0.558982101269
191,0.626237576243,0.575024009258
192,0.688362647776,0.603974093977
193,0.756062855313,0.633609794823
194,0.810714789929,0.659211299279
195,0.83767603801,0.671482481814
196,0.854528033992,0.68232266567
197,0.860925250957,0.687047357721
198,0.859652944981,0.688044832902
199,0.847442507292,0.681868431572
200,0.83515011463,0.675519403466
201,0.824709730604,0.667479863024
202,0.8077209435,0.655628319202
203,0.77961957628,0.638095732824
204,0.759103548321,0.630108706701
205,0.73092455662,0.611527343018
206,0.696240498663,0.590778461809
207,0.662002990762,0.577784061274
208,0.620674835694,0.551257556822
209,0.602349844686,0.540164757102
210,0.623786990378,0.554100755618
211,0.628892197109,0.556841784007
212,0.61481033492,0.552541608839
213,0.615142567811,0.559699156711
214,0.613279145976,0.565015401826
215,0.64091836579,0.581676429487
216,0.693742445893,0.606947544019
217,0.763501111004,0.642164201555
218,0.81778949286,0.664946778143
219,0.848775741712,0.677198704817
220,0.864478911431,0.690072338267
221,0.860414962332,0.688973035126
222,0.864178772233,0.696675573149
223,0.844807221043,0.676223149241
224,0.836312350228,0.676047639192
225,0.820732738166,0.670323565487
