epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.652428,0.652428,0.587746,1.323802,1.323802,0.816135
1,0.566476,0.566476,0.543163,1.293010,1.293010,0.806203
2,0.554610,0.554610,0.536771,1.290106,1.290106,0.805726
3,0.545797,0.545797,0.532187,1.275554,1.275554,0.799939
4,0.538683,0.538683,0.528507,1.270129,1.270129,0.798699
5,0.532310,0.532310,0.525746,1.264618,1.264618,0.794927
6,0.527950,0.527950,0.524025,1.272366,1.272366,0.794628
7,0.521736,0.521736,0.520637,1.267400,1.267400,0.797204
8,0.518220,0.518220,0.519378,1.272679,1.272679,0.798100
9,0.513044,0.513044,0.516729,1.271497,1.271497,0.796092
10,0.511083,0.511083,0.515903,1.261221,1.261221,0.792411
11,0.509370,0.509370,0.515181,1.257967,1.257967,0.792369
12,0.507327,0.507327,0.514058,1.254156,1.254156,0.789841
13,0.505234,0.505234,0.513063,1.263490,1.263490,0.793178
14,0.503492,0.503492,0.512103,1.264189,1.264189,0.793540
15,0.501936,0.501936,0.511133,1.272259,1.272259,0.796974
16,0.499737,0.499737,0.509756,1.251003,1.251003,0.787948
17,0.499186,0.499186,0.509472,1.253468,1.253468,0.789206
18,0.498399,0.498399,0.509257,1.256802,1.256802,0.792265
19,0.497771,0.497771,0.508594,1.249244,1.249244,0.787572
20,0.497198,0.497198,0.508411,1.258943,1.258943,0.792057
21,0.497024,0.497024,0.508176,1.252012,1.252012,0.788758
22,0.496430,0.496430,0.508006,1.252671,1.252671,0.789572
23,0.495548,0.495548,0.507523,1.249863,1.249863,0.788360
24,0.495371,0.495371,0.507466,1.247872,1.247872,0.786957
25,0.495148,0.495148,0.507196,1.252288,1.252288,0.789241
26,0.495018,0.495018,0.507331,1.247646,1.247646,0.786100
27,0.494815,0.494815,0.507151,1.254771,1.254771,0.788982
28,0.494773,0.494773,0.507146,1.253612,1.253612,0.789103
29,0.494587,0.494587,0.507040,1.247424,1.247424,0.786725
