epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.651731,0.651731,0.587263,1.322205,1.322205,0.815024
1,0.566171,0.566171,0.542946,1.291886,1.291886,0.805677
2,0.554244,0.554244,0.536329,1.289566,1.289566,0.805328
3,0.544850,0.544850,0.531468,1.274806,1.274806,0.799333
4,0.538024,0.538024,0.527913,1.266272,1.266272,0.797085
5,0.531677,0.531677,0.525217,1.258689,1.258689,0.791831
6,0.526943,0.526943,0.523279,1.267619,1.267619,0.792846
7,0.520685,0.520685,0.519890,1.264266,1.264266,0.795978
8,0.517157,0.517157,0.518576,1.268150,1.268150,0.795835
9,0.512027,0.512027,0.515946,1.267420,1.267420,0.794119
10,0.510333,0.510333,0.515097,1.260525,1.260525,0.792267
11,0.509354,0.509354,0.514607,1.256618,1.256618,0.791273
12,0.507865,0.507865,0.513941,1.251117,1.251117,0.788291
13,0.506548,0.506548,0.513406,1.264756,1.264756,0.792772
14,0.504898,0.504898,0.512523,1.258656,1.258656,0.789980
15,0.503616,0.503616,0.511533,1.267638,1.267638,0.793915
16,0.501505,0.501505,0.510404,1.249686,1.249686,0.785865
17,0.500846,0.500846,0.509990,1.251320,1.251320,0.786439
18,0.500254,0.500254,0.509887,1.253178,1.253178,0.789107
19,0.499698,0.499698,0.509412,1.248110,1.248110,0.784834
20,0.499144,0.499144,0.509382,1.255884,1.255884,0.788961
21,0.498752,0.498752,0.509098,1.250851,1.250851,0.785882
22,0.498114,0.498114,0.508997,1.250833,1.250833,0.786036
23,0.497409,0.497409,0.508672,1.249770,1.249770,0.785797
24,0.497395,0.497395,0.508653,1.246981,1.246981,0.784177
25,0.497248,0.497248,0.508356,1.250176,1.250176,0.786416
26,0.497174,0.497174,0.508445,1.244025,1.244025,0.783253
27,0.496844,0.496844,0.508207,1.246969,1.246969,0.784525
28,0.496755,0.496755,0.508152,1.246351,1.246351,0.784883
29,0.496801,0.496801,0.508096,1.240991,1.240991,0.782443
