epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.540386,0.540386,0.529774,0.912648,0.912648,0.669713
1,0.419224,0.419224,0.466541,0.873522,0.873522,0.654046
2,0.406560,0.406560,0.458839,0.845810,0.845810,0.646012
3,0.400704,0.400704,0.454855,0.836055,0.836055,0.639861
4,0.394991,0.394991,0.450573,0.824066,0.824066,0.636806
5,0.390358,0.390358,0.447831,0.805466,0.805466,0.627605
6,0.385751,0.385751,0.445206,0.796088,0.796088,0.623927
7,0.381039,0.381039,0.441960,0.796748,0.796748,0.622919
8,0.376935,0.376935,0.439162,0.794331,0.794331,0.619556
9,0.373236,0.373236,0.436704,0.780090,0.780090,0.612764
10,0.370817,0.370817,0.435362,0.795179,0.795179,0.618144
11,0.367728,0.367728,0.433198,0.779695,0.779695,0.611468
12,0.366224,0.366224,0.432287,0.784755,0.784755,0.612439
13,0.364026,0.364026,0.430866,0.782989,0.782989,0.612437
14,0.362869,0.362869,0.430198,0.795702,0.795702,0.615429
15,0.359360,0.359360,0.427869,0.778614,0.778614,0.606978
16,0.357906,0.357906,0.426753,0.790513,0.790513,0.611019
17,0.356995,0.356995,0.426233,0.785402,0.785402,0.609264
18,0.356764,0.356764,0.426369,0.795238,0.795238,0.611995
19,0.355064,0.355064,0.425370,0.792585,0.792585,0.611285
20,0.354975,0.354975,0.425109,0.787044,0.787044,0.609964
21,0.354631,0.354631,0.424913,0.787799,0.787799,0.609459
