epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.658722,0.658722,0.591577,1.340649,1.340649,0.824312
1,0.542132,0.542132,0.533170,1.248664,1.248664,0.782946
2,0.518546,0.518546,0.521469,1.246742,1.246742,0.783436
3,0.509714,0.509714,0.517254,1.235768,1.235768,0.780390
4,0.503710,0.503710,0.514855,1.222393,1.222393,0.774127
5,0.498645,0.498645,0.512946,1.244485,1.244485,0.784429
6,0.494335,0.494335,0.511224,1.261652,1.261652,0.789179
7,0.491932,0.491932,0.511002,1.261276,1.261276,0.787921
8,0.487960,0.487960,0.508429,1.275310,1.275310,0.797380
9,0.486372,0.486372,0.507511,1.285848,1.285848,0.798314
10,0.484389,0.484389,0.506895,1.282288,1.282288,0.798298
