epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.539795,0.539795,0.528417,0.887365,0.887365,0.660119
1,0.409127,0.409127,0.458211,0.824190,0.824190,0.633640
2,0.384563,0.384563,0.443206,0.767527,0.767527,0.611721
3,0.370172,0.370172,0.435258,0.761821,0.761821,0.611116
4,0.361792,0.361792,0.430346,0.771615,0.771615,0.612517
5,0.356409,0.356409,0.427573,0.780917,0.780917,0.615120
6,0.354002,0.354002,0.426443,0.780717,0.780717,0.613605
7,0.348308,0.348308,0.422483,0.781491,0.781491,0.613143
8,0.346458,0.346458,0.421862,0.781352,0.781352,0.612286
9,0.345713,0.345713,0.421511,0.778440,0.778440,0.612022
