horizon_zero_based,mse,mae
0,0.314090047742,0.394714530052
1,0.344880791649,0.409033715187
2,0.3674153769,0.418617545682
3,0.393854550809,0.431252778183
4,0.402902351209,0.43127432611
5,0.410558487997,0.438720996658
6,0.402324238468,0.431354605059
7,0.40306095075,0.430648109471
8,0.407207473237,0.431976420879
9,0.407140147972,0.430324774257
10,0.402079535706,0.428200937214
11,0.404802252824,0.427380457515
12,0.402357747738,0.427211429816
13,0.407187348217,0.433658894781
14,0.396164709402,0.427604844745
15,0.395966221125,0.425112301421
16,0.407595670038,0.43463740162
17,0.406596664655,0.431459984073
18,0.402060707749,0.425830143268
19,0.409421078805,0.430911747484
20,0.410903442954,0.434339095998
21,0.411201117619,0.437262526747
22,0.4014583749,0.428987168663
23,0.403575152072,0.431860797715
24,0.423774727636,0.446041132002
25,0.430939284322,0.448822335944
26,0.432253595104,0.447889636034
27,0.439348310545,0.452210383489
28,0.438063689939,0.451680860412
29,0.441734974839,0.456666297544
30,0.431029017291,0.449113898204
31,0.424422442625,0.443528978879
32,0.430656551689,0.446264264343
33,0.436097237459,0.44786808099
34,0.434090774154,0.445772508616
35,0.434674284152,0.444706786099
36,0.430693397976,0.443306571954
37,0.433475323104,0.449192268933
38,0.420821864184,0.442196859293
39,0.423224687226,0.444116086809
40,0.42700936156,0.445341743805
41,0.427505909094,0.443842508081
42,0.428607920851,0.445452415992
43,0.432780735023,0.448521457828
44,0.433102754548,0.446463633592
45,0.437454131501,0.453856134227
46,0.424327418695,0.443066923411
47,0.431978517183,0.451580322305
48,0.442967118829,0.456718147055
49,0.448779096492,0.458194122703
50,0.446964282303,0.455553370802
51,0.452171519255,0.458425878101
52,0.455483119971,0.461684037513
53,0.456090214962,0.464313957374
54,0.451106690533,0.46223222335
55,0.450520300284,0.460611894366
56,0.458366921525,0.464982799682
57,0.454513556729,0.460280771989
58,0.450674916964,0.45742796136
59,0.45170407299,0.457309064373
60,0.451303950817,0.458502640449
61,0.451773706556,0.459577903691
62,0.444104572313,0.455936538464
63,0.444597139962,0.456092451389
64,0.453187574368,0.461028292534
65,0.451538874731,0.458422703778
66,0.447370168029,0.45349422182
67,0.448403928457,0.45492508291
68,0.448936242805,0.456831510526
69,0.450426155198,0.459009340268
70,0.443251605877,0.454874353988
71,0.447117226908,0.456677549585
72,0.463039551701,0.46716812174
73,0.464208140538,0.465160736246
74,0.465238423217,0.464779876566
75,0.473728395087,0.470540049886
76,0.472894355225,0.468503630325
77,0.479326236014,0.475980577159
78,0.470081525893,0.471311170847
79,0.464450334273,0.465524165477
80,0.470813273028,0.469977780529
81,0.468980352696,0.468424211155
82,0.470902389494,0.470023379979
83,0.472990525209,0.470349275241
84,0.475797972598,0.473714237019
85,0.482525774399,0.481367323161
86,0.469147438046,0.472549960189
87,0.47378680934,0.476457189829
88,0.483126769234,0.482099047967
89,0.480010909111,0.478813331654
90,0.478967457038,0.476894809979
91,0.479473751645,0.477233617242
92,0.482719127192,0.481012009956
93,0.479318946406,0.478966411389
94,0.471153742182,0.474253955344
95,0.475364444293,0.478015905147
