heterogeneous,seed,comparison,delta_mse,delta_mae
False,7,dense-off,-0.002771789038523098,0.002769636605698733
False,7,sparse-dense,-0.06921939144808731,-0.030234921450388474
False,7,sparse-off,-0.0719911804866104,-0.02746528484468974
False,13,dense-off,-0.03520713257741748,-0.016524935839312138
False,13,sparse-dense,0.015520221570777593,0.007389873416541293
False,13,sparse-off,-0.019686911006639884,-0.009135062422770845
False,21,dense-off,0.13453188792984583,0.05224382942926359
False,21,sparse-dense,-0.1380222574525179,-0.05673450615501047
False,21,sparse-off,-0.0034903695226720655,-0.004490676725746878
True,7,dense-off,0.04391986160574435,0.016360771774119154
True,7,sparse-dense,-0.005541958198350683,-0.0019315446216169319
True,7,sparse-off,0.038377903407393665,0.014429227152502222
True,13,dense-off,-0.005836966925871212,0.0006255298740004966
True,13,sparse-dense,0.019293893576538823,0.008372898075274138
True,13,sparse-off,0.013456926650667611,0.008998427949274634
True,21,dense-off,0.025037794716153527,0.010289600456052928
True,21,sparse-dense,0.03059831307966171,0.011778884365827247
True,21,sparse-off,0.05563610779581524,0.022068484821880174
