data,variant,mse,mse_sd,mae,mae_sd
ETTh1,heterogeneous_dense,0.42639308166859985,0.0044176563753269785,0.44514221263530723,0.0043256558376976026
ETTh1,heterogeneous_no_memory,0.4239739601366894,0.005129124848601708,0.4430235654109576,0.004525095921122699
ETTh1,heterogeneous_sparse,0.42668395162431577,0.005366509816982674,0.4447217879689684,0.004512520816796318
ETTh1,homogeneous_dense,0.44926957618023117,0.003326635441596997,0.45893298161456125,0.0015493831032201723
ETTh1,homogeneous_no_memory,0.4474155979452375,0.0019582451943597795,0.4582269163974373,0.003037136987073491
ETTh1,homogeneous_sparse,0.44758423842282175,0.005594408488389679,0.45695318257780343,0.0037825430172191373
ETTh2,heterogeneous_dense,0.32886193802018004,0.012631625190752253,0.39304689009454563,0.008856850617598139
ETTh2,heterogeneous_no_memory,0.3329932443966002,0.01925946184541778,0.3963889433068564,0.013671351395696169
ETTh2,heterogeneous_sparse,0.336041473637787,0.007755661836706675,0.3981425383405887,0.004906013054122978
ETTh2,homogeneous_dense,0.3429383178499182,0.013874874335043159,0.40477157535373537,0.008887391309100268
ETTh2,homogeneous_no_memory,0.34323542949820146,0.012793489837742067,0.4052994998827801,0.007530976082351006
ETTh2,homogeneous_sparse,0.3354822376248477,0.000705173353075284,0.39857823952652155,0.0015143212729886054
