step,mae,mse
0,0.240419,0.133719
1,0.293477,0.200644
2,0.320021,0.242893
3,0.342449,0.281432
4,0.352153,0.306433
5,0.359414,0.324903
6,0.363359,0.335238
7,0.364080,0.331300
8,0.360627,0.329411
9,0.362963,0.331192
10,0.363436,0.325147
11,0.361310,0.324871
12,0.362616,0.328151
13,0.362185,0.331312
14,0.361884,0.330192
15,0.361908,0.327154
16,0.361698,0.329042
17,0.361923,0.326990
18,0.360247,0.324676
19,0.362907,0.326683
20,0.364304,0.328108
21,0.366977,0.332545
22,0.362841,0.327131
23,0.371762,0.335152
24,0.376753,0.345410
25,0.378913,0.351499
26,0.383886,0.360709
27,0.388185,0.366449
28,0.384949,0.365072
29,0.387362,0.373962
30,0.384954,0.374385
31,0.384637,0.374605
32,0.383234,0.374120
33,0.386407,0.379851
34,0.379865,0.370830
35,0.382441,0.371641
36,0.388729,0.381803
37,0.383192,0.371618
38,0.382215,0.373478
39,0.380714,0.369218
40,0.381072,0.366371
41,0.380238,0.370162
42,0.376124,0.364265
43,0.377895,0.361132
44,0.380141,0.365959
45,0.378205,0.366581
46,0.375120,0.358813
47,0.375256,0.360406
48,0.384295,0.374617
49,0.392167,0.386616
50,0.396171,0.404654
51,0.397015,0.399446
52,0.397977,0.407128
53,0.403142,0.416981
54,0.397284,0.416740
55,0.402951,0.417230
56,0.402267,0.409120
57,0.398005,0.404323
58,0.398417,0.406076
59,0.397868,0.406640
60,0.401953,0.416688
61,0.400450,0.417394
62,0.399888,0.413931
63,0.397467,0.404810
64,0.404575,0.424584
65,0.401299,0.417720
66,0.398302,0.415764
67,0.395379,0.401260
68,0.394968,0.397105
69,0.396369,0.406409
70,0.396626,0.406741
71,0.392896,0.396792
72,0.403250,0.414161
73,0.407726,0.430945
74,0.405231,0.426728
75,0.408724,0.437143
76,0.412290,0.454044
77,0.417959,0.466166
78,0.414386,0.456639
79,0.414707,0.452371
80,0.411439,0.443135
81,0.414443,0.447782
82,0.410651,0.441590
83,0.410923,0.444754
84,0.412418,0.444793
85,0.413784,0.445971
86,0.414193,0.442119
87,0.407622,0.428375
88,0.409279,0.434099
89,0.412700,0.442576
90,0.410058,0.436345
91,0.408818,0.430834
92,0.411438,0.433551
93,0.414208,0.438684
94,0.412619,0.439685
95,0.411218,0.442010
