epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.472864,0.437835,0.963272,0.034665,0.597855,0.575714,0.907834,0.050965,0.712571,0.557462
1,0.449722,0.415735,0.925540,0.041712,0.593210,0.569670,0.922768,0.073567,0.710647,0.554506
2,0.440893,0.409860,0.875352,0.051528,0.582982,0.565461,0.828279,0.087999,0.701604,0.551349
3,0.433441,0.406142,0.815625,0.065334,0.578708,0.563520,0.791339,0.106087,0.696393,0.549428
4,0.428606,0.404440,0.766934,0.078298,0.575679,0.566074,0.710141,0.118823,0.700861,0.553289
5,0.424316,0.403114,0.721139,0.086687,0.573192,0.566477,0.667202,0.133067,0.700232,0.551272
6,0.418013,0.399919,0.671326,0.094494,0.562549,0.558000,0.626243,0.141536,0.688687,0.543818
7,0.412635,0.396878,0.633237,0.099953,0.572075,0.568523,0.621814,0.136904,0.706698,0.555861
8,0.411124,0.396657,0.613670,0.104182,0.569714,0.566593,0.613415,0.143112,0.698921,0.552266
9,0.408090,0.395786,0.580341,0.112224,0.567515,0.566076,0.587662,0.149782,0.703104,0.553454
