epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.550274,0.442359,0.904849,0.040722,0.631271,0.550005,0.898288,0.057122,0.678170,0.535835
1,0.516401,0.425402,0.815399,0.063904,0.577341,0.543244,0.689375,0.077606,0.673867,0.536034
2,0.453114,0.419691,0.562933,0.091205,0.530472,0.546929,0.476398,0.097120,0.674454,0.540101
3,0.421347,0.416360,0.437735,0.110614,0.507374,0.539544,0.401674,0.114675,0.665346,0.532279
4,0.406086,0.414577,0.378185,0.125069,0.496184,0.538486,0.357191,0.125587,0.663804,0.531152
5,0.398692,0.413121,0.351280,0.138448,0.494031,0.538921,0.346535,0.142140,0.661700,0.532137
6,0.394412,0.412209,0.335939,0.149653,0.490517,0.538588,0.332570,0.149344,0.661373,0.532183
7,0.392382,0.411277,0.330301,0.159156,0.488997,0.538030,0.327888,0.158274,0.663260,0.531127
8,0.388350,0.410527,0.315483,0.166741,0.482531,0.537115,0.303181,0.171758,0.658216,0.530052
9,0.384831,0.410260,0.301278,0.180692,0.480843,0.538101,0.292708,0.172777,0.659569,0.531219
10,0.380609,0.409634,0.285240,0.177803,0.477107,0.537281,0.279395,0.173709,0.660603,0.530362
11,0.378005,0.409432,0.274743,0.176550,0.475438,0.538137,0.269426,0.174180,0.658244,0.530946
