step,mae,mse
0,0.146636,0.054165
1,0.173243,0.075242
2,0.195345,0.096860
3,0.214914,0.117677
4,0.229991,0.133058
5,0.244066,0.149590
6,0.257201,0.166663
7,0.267008,0.181410
8,0.274401,0.193167
9,0.283962,0.206278
10,0.291993,0.219173
11,0.298919,0.231071
12,0.306716,0.242921
13,0.313750,0.254330
14,0.319316,0.264833
15,0.324654,0.275335
16,0.330112,0.285176
17,0.333378,0.291638
18,0.337828,0.299730
19,0.339996,0.304328
20,0.340988,0.308277
21,0.345977,0.316386
22,0.346575,0.318368
23,0.349927,0.322929
24,0.352348,0.326620
25,0.352637,0.328478
26,0.354691,0.331072
27,0.356129,0.333339
28,0.355910,0.334523
29,0.356271,0.337186
30,0.356822,0.337813
31,0.356984,0.338960
32,0.357444,0.341640
33,0.357375,0.341297
34,0.358768,0.342016
35,0.359027,0.341568
36,0.359129,0.342212
37,0.359441,0.342479
38,0.359112,0.343561
39,0.359086,0.342422
40,0.358995,0.342618
41,0.359377,0.343595
42,0.359979,0.343425
43,0.360140,0.343430
44,0.361136,0.343995
45,0.362227,0.345439
46,0.361223,0.344873
47,0.360683,0.344626
48,0.361067,0.344020
49,0.361868,0.345140
50,0.362277,0.344750
51,0.361367,0.344751
52,0.361469,0.345108
53,0.362494,0.345343
54,0.363102,0.347374
55,0.362060,0.345903
56,0.361546,0.345211
57,0.362653,0.347474
58,0.361996,0.346514
59,0.362126,0.345866
60,0.362351,0.346147
61,0.361456,0.346320
62,0.362902,0.346832
63,0.362348,0.346819
64,0.362988,0.346606
65,0.362060,0.345964
66,0.362112,0.345413
67,0.363444,0.346339
68,0.363317,0.346805
69,0.362193,0.346391
70,0.362672,0.346171
71,0.361323,0.345092
72,0.364364,0.346477
73,0.364559,0.346792
74,0.364563,0.346629
75,0.365638,0.347182
76,0.364566,0.345829
77,0.364892,0.346372
78,0.366261,0.346443
79,0.363258,0.345752
80,0.363247,0.345430
81,0.361621,0.342510
82,0.359483,0.342945
83,0.358518,0.341701
84,0.357654,0.340616
85,0.357073,0.339380
86,0.356945,0.339335
87,0.356008,0.339744
88,0.355823,0.338920
89,0.356857,0.341789
90,0.354713,0.335802
91,0.354943,0.336590
92,0.354732,0.338172
93,0.355967,0.338798
94,0.355563,0.338643
95,0.356228,0.339524
