step,mae,mse
0,0.117960,0.038483
1,0.141856,0.053782
2,0.156338,0.063949
3,0.166042,0.071566
4,0.174843,0.078332
5,0.182602,0.084938
6,0.189252,0.090479
7,0.194533,0.095180
8,0.200119,0.100105
9,0.205305,0.105096
10,0.210286,0.110207
11,0.215416,0.115523
12,0.220170,0.119964
13,0.223444,0.123401
14,0.227122,0.128028
15,0.230872,0.131478
16,0.234073,0.135336
17,0.237536,0.139352
18,0.239528,0.142121
19,0.243098,0.146320
20,0.245437,0.149236
21,0.247868,0.151980
22,0.251135,0.156034
23,0.252833,0.159055
24,0.255159,0.161372
25,0.256087,0.163421
26,0.256932,0.165349
27,0.258308,0.167716
28,0.260058,0.170730
29,0.261327,0.172863
30,0.262535,0.175339
31,0.264033,0.176777
32,0.264756,0.178056
33,0.265908,0.180788
34,0.266588,0.183026
35,0.266750,0.183120
36,0.267677,0.184084
37,0.268566,0.186279
38,0.269599,0.188899
39,0.270065,0.190262
40,0.271105,0.191588
41,0.271688,0.193154
42,0.272052,0.194391
43,0.272152,0.194524
44,0.272670,0.196463
45,0.273260,0.197454
46,0.273635,0.198998
47,0.274746,0.200288
48,0.275554,0.201869
49,0.276103,0.204834
50,0.277627,0.206922
51,0.278440,0.207393
52,0.279296,0.209045
53,0.279758,0.211199
54,0.280544,0.212781
55,0.280487,0.212750
56,0.281020,0.213199
57,0.281194,0.214453
58,0.282711,0.216500
59,0.282798,0.217549
60,0.283173,0.218822
61,0.283103,0.219457
62,0.284037,0.219738
63,0.284353,0.219982
64,0.284540,0.221204
65,0.285434,0.222081
66,0.286732,0.224133
67,0.285960,0.224023
68,0.286119,0.224668
69,0.287380,0.225918
70,0.287279,0.226789
71,0.287934,0.228239
72,0.287265,0.227600
73,0.288543,0.228305
74,0.288506,0.229398
75,0.288532,0.229945
76,0.289054,0.230973
77,0.288848,0.230428
78,0.289173,0.230797
79,0.290712,0.232568
80,0.289836,0.232337
81,0.289135,0.232008
82,0.289518,0.232574
83,0.290665,0.234514
84,0.290332,0.234475
85,0.290378,0.234976
86,0.290955,0.235524
87,0.291379,0.236304
88,0.292285,0.237261
89,0.291855,0.237037
90,0.291661,0.237348
91,0.293112,0.238751
92,0.293363,0.239154
93,0.293144,0.239080
94,0.294036,0.239984
95,0.294741,0.241256
96,0.296817,0.243999
97,0.299487,0.247220
98,0.302923,0.251164
99,0.306095,0.254786
100,0.309317,0.258532
101,0.310947,0.261329
102,0.313049,0.263846
103,0.315605,0.266569
104,0.316935,0.268622
105,0.319600,0.272309
106,0.321877,0.275534
107,0.323612,0.278065
108,0.325119,0.280453
109,0.326939,0.282895
110,0.328570,0.285705
111,0.329615,0.287690
112,0.331031,0.289754
113,0.332626,0.292614
114,0.333243,0.294083
115,0.335433,0.297397
116,0.336435,0.298936
117,0.336743,0.299581
118,0.337317,0.300631
119,0.338256,0.302148
120,0.339168,0.304308
121,0.339537,0.305222
122,0.340310,0.306572
123,0.341105,0.308652
124,0.341918,0.309808
125,0.341743,0.310686
126,0.342163,0.311564
127,0.343191,0.313623
128,0.343705,0.314808
129,0.344058,0.315574
130,0.344486,0.316567
131,0.344647,0.316920
132,0.345113,0.318155
133,0.345387,0.318817
134,0.345782,0.319626
135,0.346100,0.320224
136,0.346374,0.321065
137,0.346834,0.322557
138,0.346922,0.322667
139,0.347037,0.322622
140,0.347440,0.323118
141,0.347903,0.324457
142,0.348143,0.325024
143,0.348549,0.324815
144,0.349232,0.326004
145,0.349906,0.326868
146,0.350694,0.329104
147,0.351117,0.330014
148,0.351972,0.331163
149,0.352775,0.332328
150,0.352396,0.331172
151,0.352730,0.330905
152,0.352926,0.331271
153,0.352450,0.331121
154,0.352992,0.332098
155,0.353224,0.332192
156,0.353769,0.333359
157,0.353943,0.333329
158,0.354752,0.334320
159,0.354364,0.334148
160,0.354847,0.335248
161,0.355048,0.334808
162,0.355766,0.335707
163,0.355507,0.335599
164,0.355919,0.335878
165,0.354687,0.335184
166,0.354395,0.335083
167,0.354233,0.335185
168,0.354413,0.335498
169,0.354537,0.335372
170,0.354437,0.334862
171,0.354120,0.335554
172,0.354124,0.335279
173,0.353744,0.334950
174,0.354363,0.335165
175,0.354363,0.335370
