epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.309743,0.272862,0.826088,0.046418,0.276777,0.243585,0.741471,0.106566,0.123431,0.237974
1,0.283068,0.261132,0.590179,0.081581,0.265049,0.241082,0.600583,0.141093,0.123649,0.236821
2,0.271866,0.258555,0.458214,0.103423,0.261243,0.241100,0.543244,0.153362,0.122064,0.236794
3,0.265726,0.256096,0.400549,0.117248,0.254880,0.238666,0.481875,0.179222,0.121243,0.234810
4,0.262130,0.254905,0.363287,0.131897,0.252164,0.240199,0.419683,0.186670,0.122509,0.236147
5,0.259362,0.253964,0.334930,0.140160,0.250776,0.240048,0.400971,0.196768,0.122108,0.235999
6,0.256832,0.253305,0.306207,0.146963,0.248594,0.239455,0.376537,0.213002,0.121134,0.234921
7,0.255566,0.252913,0.292702,0.155336,0.246161,0.238404,0.354757,0.220192,0.121114,0.234018
8,0.254289,0.252173,0.283906,0.156783,0.245084,0.238354,0.339298,0.240977,0.121545,0.233950
9,0.252906,0.251499,0.272597,0.170960,0.245724,0.239321,0.335359,0.244746,0.121100,0.234846
10,0.252291,0.251048,0.269685,0.170566,0.246210,0.239169,0.344781,0.252793,0.121502,0.234455
11,0.251288,0.250969,0.255754,0.170761,0.246986,0.242392,0.311302,0.245999,0.123619,0.237436
12,0.248281,0.248546,0.244575,0.171255,0.241778,0.237812,0.297297,0.248002,0.120363,0.233325
13,0.247523,0.247936,0.241744,0.173852,0.241773,0.237867,0.296455,0.251854,0.120441,0.233321
14,0.247273,0.247804,0.239844,0.176372,0.242188,0.238682,0.291272,0.253353,0.120998,0.234042
15,0.246977,0.247673,0.237238,0.177917,0.241876,0.238352,0.291219,0.256456,0.120974,0.233719
