step,mae,mse
0,0.224867,0.120902
1,0.275421,0.182053
2,0.305560,0.227429
3,0.325020,0.260298
4,0.337893,0.284591
5,0.347967,0.300083
6,0.351272,0.306081
7,0.356714,0.312748
8,0.358635,0.313545
9,0.360153,0.315269
10,0.359798,0.315522
11,0.362369,0.318492
12,0.363559,0.319741
13,0.362402,0.319452
14,0.359257,0.315754
15,0.358940,0.310931
16,0.360110,0.311475
17,0.358766,0.312636
18,0.355579,0.311775
19,0.357285,0.314343
20,0.357029,0.317154
21,0.358710,0.321039
22,0.356422,0.316220
23,0.357130,0.318016
24,0.364926,0.329320
25,0.374261,0.340888
26,0.381150,0.351265
27,0.383141,0.357188
28,0.386092,0.366427
29,0.383934,0.366342
30,0.387346,0.368706
31,0.386453,0.368750
32,0.386993,0.367977
33,0.387828,0.367998
34,0.387335,0.367320
35,0.388154,0.366510
36,0.387308,0.365722
37,0.387511,0.365018
38,0.388554,0.367287
39,0.387030,0.365329
40,0.387160,0.367846
41,0.386624,0.366603
42,0.386291,0.367994
43,0.385553,0.366289
44,0.384971,0.368879
45,0.385741,0.371246
46,0.386899,0.375621
47,0.386899,0.376512
48,0.394129,0.383776
49,0.402894,0.397512
50,0.405931,0.401621
51,0.406834,0.406567
52,0.411017,0.415900
53,0.408471,0.414287
54,0.409170,0.417046
55,0.410394,0.415225
56,0.409877,0.412488
57,0.407639,0.409219
58,0.411544,0.414088
59,0.410358,0.411138
60,0.410040,0.412301
61,0.409598,0.411112
62,0.408777,0.413786
63,0.408795,0.413892
64,0.408996,0.415763
65,0.409770,0.413615
66,0.409181,0.415132
67,0.409454,0.415222
68,0.408284,0.418205
69,0.407388,0.415681
70,0.410626,0.423521
71,0.409188,0.417692
72,0.414302,0.428465
73,0.418904,0.434463
74,0.418892,0.440789
75,0.420324,0.444697
76,0.424224,0.454584
77,0.424299,0.452475
78,0.424087,0.448792
79,0.424190,0.444465
80,0.425563,0.449913
81,0.425755,0.446975
82,0.428867,0.455075
83,0.427264,0.449499
84,0.429315,0.453141
85,0.427251,0.449542
86,0.426554,0.452156
87,0.427865,0.456164
88,0.427489,0.458955
89,0.426389,0.455112
90,0.426020,0.458546
91,0.426246,0.456765
92,0.426799,0.459809
93,0.428837,0.459907
94,0.427196,0.460830
95,0.428277,0.460268
96,0.427396,0.457316
97,0.429441,0.458168
98,0.431870,0.468222
99,0.431522,0.468637
100,0.434977,0.475441
101,0.437051,0.473873
102,0.434607,0.464704
103,0.438871,0.471924
104,0.438022,0.471582
105,0.432656,0.462427
106,0.442339,0.472244
107,0.442983,0.476254
108,0.438294,0.472425
109,0.435694,0.470676
110,0.434078,0.467702
111,0.430345,0.457725
112,0.430575,0.456508
113,0.429974,0.453829
114,0.431147,0.456881
115,0.429855,0.453971
116,0.435143,0.465607
117,0.433837,0.463082
118,0.433639,0.466167
119,0.432604,0.464721
120,0.435828,0.469122
121,0.439043,0.470400
122,0.439515,0.472255
123,0.441248,0.477162
124,0.443804,0.485780
125,0.444135,0.483285
126,0.446080,0.484783
127,0.450426,0.492002
128,0.448612,0.490873
129,0.444947,0.482848
130,0.448308,0.488809
131,0.446919,0.491248
132,0.446866,0.492523
133,0.449167,0.496578
134,0.447568,0.489598
135,0.446245,0.489762
136,0.445189,0.485963
137,0.446429,0.485875
138,0.449467,0.490990
139,0.447762,0.488844
140,0.446831,0.485829
141,0.451412,0.494329
142,0.448937,0.491782
143,0.448026,0.492964
144,0.452704,0.497122
145,0.456883,0.504686
146,0.456259,0.501365
147,0.459133,0.507015
148,0.459378,0.511179
149,0.462145,0.510076
150,0.459722,0.505406
151,0.463252,0.512259
152,0.461873,0.507328
153,0.460842,0.507961
154,0.463143,0.511392
155,0.467616,0.521602
156,0.465152,0.519790
157,0.463757,0.520500
158,0.461718,0.515920
159,0.463259,0.520085
160,0.463703,0.522117
161,0.462418,0.514089
162,0.461661,0.514869
163,0.461148,0.509238
164,0.463763,0.517752
165,0.466125,0.526571
166,0.465311,0.531148
167,0.458984,0.512887
168,0.468102,0.525301
169,0.468542,0.523053
170,0.467715,0.524816
171,0.472854,0.530647
172,0.471098,0.530832
173,0.475587,0.540490
174,0.473739,0.532542
175,0.477718,0.546673
176,0.475213,0.545954
177,0.476996,0.547269
178,0.479170,0.554958
179,0.475426,0.541875
180,0.476182,0.545395
181,0.476708,0.546184
182,0.477609,0.547815
183,0.474760,0.542289
184,0.471269,0.534365
185,0.472398,0.534477
186,0.474400,0.538291
187,0.471051,0.533309
188,0.469725,0.535993
189,0.470742,0.541427
190,0.469802,0.539462
191,0.467387,0.528749
