step,mae,mse
0,0.231992,0.124283
1,0.277997,0.183044
2,0.309907,0.229121
3,0.330007,0.262407
4,0.340845,0.283312
5,0.346836,0.294500
6,0.351744,0.303351
7,0.354335,0.308304
8,0.356344,0.310761
9,0.353275,0.307025
10,0.354061,0.309152
11,0.357174,0.310056
12,0.356850,0.310940
13,0.357563,0.308337
14,0.357484,0.310764
15,0.359228,0.310834
16,0.357467,0.308715
17,0.355552,0.307297
18,0.354714,0.309791
19,0.355753,0.310027
20,0.356670,0.312671
21,0.355294,0.308540
22,0.356083,0.310858
23,0.357729,0.313550
24,0.366400,0.327199
25,0.372929,0.338813
26,0.375560,0.344153
27,0.380509,0.351195
28,0.382556,0.356774
29,0.383274,0.359137
30,0.385777,0.363289
31,0.387324,0.365299
32,0.387058,0.364211
33,0.385216,0.363878
34,0.385046,0.364147
35,0.385908,0.363447
36,0.386310,0.363371
37,0.383285,0.357409
38,0.384817,0.358376
39,0.385808,0.359642
40,0.385616,0.359297
41,0.383058,0.355921
42,0.383801,0.362223
43,0.384112,0.360675
44,0.384273,0.359394
45,0.382917,0.355951
46,0.382621,0.357618
47,0.384991,0.363273
48,0.392227,0.379146
49,0.397075,0.388035
50,0.400259,0.392542
51,0.404973,0.401975
52,0.403610,0.400677
53,0.402748,0.401271
54,0.403898,0.401574
55,0.407011,0.403583
56,0.406324,0.403288
57,0.405397,0.404522
58,0.408545,0.408239
59,0.408752,0.406916
60,0.405046,0.402914
61,0.407606,0.404619
62,0.406780,0.404896
63,0.408546,0.406604
64,0.403481,0.401594
65,0.404188,0.404365
66,0.405852,0.408621
67,0.408007,0.409833
68,0.404967,0.405453
69,0.402988,0.400924
70,0.405059,0.407587
71,0.404032,0.407176
72,0.409346,0.418281
73,0.412392,0.421086
74,0.414376,0.429495
75,0.416146,0.431875
76,0.416932,0.432220
77,0.417216,0.435003
78,0.420487,0.441089
79,0.417195,0.432416
80,0.416377,0.431588
81,0.413144,0.424531
82,0.413989,0.425063
83,0.416074,0.427911
84,0.418515,0.433143
85,0.417980,0.435085
86,0.416463,0.434041
87,0.417045,0.432360
88,0.415204,0.430712
89,0.416746,0.436658
90,0.418878,0.442354
91,0.421727,0.450380
92,0.419925,0.443382
93,0.420548,0.442536
94,0.416373,0.434236
95,0.418336,0.437166
96,0.419701,0.438557
97,0.421559,0.441175
98,0.427197,0.456741
99,0.428361,0.456331
100,0.427716,0.457117
101,0.430133,0.464794
102,0.428067,0.457985
103,0.426670,0.453796
104,0.425594,0.447552
105,0.423538,0.445886
106,0.427986,0.454818
107,0.430072,0.456058
108,0.426418,0.448898
109,0.426165,0.451254
110,0.424995,0.450959
111,0.423566,0.440032
112,0.423925,0.445475
113,0.425909,0.451091
114,0.424235,0.445318
115,0.424154,0.445577
116,0.425623,0.451940
117,0.423414,0.442897
