step,mae,mse
0,0.234240,0.126658
1,0.283171,0.188302
2,0.313862,0.232598
3,0.332566,0.266026
4,0.342981,0.288554
5,0.348464,0.301343
6,0.353236,0.308897
7,0.357647,0.314720
8,0.355718,0.312428
9,0.356755,0.315982
10,0.359110,0.318626
11,0.358994,0.314294
12,0.357883,0.317583
13,0.361378,0.321893
14,0.364266,0.326319
15,0.365151,0.324755
16,0.364206,0.327379
17,0.360105,0.320052
18,0.360370,0.319809
19,0.356640,0.315355
20,0.356888,0.315604
21,0.356046,0.311994
22,0.356167,0.311553
23,0.365479,0.318938
24,0.373151,0.335665
25,0.378762,0.345974
26,0.376680,0.343935
27,0.383962,0.355154
28,0.382274,0.356558
29,0.381545,0.355326
30,0.382221,0.358765
31,0.384763,0.358083
32,0.382947,0.355339
33,0.378227,0.351689
34,0.378977,0.354672
35,0.385555,0.357876
36,0.381040,0.356435
37,0.381731,0.361952
38,0.384962,0.361699
39,0.382785,0.358850
40,0.379329,0.354577
41,0.376286,0.352799
42,0.377882,0.355844
43,0.378203,0.358871
44,0.377643,0.356793
45,0.372952,0.347424
46,0.375914,0.356427
47,0.373743,0.349214
48,0.383280,0.366301
49,0.386349,0.375953
50,0.388634,0.381394
51,0.393733,0.391103
52,0.393295,0.390107
53,0.396985,0.398605
54,0.398544,0.397041
55,0.400566,0.398452
56,0.400959,0.401163
57,0.404566,0.412366
58,0.403845,0.415868
59,0.398330,0.406074
60,0.397928,0.406446
61,0.396343,0.408214
62,0.396298,0.405450
63,0.395244,0.396408
64,0.394423,0.398597
65,0.396412,0.406094
66,0.397368,0.410425
67,0.398004,0.408614
68,0.395831,0.405758
69,0.395302,0.410199
70,0.394073,0.398425
71,0.393573,0.395274
72,0.398210,0.412922
73,0.404440,0.432412
74,0.403568,0.431895
75,0.406071,0.431521
76,0.405059,0.426918
77,0.412830,0.443520
78,0.412895,0.436520
79,0.411462,0.426905
80,0.411725,0.426793
81,0.409870,0.424790
82,0.411287,0.429345
83,0.409715,0.422722
84,0.409466,0.421708
85,0.407363,0.420667
86,0.409375,0.418862
87,0.405611,0.418754
88,0.411024,0.433637
89,0.409350,0.435555
90,0.409370,0.428381
91,0.411009,0.437973
92,0.409669,0.437513
93,0.408845,0.426043
94,0.409842,0.436086
95,0.411225,0.437080
96,0.411037,0.436809
97,0.411073,0.437647
98,0.407670,0.432401
99,0.408664,0.427009
100,0.413697,0.431897
101,0.413949,0.434455
102,0.421428,0.441125
103,0.420412,0.433805
104,0.421240,0.439877
105,0.412807,0.435055
106,0.415139,0.435128
107,0.417014,0.437894
108,0.418851,0.442887
109,0.419655,0.448150
110,0.416010,0.442344
111,0.413149,0.430234
112,0.413745,0.434798
113,0.416533,0.447561
114,0.413646,0.441426
115,0.412705,0.438815
116,0.412793,0.435571
117,0.411315,0.435184
118,0.410003,0.426564
119,0.412216,0.428939
120,0.414389,0.426784
121,0.415160,0.431497
122,0.415384,0.428682
123,0.417126,0.431111
124,0.417803,0.429129
125,0.418282,0.434603
126,0.419131,0.434756
127,0.424401,0.438234
128,0.424248,0.445382
129,0.423839,0.445729
130,0.427893,0.455244
131,0.425360,0.451193
132,0.427443,0.454430
133,0.428507,0.455827
134,0.428886,0.452046
135,0.424264,0.442703
136,0.426636,0.452271
137,0.424663,0.447796
138,0.421819,0.437334
139,0.423937,0.438943
140,0.422832,0.441134
141,0.424009,0.443900
142,0.422687,0.439649
143,0.424464,0.436076
144,0.427113,0.436325
145,0.433837,0.448423
146,0.426778,0.434683
147,0.429639,0.438789
148,0.428654,0.440966
149,0.431628,0.454137
150,0.431435,0.451063
151,0.437016,0.459580
152,0.436323,0.464257
153,0.435758,0.456154
154,0.437335,0.458608
155,0.433420,0.448544
156,0.433793,0.446709
157,0.434272,0.458707
158,0.437505,0.460428
159,0.435357,0.445830
160,0.433667,0.440643
161,0.432507,0.441205
162,0.432436,0.431475
163,0.432012,0.429066
164,0.429560,0.429415
165,0.430355,0.434183
166,0.430439,0.434700
167,0.431067,0.435226
168,0.434630,0.441918
169,0.439911,0.454984
170,0.442948,0.458980
171,0.443245,0.463918
172,0.445610,0.473540
173,0.446719,0.477002
174,0.445894,0.472685
175,0.450385,0.481087
176,0.449075,0.476989
177,0.449391,0.482752
178,0.448312,0.478874
179,0.450977,0.490183
180,0.447950,0.482305
181,0.447517,0.477744
182,0.447198,0.481753
183,0.445596,0.469372
184,0.445702,0.469693
185,0.445499,0.469221
186,0.445299,0.462618
187,0.443430,0.456980
188,0.444459,0.465430
189,0.443909,0.465062
190,0.438940,0.454038
191,0.444679,0.465230
192,0.445664,0.472427
193,0.444009,0.467284
194,0.442696,0.469177
195,0.450344,0.493641
196,0.450363,0.494015
197,0.447478,0.484707
198,0.451252,0.495166
199,0.450980,0.484694
200,0.451520,0.487257
201,0.453924,0.499984
202,0.456245,0.499913
203,0.456914,0.499863
204,0.452032,0.486132
205,0.454975,0.498351
