step,mae,mse
0,0.166276,0.070412
1,0.191309,0.090935
2,0.211385,0.108701
3,0.221289,0.119670
4,0.231448,0.130432
5,0.240929,0.142326
6,0.246533,0.152393
7,0.251421,0.158531
8,0.257334,0.166290
9,0.261581,0.172906
10,0.266395,0.179281
11,0.269285,0.185572
12,0.273278,0.191057
13,0.275213,0.195467
14,0.277648,0.200371
15,0.280165,0.206434
16,0.283690,0.209262
17,0.284032,0.212420
18,0.285594,0.215884
19,0.287332,0.219214
20,0.290073,0.222676
21,0.290933,0.224378
22,0.292031,0.227045
23,0.294231,0.229636
24,0.301968,0.238277
25,0.308811,0.246184
26,0.311812,0.250586
27,0.315455,0.255131
28,0.319549,0.261657
29,0.320444,0.264578
30,0.322926,0.269492
31,0.326877,0.276855
32,0.329385,0.279934
33,0.330585,0.283530
34,0.330226,0.282282
35,0.333033,0.286612
36,0.333993,0.288365
37,0.336420,0.291739
38,0.336906,0.293652
39,0.340894,0.300966
40,0.338943,0.297649
41,0.337200,0.295413
42,0.340128,0.298548
43,0.342774,0.302450
44,0.343145,0.302861
45,0.342465,0.302854
46,0.342891,0.303096
47,0.347733,0.309705
48,0.351614,0.313747
49,0.353837,0.314337
50,0.353119,0.314890
51,0.354939,0.318407
52,0.356756,0.320552
53,0.358369,0.324640
54,0.357801,0.323572
55,0.363502,0.330030
56,0.362732,0.332179
57,0.361951,0.331638
58,0.362621,0.332596
59,0.362373,0.331171
60,0.363040,0.333035
61,0.365344,0.336320
62,0.364235,0.335224
63,0.366838,0.337830
64,0.367172,0.339467
65,0.367668,0.339779
66,0.367122,0.337915
67,0.370680,0.342332
68,0.369147,0.341257
69,0.367469,0.339896
70,0.368920,0.341059
71,0.369959,0.343549
72,0.377775,0.351487
73,0.382108,0.355807
74,0.380269,0.354336
75,0.381155,0.355924
76,0.382664,0.356896
77,0.386186,0.361067
78,0.382044,0.357245
79,0.388393,0.364719
80,0.383730,0.361824
81,0.384844,0.363838
82,0.385045,0.363331
83,0.387231,0.365467
84,0.385754,0.364819
85,0.391391,0.370544
86,0.385637,0.364470
87,0.386496,0.367643
88,0.385904,0.366956
89,0.387912,0.368798
90,0.387141,0.367500
91,0.387876,0.368337
92,0.386313,0.368747
93,0.386173,0.368874
94,0.384818,0.366679
95,0.385957,0.365715
