epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.548868,0.439318,0.908816,0.039646,0.585746,0.548928,0.706719,0.085847,0.678555,0.539983
1,0.464143,0.422193,0.601976,0.082881,0.543732,0.541393,0.551416,0.122391,0.667416,0.533497
2,0.421829,0.417014,0.437650,0.104229,0.521384,0.543061,0.450161,0.141807,0.666489,0.535727
3,0.405191,0.414082,0.375975,0.112468,0.504082,0.537935,0.392849,0.153599,0.662514,0.529996
4,0.394093,0.412315,0.334220,0.119852,0.497916,0.539867,0.360076,0.160494,0.659429,0.531973
5,0.387009,0.410349,0.310322,0.124282,0.493886,0.541198,0.338433,0.168616,0.660120,0.533336
6,0.382164,0.409160,0.293464,0.132976,0.485732,0.540332,0.306330,0.182703,0.658516,0.532803
7,0.377768,0.408044,0.278290,0.140353,0.482819,0.538395,0.300213,0.189792,0.659737,0.530388
8,0.372970,0.406846,0.261660,0.139457,0.476363,0.537437,0.275691,0.192991,0.650760,0.529606
9,0.368477,0.406159,0.244665,0.142278,0.473222,0.539057,0.256905,0.185279,0.654713,0.531350
10,0.364605,0.405532,0.230130,0.142737,0.474174,0.539415,0.259809,0.198827,0.655076,0.531132
11,0.362798,0.405240,0.223347,0.140563,0.473105,0.540102,0.252972,0.186390,0.652038,0.531311
