step,mae,mse
0,0.154343,0.057425
1,0.181151,0.079272
2,0.202325,0.099669
3,0.220416,0.117430
4,0.238459,0.136452
5,0.249707,0.150497
6,0.262200,0.166300
7,0.272259,0.181232
8,0.280503,0.192344
9,0.292080,0.207507
10,0.298335,0.216529
11,0.305619,0.228521
12,0.315199,0.242605
13,0.318687,0.249704
14,0.324331,0.260367
15,0.330116,0.270594
16,0.334796,0.278868
17,0.336843,0.283456
18,0.340886,0.291860
19,0.343682,0.297661
20,0.345541,0.300970
21,0.348703,0.306051
22,0.350174,0.310340
23,0.352182,0.312774
24,0.352083,0.313798
25,0.358862,0.320927
26,0.358612,0.321573
27,0.360286,0.323126
28,0.360146,0.323863
29,0.361305,0.326716
30,0.360704,0.326732
31,0.361244,0.327653
32,0.361523,0.328981
33,0.361292,0.329428
34,0.360361,0.329298
35,0.360103,0.329494
36,0.359639,0.329430
37,0.359763,0.330194
38,0.360831,0.330739
39,0.361183,0.331223
40,0.359918,0.330869
41,0.361036,0.330446
42,0.360584,0.330391
43,0.362937,0.332242
44,0.361781,0.331338
45,0.364309,0.333903
46,0.363311,0.332872
47,0.363332,0.332516
48,0.362742,0.331408
49,0.361421,0.330650
50,0.362912,0.332659
51,0.363523,0.332581
52,0.360814,0.331083
53,0.362498,0.332120
54,0.360199,0.331203
55,0.361732,0.332485
56,0.360514,0.331663
57,0.360236,0.331490
58,0.360428,0.332484
59,0.361074,0.332601
60,0.362551,0.334156
61,0.361716,0.332929
62,0.362938,0.332925
63,0.363393,0.333791
64,0.362954,0.333667
65,0.361786,0.332423
66,0.363200,0.333118
67,0.363440,0.333533
68,0.364459,0.333434
69,0.362156,0.331957
70,0.362673,0.332297
71,0.361365,0.331421
72,0.361242,0.331290
73,0.361039,0.330678
74,0.361166,0.330909
75,0.361345,0.330818
76,0.361123,0.330862
77,0.360590,0.330980
78,0.362448,0.332093
79,0.359734,0.329600
80,0.359220,0.328904
81,0.358579,0.327738
82,0.359907,0.327879
83,0.358046,0.325638
84,0.358435,0.323911
85,0.357914,0.321989
86,0.357413,0.321042
87,0.356300,0.319664
88,0.355859,0.318671
89,0.356315,0.317187
90,0.354428,0.315040
91,0.354341,0.314423
92,0.353251,0.313454
93,0.352277,0.310975
94,0.351944,0.309909
95,0.352673,0.310298
96,0.354757,0.313020
97,0.359291,0.319018
98,0.361772,0.322864
99,0.366122,0.328530
100,0.369732,0.334866
101,0.371841,0.337483
102,0.374231,0.342841
103,0.376909,0.347754
104,0.378304,0.351677
105,0.380880,0.354760
106,0.382587,0.359385
107,0.384504,0.363583
108,0.385927,0.367866
109,0.386776,0.371582
110,0.388361,0.376342
111,0.390024,0.379407
112,0.390280,0.381028
113,0.391599,0.385034
114,0.391620,0.388378
115,0.391870,0.389017
116,0.392135,0.389989
117,0.392871,0.392982
118,0.393254,0.393258
119,0.394447,0.395177
120,0.394680,0.396013
121,0.395174,0.396478
122,0.395248,0.397137
123,0.394821,0.397461
124,0.394882,0.397743
125,0.395793,0.398319
126,0.395722,0.400102
127,0.396065,0.399508
128,0.396289,0.398978
129,0.396053,0.398536
130,0.396385,0.397820
131,0.396662,0.398389
132,0.396524,0.397734
133,0.396653,0.398455
134,0.396794,0.398836
135,0.396212,0.399226
136,0.396833,0.398402
137,0.396912,0.399580
138,0.396017,0.397638
139,0.396928,0.399624
140,0.395622,0.397568
141,0.394544,0.397447
142,0.394385,0.397789
143,0.393893,0.395743
144,0.393568,0.395314
145,0.393595,0.394185
146,0.394660,0.395548
147,0.393453,0.394450
148,0.393753,0.394393
149,0.394201,0.393524
150,0.393645,0.393356
151,0.395017,0.394045
152,0.393918,0.393021
153,0.392487,0.393575
154,0.393379,0.394222
155,0.393320,0.393090
156,0.392982,0.392079
157,0.393381,0.393300
158,0.394110,0.394342
159,0.393664,0.393116
160,0.394922,0.392723
161,0.394372,0.392410
162,0.394642,0.393237
163,0.393848,0.392699
164,0.392830,0.390383
165,0.393124,0.390731
166,0.393556,0.391219
167,0.393563,0.391659
168,0.392892,0.390846
169,0.393697,0.392111
170,0.394499,0.392660
171,0.394604,0.392325
172,0.393688,0.392560
173,0.393336,0.391678
174,0.393478,0.390335
175,0.392967,0.390482
176,0.391737,0.387589
177,0.391336,0.387402
178,0.392051,0.388346
179,0.391504,0.387255
180,0.391097,0.384193
181,0.391374,0.383623
182,0.393544,0.382864
183,0.391110,0.379764
184,0.389961,0.377516
185,0.390526,0.377437
186,0.391731,0.375947
187,0.389409,0.373210
188,0.386903,0.371557
189,0.386165,0.370231
190,0.386684,0.370386
191,0.386433,0.369710
192,0.388093,0.369936
193,0.392165,0.375649
194,0.393909,0.375809
195,0.396494,0.379192
196,0.398710,0.383800
197,0.401160,0.387636
198,0.403096,0.388383
199,0.406981,0.391778
200,0.407150,0.394909
201,0.409326,0.398307
202,0.409827,0.400636
203,0.411316,0.402566
204,0.411765,0.404909
205,0.411858,0.406661
206,0.414357,0.409963
207,0.414655,0.411011
208,0.415918,0.414404
209,0.414842,0.414639
210,0.415448,0.415965
211,0.416317,0.417878
212,0.416039,0.418696
213,0.417358,0.419625
214,0.418074,0.421028
215,0.416029,0.420312
216,0.417779,0.421805
217,0.417762,0.422742
218,0.417113,0.422846
219,0.419132,0.424821
220,0.417981,0.423504
221,0.419891,0.425706
222,0.418916,0.425105
223,0.418750,0.424567
224,0.418467,0.424928
225,0.417722,0.423571
226,0.418157,0.422998
227,0.418433,0.423563
228,0.418232,0.423861
229,0.418312,0.424251
230,0.418222,0.423889
231,0.418570,0.424710
232,0.418336,0.424009
233,0.419683,0.424669
234,0.420373,0.425427
235,0.420072,0.424652
236,0.419004,0.424144
237,0.419801,0.425534
238,0.420087,0.425622
239,0.419186,0.424412
240,0.418867,0.424346
241,0.419389,0.424670
242,0.419501,0.424865
243,0.419929,0.425035
244,0.420509,0.425080
245,0.420380,0.424776
246,0.419837,0.424246
247,0.419221,0.423787
248,0.418578,0.423191
249,0.418186,0.423849
250,0.418136,0.423208
251,0.418547,0.423278
252,0.418881,0.423098
253,0.418054,0.421450
254,0.418556,0.421871
255,0.417912,0.421312
256,0.417886,0.423858
257,0.418143,0.421994
258,0.417470,0.422038
259,0.417943,0.421930
260,0.418032,0.422003
261,0.418120,0.422836
262,0.417593,0.421452
263,0.418534,0.422671
264,0.418025,0.423656
265,0.417749,0.422480
266,0.417466,0.422704
267,0.417707,0.421647
268,0.417574,0.421751
269,0.417255,0.421501
270,0.416817,0.419401
271,0.417463,0.420087
272,0.416956,0.419533
273,0.416754,0.419727
274,0.416063,0.417594
275,0.415498,0.418229
276,0.415733,0.416135
277,0.415400,0.415508
278,0.415332,0.416353
279,0.415722,0.416772
280,0.417061,0.417516
281,0.415250,0.415169
282,0.415859,0.418869
283,0.415051,0.414711
284,0.413431,0.412854
285,0.413433,0.417392
286,0.411935,0.416316
287,0.411735,0.417851
288,0.411836,0.417742
289,0.414686,0.424208
290,0.417651,0.430774
291,0.419725,0.432769
292,0.421967,0.436688
293,0.423875,0.438858
294,0.425063,0.441821
295,0.427028,0.446515
296,0.430774,0.455488
297,0.432069,0.455548
298,0.431836,0.457581
299,0.432858,0.460082
300,0.435004,0.462065
301,0.435394,0.464857
302,0.436396,0.466891
303,0.436802,0.469051
304,0.437571,0.470072
305,0.437757,0.470360
306,0.437901,0.474511
307,0.439429,0.477404
308,0.439386,0.476633
309,0.439476,0.475204
310,0.439718,0.478466
