epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.355480,0.480805,0.230155,0.133494,0.368990,0.659813,0.078166,0.162713,0.995397,0.651971
1,0.264935,0.466403,0.063467,0.175918,0.357406,0.660723,0.054088,0.178097,0.989153,0.652761
2,0.256682,0.461696,0.051669,0.187798,0.351457,0.654764,0.048150,0.187069,0.982810,0.647482
3,0.253330,0.458800,0.047861,0.192220,0.350152,0.654263,0.046041,0.189013,0.979948,0.647483
4,0.251744,0.457115,0.046372,0.193718,0.349867,0.654749,0.044986,0.188211,0.978548,0.648308
5,0.250715,0.456029,0.045401,0.189609,0.349942,0.655376,0.044509,0.185703,0.975483,0.648327
6,0.249723,0.455325,0.044122,0.190455,0.350105,0.656896,0.043314,0.188538,0.977812,0.650031
7,0.249032,0.454539,0.043525,0.196257,0.348534,0.653596,0.043471,0.190188,0.974358,0.646744
8,0.248218,0.453574,0.042862,0.199392,0.348363,0.654656,0.042069,0.195731,0.975256,0.648038
9,0.247255,0.452962,0.041549,0.200122,0.348365,0.655834,0.040897,0.195369,0.978704,0.649214
10,0.246244,0.452553,0.039935,0.200892,0.345237,0.651587,0.038888,0.198381,0.968487,0.644689
11,0.245492,0.452046,0.038938,0.200469,0.346844,0.654928,0.038761,0.198595,0.972346,0.647419
12,0.244837,0.451649,0.038024,0.199559,0.345241,0.652798,0.037683,0.196022,0.970674,0.645707
13,0.244522,0.451237,0.037808,0.202792,0.346906,0.656520,0.037293,0.202666,0.976615,0.649638
