step,mae,mse
0,0.101447,0.032527
1,0.126007,0.047347
2,0.141957,0.057230
3,0.153069,0.065245
4,0.161285,0.071597
5,0.168468,0.077329
6,0.174995,0.082776
7,0.180380,0.087242
8,0.186100,0.092377
9,0.191670,0.097193
10,0.196697,0.102181
11,0.201115,0.106264
12,0.204388,0.109643
13,0.208423,0.113359
14,0.211802,0.116665
15,0.214450,0.119606
16,0.218483,0.123078
17,0.220140,0.125269
18,0.224140,0.129187
19,0.226454,0.131934
20,0.229312,0.135086
21,0.232147,0.138200
22,0.234171,0.140334
23,0.235882,0.142835
24,0.238847,0.146168
25,0.240188,0.147876
26,0.241962,0.150200
27,0.243628,0.152650
28,0.245270,0.154950
29,0.246200,0.156397
30,0.249011,0.159646
31,0.251292,0.162894
32,0.251920,0.163873
33,0.252664,0.165199
34,0.254175,0.167744
35,0.255540,0.169826
36,0.257015,0.172142
37,0.258331,0.174748
38,0.258260,0.175423
39,0.258958,0.177031
40,0.260738,0.179717
41,0.264059,0.183514
42,0.263408,0.183294
43,0.264669,0.185106
44,0.266193,0.187278
45,0.265769,0.187499
46,0.265412,0.187082
47,0.266420,0.189009
48,0.267771,0.191030
49,0.268962,0.192703
50,0.270062,0.195204
51,0.271141,0.196771
52,0.271945,0.198618
53,0.273750,0.201595
54,0.272892,0.200180
55,0.273343,0.201499
56,0.274062,0.202554
57,0.274999,0.203389
58,0.275210,0.204166
59,0.275854,0.205757
60,0.276011,0.206258
61,0.276408,0.207957
62,0.276793,0.208283
63,0.276978,0.208519
64,0.277586,0.209563
65,0.278135,0.210471
66,0.279509,0.212531
67,0.279655,0.213661
68,0.279800,0.214222
69,0.281007,0.215974
70,0.282021,0.217326
71,0.281188,0.217015
72,0.281031,0.217796
73,0.281215,0.218030
74,0.282600,0.220174
75,0.282720,0.220934
76,0.283312,0.221588
77,0.282403,0.221040
78,0.282526,0.221728
79,0.283147,0.222258
80,0.283089,0.222257
81,0.283174,0.223113
82,0.283322,0.223928
83,0.284893,0.226528
84,0.283723,0.225137
85,0.283215,0.224792
86,0.283852,0.225927
87,0.284029,0.226306
88,0.284384,0.227253
89,0.284696,0.227816
90,0.285636,0.228657
91,0.285789,0.229242
92,0.287145,0.231253
93,0.286741,0.230758
94,0.287204,0.231573
95,0.287736,0.232316
96,0.290306,0.235491
97,0.293278,0.238934
98,0.295807,0.241478
99,0.298717,0.244786
100,0.301320,0.247803
101,0.303649,0.251020
102,0.305474,0.252827
103,0.308168,0.256286
104,0.309528,0.257903
105,0.311541,0.260542
106,0.313793,0.263682
107,0.314862,0.265154
108,0.317176,0.268555
109,0.318475,0.270734
110,0.318771,0.271006
111,0.320344,0.273761
112,0.321738,0.275718
113,0.322340,0.276634
114,0.323859,0.278896
115,0.325170,0.280090
116,0.326597,0.282382
117,0.327693,0.283854
118,0.328409,0.285200
119,0.331348,0.288996
120,0.330487,0.288236
121,0.331136,0.289609
122,0.331966,0.291247
123,0.332578,0.291834
124,0.333076,0.292454
125,0.334281,0.294067
126,0.334604,0.295532
127,0.335238,0.296937
128,0.335843,0.298105
129,0.336098,0.298719
130,0.336896,0.299944
131,0.337451,0.301149
132,0.338081,0.302432
133,0.338344,0.302990
134,0.339237,0.304457
135,0.339988,0.305822
136,0.340288,0.306228
137,0.340805,0.307444
138,0.340862,0.307284
139,0.343094,0.311135
140,0.342130,0.309616
141,0.343534,0.311393
142,0.342557,0.309887
143,0.343078,0.311023
144,0.342484,0.310250
145,0.343692,0.312267
146,0.345153,0.314259
147,0.345173,0.314198
148,0.345354,0.314339
149,0.345917,0.315592
150,0.346199,0.316228
151,0.346735,0.316964
152,0.347235,0.317774
153,0.347412,0.318188
154,0.348121,0.319201
155,0.348473,0.319639
156,0.348385,0.319552
157,0.349024,0.320450
158,0.349479,0.321916
159,0.350541,0.323429
160,0.349638,0.322158
161,0.349249,0.321761
162,0.349426,0.322435
163,0.349593,0.322846
164,0.351112,0.325285
165,0.349962,0.323610
166,0.351381,0.325886
167,0.350816,0.324764
168,0.349835,0.323347
169,0.349694,0.323703
170,0.350220,0.324629
171,0.351028,0.325898
172,0.349991,0.324448
173,0.349936,0.324758
174,0.349497,0.324172
175,0.349596,0.324392
176,0.348704,0.323372
177,0.349017,0.324394
178,0.348065,0.322934
179,0.347953,0.322849
180,0.348008,0.323598
181,0.347764,0.323087
182,0.347426,0.322287
183,0.347180,0.321880
184,0.347870,0.323303
185,0.347789,0.323448
186,0.347921,0.323968
187,0.347737,0.323617
188,0.350881,0.329190
189,0.349511,0.327270
190,0.349630,0.327658
191,0.349768,0.327996
