epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.620214,0.418820,0.821608,0.044204,0.558586,0.362805,0.754367,0.116349,0.285580,0.359950
1,0.491214,0.412427,0.570000,0.080702,0.483401,0.363156,0.603646,0.124656,0.286602,0.360392
2,0.412559,0.410294,0.414823,0.093783,0.423298,0.362523,0.484072,0.134554,0.286124,0.359629
3,0.381735,0.408881,0.354589,0.099947,0.393024,0.362367,0.423680,0.134155,0.284310,0.359581
4,0.363245,0.408251,0.318239,0.100822,0.380848,0.363628,0.398069,0.133185,0.288338,0.360952
5,0.345365,0.407792,0.282939,0.105395,0.346782,0.363031,0.330533,0.144055,0.285372,0.360109
6,0.329510,0.407400,0.251620,0.107488,0.332992,0.362840,0.303143,0.139696,0.282398,0.359889
7,0.321139,0.406469,0.235810,0.099017,0.329521,0.365088,0.293953,0.127535,0.284849,0.362236
8,0.314911,0.404272,0.225549,0.086020,0.331364,0.369186,0.293541,0.110080,0.294824,0.366778
9,0.312118,0.401834,0.222403,0.072183,0.327448,0.370668,0.284228,0.092371,0.297463,0.368647
