step,mae,mse
0,0.100652,0.032729
1,0.129935,0.048830
2,0.144355,0.058710
3,0.153391,0.065275
4,0.161120,0.071331
5,0.170054,0.077872
6,0.175393,0.082626
7,0.180241,0.087112
8,0.186260,0.091846
9,0.191988,0.097280
10,0.199530,0.103543
11,0.199881,0.105407
12,0.204997,0.109655
13,0.206804,0.111805
14,0.210319,0.115028
15,0.215440,0.119750
16,0.217276,0.122190
17,0.220302,0.125591
18,0.222670,0.128274
19,0.227869,0.133138
20,0.229513,0.135067
21,0.232574,0.138478
22,0.235183,0.141424
23,0.236944,0.143738
24,0.238658,0.145362
25,0.239090,0.147323
26,0.241000,0.149956
27,0.243710,0.153117
28,0.244960,0.154923
29,0.245868,0.156081
30,0.247801,0.158473
31,0.249158,0.160456
32,0.250294,0.162429
33,0.251716,0.164886
34,0.253259,0.166933
35,0.256886,0.171531
36,0.255368,0.170833
37,0.256406,0.172499
38,0.258336,0.174704
39,0.259847,0.176943
40,0.259845,0.178381
41,0.261258,0.179774
42,0.262724,0.181597
43,0.264659,0.183740
44,0.263616,0.183607
45,0.263714,0.184841
46,0.264796,0.186893
47,0.266035,0.188966
48,0.267361,0.190573
49,0.269260,0.192690
50,0.270734,0.195085
51,0.270750,0.196525
52,0.270862,0.197306
53,0.271097,0.198925
54,0.273287,0.201491
55,0.273034,0.202429
56,0.273744,0.202455
57,0.274597,0.203490
58,0.274632,0.204653
59,0.274736,0.204762
60,0.275127,0.206131
61,0.275512,0.206999
62,0.276294,0.208540
63,0.276597,0.209398
64,0.277617,0.209980
65,0.278040,0.210757
66,0.277683,0.211296
67,0.279164,0.212670
68,0.279338,0.214177
69,0.279738,0.214998
70,0.280576,0.216661
71,0.280449,0.215510
72,0.280150,0.216503
73,0.280860,0.217814
74,0.283627,0.220399
75,0.282706,0.220180
76,0.282789,0.220864
77,0.281800,0.221764
78,0.281515,0.221378
79,0.281710,0.221905
80,0.282124,0.221804
81,0.282247,0.222609
82,0.283000,0.224817
83,0.283760,0.226192
84,0.283482,0.225230
85,0.283625,0.225976
86,0.284039,0.226788
87,0.284239,0.227597
88,0.284822,0.228234
89,0.285525,0.227982
90,0.284518,0.228373
91,0.285187,0.228988
92,0.285770,0.229102
93,0.285995,0.229694
94,0.287615,0.230678
95,0.288960,0.232678
