step,mae,mse
0,0.234629,0.125482
1,0.279539,0.183111
2,0.307609,0.225794
3,0.329569,0.262207
4,0.339214,0.283512
5,0.346284,0.295632
6,0.351961,0.304514
7,0.351292,0.304824
8,0.351275,0.305384
9,0.352911,0.305708
10,0.353652,0.306574
11,0.353083,0.305914
12,0.355420,0.307073
13,0.354579,0.306042
14,0.359135,0.309981
15,0.358111,0.309571
16,0.356364,0.307375
17,0.356474,0.306076
18,0.358833,0.309493
19,0.355642,0.309568
20,0.356264,0.311074
21,0.357531,0.309581
22,0.357066,0.309243
23,0.357436,0.311600
24,0.364883,0.322109
25,0.373439,0.333064
26,0.379317,0.343644
27,0.382514,0.350311
28,0.382617,0.356244
29,0.384877,0.360713
30,0.384064,0.361299
31,0.382394,0.358908
32,0.383342,0.362219
33,0.383376,0.359410
34,0.384669,0.359974
35,0.383900,0.360641
36,0.382626,0.357493
37,0.383674,0.358160
38,0.386038,0.362951
39,0.383506,0.359584
40,0.382256,0.358950
41,0.383693,0.359331
42,0.383370,0.359151
43,0.384271,0.361047
44,0.384241,0.361684
45,0.383795,0.357571
46,0.382255,0.354281
47,0.384399,0.359920
48,0.393492,0.372295
49,0.399500,0.381769
50,0.406583,0.393574
51,0.404826,0.398907
52,0.406331,0.403442
53,0.407362,0.405229
54,0.408728,0.407795
55,0.408632,0.409321
56,0.405694,0.404249
57,0.405940,0.401159
58,0.408238,0.407924
59,0.405569,0.406461
60,0.406573,0.411172
61,0.409539,0.412922
62,0.408088,0.410037
63,0.408332,0.412185
64,0.407286,0.412327
65,0.410193,0.417279
66,0.407236,0.410384
67,0.406572,0.410694
68,0.409905,0.422396
69,0.410772,0.416318
70,0.409645,0.420224
71,0.407516,0.413504
72,0.410460,0.419656
73,0.415030,0.425459
74,0.419007,0.428839
75,0.421564,0.433273
76,0.423253,0.436029
77,0.426102,0.437404
78,0.424404,0.436584
79,0.420549,0.440456
80,0.420998,0.439709
81,0.421734,0.435404
82,0.423372,0.440791
83,0.422299,0.441479
84,0.422469,0.442866
85,0.423781,0.443850
86,0.419787,0.433904
87,0.419990,0.434284
88,0.422760,0.437298
89,0.424260,0.437868
90,0.423095,0.439127
91,0.424512,0.447263
92,0.422721,0.443097
93,0.422294,0.438857
94,0.420939,0.439521
95,0.420492,0.444036
96,0.423896,0.447672
97,0.426953,0.450314
98,0.430118,0.454844
99,0.431488,0.457564
100,0.432936,0.464254
101,0.433253,0.461997
102,0.429528,0.458381
103,0.432278,0.460280
104,0.429432,0.457712
105,0.430412,0.455159
106,0.429312,0.452335
107,0.430403,0.459426
108,0.434316,0.469914
109,0.432754,0.464988
110,0.431874,0.457918
111,0.430446,0.454131
112,0.427862,0.449533
113,0.429326,0.449808
114,0.428353,0.452345
115,0.432624,0.456560
116,0.429626,0.457663
117,0.429614,0.452334
118,0.429221,0.452183
119,0.428680,0.456862
120,0.431381,0.455290
121,0.435486,0.459776
122,0.436202,0.459173
123,0.436557,0.462763
124,0.438292,0.464967
125,0.441546,0.465996
126,0.440462,0.466944
127,0.440527,0.475009
128,0.443523,0.481450
129,0.447291,0.479152
130,0.445062,0.480803
131,0.443568,0.478732
132,0.443960,0.479809
133,0.447060,0.483703
134,0.443657,0.477337
135,0.442182,0.474094
136,0.442455,0.474083
137,0.447848,0.483694
138,0.444099,0.476273
139,0.443642,0.477711
140,0.444367,0.481072
141,0.444495,0.479101
142,0.442960,0.472970
143,0.443747,0.478293
144,0.447777,0.480520
145,0.450527,0.482284
146,0.453829,0.489548
147,0.457395,0.499298
148,0.459635,0.499734
149,0.457942,0.498983
150,0.456830,0.499059
151,0.455937,0.495275
152,0.455236,0.491693
153,0.456899,0.493990
154,0.456107,0.493684
155,0.456429,0.499441
156,0.459248,0.505553
157,0.460029,0.511456
158,0.457255,0.502947
159,0.454837,0.494314
160,0.456623,0.489740
161,0.460477,0.495263
162,0.459781,0.501772
163,0.457527,0.497994
164,0.455396,0.498933
165,0.455210,0.494482
166,0.455966,0.495220
167,0.456317,0.497982
168,0.457853,0.500035
169,0.462929,0.505238
170,0.468757,0.524019
171,0.466091,0.519127
172,0.470974,0.532960
173,0.471744,0.531806
174,0.471479,0.534137
175,0.466419,0.520912
176,0.469305,0.528469
177,0.470190,0.524395
178,0.470411,0.526402
179,0.467244,0.519360
180,0.467350,0.516818
181,0.464662,0.511171
182,0.464366,0.509665
183,0.467626,0.510140
184,0.468873,0.511499
185,0.467219,0.516317
186,0.464902,0.510181
187,0.468818,0.521014
188,0.464731,0.514402
189,0.464990,0.513885
190,0.464487,0.516570
191,0.461939,0.513820
