epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.489848,0.489848,1.001132,0.398246,0.695700,0.695700,0.996565,0.375959,1.045949,0.680378
1,0.461425,0.461425,1.001166,0.405915,0.680909,0.680909,0.996865,0.364334,1.024220,0.669200
2,0.452697,0.452697,1.001122,0.368407,0.685537,0.685537,0.996771,0.357917,1.026332,0.664697
3,0.446963,0.446963,1.001080,0.314489,0.681174,0.681174,0.996567,0.317437,1.012933,0.660326
4,0.442924,0.442924,1.001092,0.268733,0.671155,0.671155,0.996718,0.258398,1.014720,0.660090
5,0.439308,0.439308,1.001092,0.237388,0.671310,0.671310,0.996382,0.237367,1.000817,0.653136
6,0.436382,0.436382,1.000989,0.214360,0.663766,0.663766,0.996971,0.223459,0.994962,0.652810
7,0.434715,0.434715,1.001014,0.197704,0.658851,0.658851,0.996412,0.205431,0.997173,0.654359
8,0.431952,0.431952,1.000997,0.186412,0.684515,0.684515,0.998208,0.184833,1.025300,0.666013
9,0.430784,0.430784,1.000985,0.174961,0.674603,0.674603,0.996998,0.178783,1.001239,0.652940
