epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.500475,0.500475,1.000879,0.028949,0.780578,0.780578,0.996513,0.028865,1.318082,0.769048
1,0.482122,0.482122,1.000952,0.030983,0.771478,0.771478,0.996746,0.035209,1.294963,0.759735
2,0.477221,0.477221,1.000851,0.035245,0.769242,0.769242,0.996449,0.040681,1.293358,0.757277
3,0.473191,0.473191,1.000924,0.038567,0.768349,0.768349,0.996671,0.039163,1.293758,0.758559
4,0.469945,0.469945,1.000913,0.041546,0.767862,0.767862,0.996590,0.041985,1.291630,0.757858
5,0.467584,0.467584,1.000875,0.043836,0.770212,0.770212,0.996482,0.048877,1.290764,0.757941
6,0.466206,0.466206,1.000917,0.045768,0.778072,0.778072,0.996730,0.046817,1.316226,0.767118
7,0.464131,0.464131,1.000909,0.047009,0.791568,0.791568,0.996487,0.046936,1.340935,0.777256
8,0.459095,0.459095,1.000931,0.047751,0.767958,0.767958,0.996531,0.048713,1.288995,0.756114
9,0.457527,0.457527,1.000968,0.049457,0.770157,0.770157,0.996643,0.049871,1.295550,0.758359
10,0.457068,0.457068,1.000878,0.050479,0.769163,0.769163,0.996619,0.050148,1.293028,0.757020
11,0.456751,0.456751,1.000910,0.051329,0.771264,0.771264,0.996627,0.052214,1.297272,0.758733
