epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.500475,0.500475,1.000000,0.780578,0.780578,0.000000,0.000000,1.318082,0.769048
1,0.482122,0.482122,1.000000,0.771478,0.771478,0.000000,0.000000,1.294963,0.759735
2,0.477221,0.477221,1.000000,0.769242,0.769242,0.000000,0.000000,1.293358,0.757277
3,0.473191,0.473191,1.000000,0.768349,0.768349,0.000000,0.000000,1.293758,0.758559
4,0.469945,0.469945,1.000000,0.767862,0.767862,0.000000,0.000000,1.291630,0.757858
5,0.467584,0.467584,1.000000,0.770212,0.770212,0.000000,0.000000,1.290764,0.757941
6,0.466206,0.466206,1.000000,0.778072,0.778072,0.000000,0.000000,1.316226,0.767118
7,0.464131,0.464131,1.000000,0.791568,0.791568,0.000000,0.000000,1.340935,0.777256
8,0.459095,0.459095,1.000000,0.767958,0.767958,0.000000,0.000000,1.288995,0.756114
9,0.457527,0.457527,1.000000,0.770157,0.770157,0.000000,0.000000,1.295550,0.758359
10,0.457068,0.457068,1.000000,0.769163,0.769163,0.000000,0.000000,1.293028,0.757020
11,0.456751,0.456751,1.000000,0.771264,0.771264,0.000000,0.000000,1.297272,0.758733
