step,mae,mse
0,0.230901,0.125153
1,0.277653,0.182364
2,0.307067,0.225338
3,0.327868,0.258772
4,0.340824,0.282295
5,0.345489,0.296643
6,0.351074,0.303094
7,0.358162,0.312086
8,0.360188,0.315475
9,0.358406,0.312316
10,0.360893,0.312867
11,0.361138,0.311787
12,0.359860,0.310731
13,0.356816,0.309124
14,0.356494,0.309809
15,0.357188,0.309279
16,0.357946,0.312959
17,0.354525,0.308385
18,0.356637,0.312821
19,0.354091,0.306032
20,0.353935,0.307653
21,0.354571,0.309505
22,0.357587,0.313114
23,0.355780,0.308072
24,0.364578,0.325017
25,0.376994,0.344437
26,0.381623,0.349646
27,0.384210,0.351845
28,0.383471,0.357176
29,0.385137,0.362518
30,0.384519,0.362631
31,0.387011,0.360993
32,0.387034,0.363593
33,0.387492,0.363975
34,0.387198,0.364224
35,0.385935,0.360034
36,0.381613,0.356931
37,0.383655,0.359614
38,0.382819,0.358298
39,0.384442,0.357833
40,0.380120,0.353841
41,0.380885,0.356273
42,0.379480,0.353879
43,0.381823,0.350811
44,0.382733,0.354492
45,0.380862,0.355199
46,0.384261,0.357703
47,0.384421,0.359961
48,0.390687,0.369699
49,0.398441,0.381435
50,0.398498,0.385204
51,0.402695,0.393310
52,0.400539,0.394264
53,0.405588,0.398944
54,0.405383,0.400090
55,0.404375,0.401827
56,0.404067,0.398547
57,0.403206,0.401593
58,0.403491,0.397679
59,0.408605,0.399060
60,0.401613,0.396840
61,0.406027,0.402158
62,0.404636,0.397595
63,0.402881,0.394990
64,0.401367,0.398353
65,0.401362,0.399711
66,0.400264,0.393128
67,0.401271,0.394093
68,0.398528,0.394001
69,0.399593,0.390880
70,0.403533,0.399242
71,0.402576,0.396654
72,0.406355,0.411296
73,0.410945,0.418535
74,0.414856,0.429223
75,0.416189,0.428837
76,0.415225,0.430154
77,0.415207,0.431905
78,0.417163,0.430927
79,0.417313,0.430479
80,0.415698,0.428263
81,0.416129,0.430888
82,0.416107,0.428510
83,0.414906,0.429068
84,0.417079,0.438494
85,0.417449,0.436723
86,0.417006,0.436253
87,0.415575,0.430402
88,0.415470,0.439009
89,0.414414,0.436116
90,0.417595,0.439606
91,0.418549,0.435659
92,0.417850,0.435491
93,0.417184,0.433203
94,0.416608,0.435107
95,0.415973,0.435879
96,0.417868,0.444263
97,0.419837,0.443850
98,0.420698,0.446274
99,0.420370,0.443040
100,0.419675,0.445048
101,0.420829,0.446337
102,0.422207,0.444313
103,0.422086,0.443372
104,0.420896,0.444384
105,0.423245,0.452515
106,0.422816,0.450922
107,0.426424,0.455765
108,0.425556,0.456286
109,0.425988,0.455389
110,0.425439,0.454645
111,0.424718,0.448963
112,0.422999,0.454266
113,0.423612,0.452350
114,0.425618,0.457526
115,0.426265,0.450561
116,0.426743,0.452616
117,0.427540,0.453154
118,0.427377,0.447187
119,0.424329,0.443487
120,0.426904,0.451785
121,0.432116,0.463476
122,0.432408,0.463620
123,0.434280,0.467056
124,0.434205,0.470261
125,0.434325,0.465637
126,0.435076,0.464616
127,0.435520,0.463465
128,0.434268,0.465137
129,0.436715,0.468590
130,0.437536,0.473429
131,0.437619,0.470869
132,0.434804,0.467050
133,0.437361,0.472344
134,0.436135,0.469946
135,0.439600,0.470383
136,0.437148,0.468107
137,0.438542,0.471663
138,0.439698,0.466236
139,0.438035,0.464232
140,0.436406,0.463234
141,0.438830,0.470747
142,0.438065,0.468559
143,0.437076,0.467663
144,0.439376,0.474731
145,0.442620,0.477993
146,0.445145,0.484006
147,0.444892,0.479935
148,0.446401,0.487718
149,0.447413,0.489781
150,0.448412,0.490775
151,0.450689,0.491197
152,0.447903,0.487948
153,0.449631,0.487286
154,0.450547,0.489400
155,0.448023,0.483279
156,0.447441,0.484132
157,0.447616,0.485971
158,0.447608,0.482874
159,0.445438,0.475022
160,0.447952,0.479167
161,0.449334,0.480343
162,0.451849,0.486454
163,0.452430,0.484840
164,0.451616,0.489462
165,0.453043,0.494741
166,0.454415,0.494975
167,0.452702,0.493523
168,0.453419,0.501186
169,0.460779,0.512843
170,0.464607,0.522669
171,0.463973,0.521801
172,0.462156,0.521109
173,0.462847,0.520097
174,0.463254,0.518464
175,0.465157,0.518433
176,0.462483,0.511561
177,0.463291,0.511673
178,0.464763,0.509902
179,0.462204,0.503129
180,0.461593,0.503620
181,0.464140,0.511013
182,0.463982,0.509290
183,0.461926,0.504502
184,0.459198,0.500488
185,0.461126,0.506937
186,0.459650,0.503268
187,0.461044,0.501380
188,0.460395,0.505747
189,0.463395,0.511545
190,0.462086,0.513128
191,0.459951,0.505963
192,0.459923,0.509136
193,0.466025,0.523570
194,0.467416,0.527526
195,0.466061,0.526644
196,0.466683,0.533569
197,0.467542,0.533537
198,0.468261,0.532795
199,0.467643,0.530468
200,0.466932,0.526129
201,0.467847,0.525686
202,0.466591,0.522481
203,0.466503,0.523310
204,0.467700,0.528752
205,0.470302,0.538285
206,0.467664,0.531053
207,0.467170,0.527289
208,0.467651,0.529268
209,0.471146,0.537734
210,0.470901,0.539575
211,0.468244,0.532480
212,0.468206,0.533068
213,0.468688,0.530702
214,0.469022,0.532049
215,0.467288,0.531362
216,0.466761,0.534732
217,0.469645,0.536172
218,0.469214,0.536838
219,0.469050,0.535339
220,0.468029,0.536578
221,0.471117,0.541637
222,0.468271,0.533088
223,0.470148,0.536371
224,0.467938,0.535371
225,0.473944,0.548531
226,0.472915,0.548390
227,0.471790,0.546597
228,0.471665,0.547927
229,0.472126,0.546804
230,0.472263,0.547327
231,0.469768,0.534865
232,0.467015,0.526347
233,0.468372,0.527981
234,0.470927,0.534311
235,0.466190,0.520673
236,0.463856,0.516338
237,0.466493,0.521075
238,0.465938,0.520181
239,0.466296,0.516282
240,0.462569,0.512717
241,0.470120,0.531074
242,0.466801,0.526878
243,0.468503,0.531508
244,0.469894,0.546632
245,0.472947,0.553596
246,0.472231,0.548486
247,0.471089,0.539653
248,0.470911,0.542688
249,0.471000,0.535129
250,0.474073,0.542471
251,0.471313,0.539011
252,0.471389,0.543058
253,0.469252,0.528721
254,0.469378,0.534670
255,0.466302,0.523513
256,0.466488,0.525304
257,0.469474,0.524998
258,0.469046,0.529061
259,0.467159,0.522167
260,0.464835,0.521592
261,0.468236,0.529554
262,0.466563,0.527513
263,0.462173,0.515726
264,0.460334,0.508729
265,0.466046,0.516932
