step,mae,mse
0,0.229574,0.122275
1,0.279385,0.182104
2,0.309140,0.225496
3,0.327926,0.258698
4,0.340085,0.282782
5,0.346691,0.295140
6,0.351209,0.302480
7,0.353479,0.305889
8,0.354991,0.309018
9,0.355262,0.309161
10,0.356526,0.310558
11,0.356997,0.309745
12,0.357282,0.311603
13,0.356186,0.310854
14,0.356244,0.311870
15,0.357230,0.311142
16,0.356460,0.311235
17,0.354850,0.309657
18,0.355050,0.310305
19,0.354068,0.306882
20,0.354070,0.306587
21,0.354309,0.307645
22,0.354080,0.306956
23,0.354860,0.308415
24,0.363321,0.320070
25,0.370096,0.330916
26,0.375866,0.339503
27,0.380239,0.348467
28,0.382999,0.356785
29,0.383414,0.359754
30,0.384588,0.363233
31,0.384861,0.362358
32,0.386057,0.364412
33,0.385809,0.365141
34,0.384456,0.360778
35,0.384252,0.359580
36,0.384446,0.359462
37,0.383036,0.358753
38,0.383072,0.358209
39,0.381223,0.354865
40,0.381962,0.356492
41,0.380502,0.355570
42,0.381045,0.356717
43,0.379622,0.353611
44,0.380682,0.356412
45,0.379377,0.354145
46,0.379511,0.352532
47,0.378467,0.351441
48,0.388042,0.366207
49,0.392892,0.375329
50,0.397226,0.384927
51,0.398637,0.391120
52,0.401229,0.399260
53,0.402157,0.404193
54,0.404224,0.408402
55,0.404730,0.405759
56,0.406460,0.412854
57,0.405419,0.410017
58,0.405403,0.409896
59,0.404890,0.406074
60,0.406805,0.411737
61,0.406548,0.411575
62,0.405598,0.408041
63,0.405070,0.406175
64,0.403977,0.405944
65,0.403001,0.404175
66,0.401897,0.402124
67,0.401229,0.399671
68,0.401936,0.401392
69,0.401069,0.398244
70,0.400046,0.396921
71,0.398553,0.393461
72,0.404483,0.407175
73,0.408755,0.414710
74,0.411428,0.422303
75,0.413842,0.426190
76,0.415134,0.432372
77,0.415971,0.433309
78,0.416135,0.432831
79,0.415817,0.429211
80,0.417831,0.434129
81,0.418203,0.433080
82,0.419442,0.436001
83,0.418232,0.434286
84,0.418825,0.438580
85,0.418311,0.439294
86,0.418184,0.440392
87,0.418328,0.439078
88,0.418570,0.440990
89,0.417681,0.437303
90,0.416366,0.434612
91,0.416640,0.432759
92,0.417669,0.437208
93,0.416001,0.435082
94,0.415295,0.434420
95,0.413909,0.433895
96,0.417246,0.439742
97,0.419933,0.444213
98,0.421395,0.447352
99,0.421577,0.446547
100,0.425219,0.456031
101,0.425645,0.456099
102,0.425017,0.454316
103,0.424638,0.454624
104,0.426449,0.455979
105,0.426602,0.455356
106,0.425956,0.452014
107,0.425515,0.451774
108,0.427040,0.455834
109,0.426431,0.456819
110,0.425896,0.452560
111,0.425231,0.451744
112,0.426506,0.456485
113,0.426695,0.456126
114,0.424261,0.450194
115,0.423054,0.449234
116,0.424712,0.453599
117,0.424618,0.453407
118,0.423583,0.452281
119,0.423377,0.451244
120,0.427823,0.456303
121,0.431066,0.459823
122,0.431796,0.459634
123,0.432384,0.460234
124,0.434730,0.468258
125,0.436588,0.470294
126,0.435368,0.467053
127,0.434518,0.465084
128,0.437761,0.471562
129,0.436973,0.470651
130,0.437314,0.469617
131,0.436721,0.469495
132,0.438159,0.473096
133,0.438120,0.472592
134,0.438630,0.473852
135,0.438457,0.474512
136,0.439555,0.476917
137,0.438585,0.473562
138,0.437739,0.471645
139,0.437683,0.472398
140,0.439762,0.476168
141,0.440076,0.473444
142,0.438298,0.470725
143,0.436919,0.469578
144,0.442011,0.478411
145,0.444712,0.479854
146,0.445159,0.479330
147,0.444942,0.479031
148,0.447391,0.485150
149,0.449458,0.485397
150,0.450524,0.489250
151,0.449347,0.488455
152,0.451293,0.489738
153,0.453971,0.494722
154,0.451901,0.490395
155,0.450884,0.488213
156,0.453704,0.494361
157,0.454776,0.495889
158,0.453029,0.492888
159,0.452819,0.492903
160,0.454921,0.498035
161,0.455628,0.499283
162,0.454255,0.496044
163,0.451813,0.490038
164,0.452669,0.490422
165,0.454884,0.491843
166,0.454975,0.493806
167,0.453914,0.496789
168,0.456948,0.502477
169,0.460197,0.507838
170,0.461651,0.510551
171,0.462736,0.514318
172,0.465898,0.525606
173,0.469315,0.530068
174,0.467494,0.527918
175,0.465855,0.523553
176,0.468748,0.528467
177,0.468800,0.528428
178,0.468027,0.526288
179,0.465778,0.522748
180,0.467894,0.527748
181,0.466791,0.524285
182,0.467218,0.527474
183,0.465736,0.522118
184,0.466823,0.523259
185,0.466453,0.521818
186,0.465061,0.519194
187,0.464730,0.519572
188,0.466600,0.521487
189,0.464330,0.513455
190,0.462526,0.510182
191,0.458930,0.508406
192,0.463948,0.520142
193,0.465785,0.522145
194,0.467392,0.529525
195,0.467121,0.527765
196,0.471082,0.536976
197,0.471006,0.538843
198,0.472738,0.540032
199,0.470592,0.537872
200,0.475617,0.547517
201,0.475882,0.548302
202,0.476015,0.549136
203,0.473898,0.545208
204,0.475754,0.550476
205,0.475044,0.548683
