step,mae,mse
0,0.239126,0.132762
1,0.287164,0.192195
2,0.317449,0.237700
3,0.333830,0.268404
4,0.344595,0.289785
5,0.348839,0.300356
6,0.352156,0.304519
7,0.354216,0.307500
8,0.354999,0.309123
9,0.357225,0.310856
10,0.358760,0.312348
11,0.358045,0.312172
12,0.357493,0.311247
13,0.357373,0.312009
14,0.358631,0.313240
15,0.358699,0.311987
16,0.360279,0.313457
17,0.357004,0.312721
18,0.358082,0.313106
19,0.356509,0.310198
20,0.354925,0.309024
21,0.354357,0.309360
22,0.354577,0.310089
23,0.357207,0.312049
24,0.362847,0.320878
25,0.370488,0.333366
26,0.376883,0.342007
27,0.378958,0.344955
28,0.379310,0.348842
29,0.380434,0.351848
30,0.379045,0.353951
31,0.377504,0.350210
32,0.381867,0.353676
33,0.380297,0.355063
34,0.379472,0.357386
35,0.377338,0.351695
36,0.377012,0.349697
37,0.376682,0.349006
38,0.375470,0.348709
39,0.375413,0.347644
40,0.374948,0.344915
41,0.374181,0.345217
42,0.373747,0.344464
43,0.373662,0.344586
44,0.374742,0.344381
45,0.376802,0.346915
46,0.378341,0.347900
47,0.378543,0.347504
48,0.384263,0.361275
49,0.385454,0.363736
50,0.394039,0.376898
51,0.394022,0.379976
52,0.394218,0.383980
53,0.396156,0.389094
54,0.396244,0.390161
55,0.398491,0.393560
56,0.395998,0.389079
57,0.398075,0.393537
58,0.398247,0.398547
59,0.395297,0.389060
60,0.394122,0.388664
61,0.392560,0.389122
62,0.392368,0.382397
63,0.391795,0.377833
64,0.394138,0.378273
65,0.391778,0.379532
66,0.391850,0.381169
67,0.390410,0.383564
68,0.390781,0.384357
69,0.389409,0.381686
70,0.391057,0.382648
71,0.389428,0.378530
72,0.390923,0.383566
73,0.394676,0.390715
74,0.400740,0.401467
75,0.407772,0.417044
76,0.410349,0.424809
77,0.404556,0.416717
78,0.408692,0.420286
79,0.415556,0.425951
80,0.414406,0.423806
81,0.411313,0.421323
82,0.407813,0.415002
83,0.405873,0.408626
84,0.403981,0.403977
85,0.402321,0.406459
86,0.399560,0.400874
87,0.400593,0.402458
88,0.399028,0.400223
89,0.399025,0.399549
90,0.401564,0.402330
91,0.401528,0.407144
92,0.402005,0.406582
93,0.405515,0.409676
94,0.406787,0.410687
95,0.401688,0.403082
96,0.406724,0.413195
97,0.409357,0.414864
98,0.411140,0.421017
99,0.413901,0.429707
100,0.412707,0.427873
101,0.411835,0.428161
102,0.414100,0.430284
103,0.411721,0.424893
104,0.410065,0.424541
105,0.410375,0.422405
106,0.412130,0.423690
107,0.411389,0.426024
108,0.406439,0.416851
109,0.408412,0.421090
110,0.412866,0.429384
111,0.408976,0.419570
112,0.408588,0.418886
113,0.406217,0.415003
114,0.405057,0.407229
115,0.405259,0.410606
116,0.412805,0.421937
117,0.414577,0.423107
118,0.417445,0.426572
119,0.418730,0.433200
120,0.422684,0.441968
121,0.425498,0.443399
122,0.424838,0.441385
123,0.430559,0.453733
124,0.424637,0.444287
125,0.427864,0.453174
126,0.431454,0.452990
127,0.427242,0.441530
128,0.430551,0.453087
129,0.424595,0.446707
130,0.427612,0.446373
131,0.421194,0.437093
132,0.418201,0.431108
133,0.415786,0.425761
134,0.417572,0.426561
135,0.419064,0.429860
136,0.417383,0.424837
137,0.417287,0.424011
138,0.417322,0.425208
139,0.421378,0.435358
140,0.425808,0.439629
141,0.421202,0.432947
142,0.420901,0.435255
143,0.424337,0.441095
144,0.426012,0.435891
145,0.431892,0.442236
146,0.431409,0.442856
147,0.429712,0.436924
148,0.430950,0.439738
149,0.435215,0.447257
150,0.439102,0.448840
151,0.442160,0.452663
152,0.433680,0.439625
153,0.435166,0.445633
154,0.434945,0.443024
155,0.431289,0.439546
156,0.427504,0.432009
157,0.429715,0.442758
158,0.432592,0.441500
159,0.433122,0.441254
160,0.432376,0.439023
161,0.432034,0.443736
162,0.430335,0.438385
163,0.430618,0.437529
164,0.437339,0.446041
165,0.431779,0.437051
166,0.433741,0.438050
167,0.433919,0.438509
168,0.435603,0.441645
169,0.439128,0.450053
170,0.445597,0.462790
171,0.450301,0.469802
172,0.449900,0.474216
173,0.450112,0.478132
174,0.455343,0.484065
175,0.450623,0.467078
176,0.448491,0.464790
177,0.446571,0.460481
178,0.444500,0.455936
179,0.441821,0.453989
180,0.441249,0.455902
181,0.440118,0.454254
182,0.439105,0.450690
183,0.439786,0.448686
184,0.442674,0.458683
185,0.439499,0.454055
186,0.439002,0.454630
187,0.438096,0.453225
188,0.443404,0.467200
189,0.439144,0.449312
190,0.438713,0.442628
191,0.439004,0.444018
192,0.442122,0.456526
193,0.442115,0.460367
194,0.450078,0.478143
195,0.453156,0.488286
196,0.453449,0.489102
197,0.450820,0.485674
198,0.450229,0.477438
199,0.445916,0.462625
200,0.448240,0.468213
201,0.444925,0.460757
202,0.443776,0.462233
203,0.446802,0.468738
204,0.446055,0.472852
205,0.445375,0.470715
206,0.443478,0.462584
207,0.444926,0.464359
208,0.445480,0.467473
209,0.445125,0.469433
210,0.444571,0.463099
211,0.448057,0.470456
212,0.450362,0.474615
213,0.453850,0.475579
214,0.453100,0.471174
215,0.452961,0.479711
216,0.452733,0.484586
217,0.450465,0.477460
218,0.457284,0.501974
219,0.457225,0.504416
220,0.457628,0.500626
221,0.457492,0.494124
222,0.453489,0.484989
223,0.450527,0.472773
224,0.451244,0.471629
225,0.453954,0.478086
