step,mae,mse
0,0.240001,0.132615
1,0.288684,0.195498
2,0.317496,0.240914
3,0.339423,0.280547
4,0.347110,0.302883
5,0.352659,0.314519
6,0.359070,0.327299
7,0.358783,0.321810
8,0.355822,0.319587
9,0.357326,0.318379
10,0.357200,0.315673
11,0.359136,0.320066
12,0.357334,0.318357
13,0.359389,0.320572
14,0.360928,0.323943
15,0.363273,0.326115
16,0.360324,0.327431
17,0.357829,0.321128
18,0.359598,0.322628
19,0.360965,0.321554
20,0.363774,0.323292
21,0.363846,0.320515
22,0.361093,0.318177
23,0.366486,0.323207
24,0.370335,0.332088
25,0.378565,0.344525
26,0.383453,0.354087
27,0.388883,0.367629
28,0.383591,0.362937
29,0.383971,0.363924
30,0.384637,0.366396
31,0.386203,0.366894
32,0.382941,0.364443
33,0.384735,0.368194
34,0.381072,0.362859
35,0.383740,0.365241
36,0.383547,0.371219
37,0.380834,0.360687
38,0.382632,0.366674
39,0.384276,0.367639
40,0.382063,0.368299
41,0.385749,0.377659
42,0.381503,0.371170
43,0.383975,0.374219
44,0.383109,0.370812
45,0.378295,0.365231
46,0.378111,0.362145
47,0.376155,0.358144
48,0.384410,0.371932
49,0.390638,0.381355
50,0.399070,0.408129
51,0.399465,0.406248
52,0.398943,0.413549
53,0.399582,0.410001
54,0.400164,0.413934
55,0.400041,0.404959
56,0.403160,0.407531
57,0.396647,0.392783
58,0.400574,0.398371
59,0.404754,0.414576
60,0.403983,0.416993
61,0.404102,0.420461
62,0.404534,0.413593
63,0.405410,0.419866
64,0.407828,0.432302
65,0.401361,0.418687
66,0.400139,0.415143
67,0.398296,0.406989
68,0.396206,0.401392
69,0.398744,0.408881
70,0.401047,0.412775
71,0.396319,0.399534
72,0.402886,0.413101
73,0.408386,0.430127
74,0.407330,0.435694
75,0.414420,0.453005
76,0.415787,0.464657
77,0.415340,0.460793
78,0.413698,0.451848
79,0.416030,0.452644
80,0.410812,0.437579
81,0.412092,0.439243
82,0.411221,0.435417
83,0.414730,0.448596
84,0.415466,0.450778
85,0.414782,0.442949
86,0.415875,0.437724
87,0.416788,0.440865
88,0.415420,0.443994
89,0.415126,0.440413
90,0.414488,0.437685
91,0.413847,0.439102
92,0.414436,0.441192
93,0.415584,0.437655
94,0.417365,0.438240
95,0.415961,0.440733
96,0.419239,0.450903
97,0.422441,0.469270
98,0.424818,0.475484
99,0.425784,0.478788
100,0.424963,0.486140
101,0.421072,0.479161
102,0.418780,0.465066
103,0.422299,0.469642
104,0.424292,0.468427
105,0.419817,0.455988
106,0.423335,0.465638
107,0.422608,0.464439
108,0.421206,0.459321
109,0.415704,0.444916
110,0.416330,0.445698
111,0.417745,0.441400
112,0.421203,0.451794
113,0.420213,0.454213
114,0.415756,0.442913
115,0.414111,0.436319
116,0.418051,0.448263
117,0.420554,0.456565
118,0.423053,0.462734
119,0.419846,0.453399
120,0.425667,0.467747
121,0.423908,0.449972
122,0.427804,0.458419
123,0.432335,0.468364
124,0.430015,0.464754
125,0.428872,0.468176
126,0.431159,0.469315
127,0.429901,0.461496
128,0.428420,0.461323
129,0.426810,0.455582
130,0.424352,0.450816
131,0.431427,0.462724
132,0.433301,0.462476
133,0.428102,0.456392
134,0.426218,0.441030
135,0.428910,0.444153
136,0.433007,0.457386
137,0.436197,0.467823
138,0.434145,0.466155
139,0.429107,0.455729
140,0.431213,0.467256
141,0.435625,0.470791
142,0.436299,0.475336
143,0.433324,0.475054
144,0.443549,0.493368
145,0.438911,0.470076
146,0.438866,0.465430
147,0.441119,0.475486
148,0.444724,0.484289
149,0.435059,0.454035
150,0.435338,0.452054
151,0.439363,0.454048
152,0.436094,0.445577
153,0.440371,0.456394
154,0.439269,0.456707
155,0.440733,0.462600
156,0.441699,0.466158
157,0.436593,0.454483
158,0.438771,0.458706
159,0.439466,0.454867
160,0.445893,0.477242
161,0.444490,0.472750
162,0.444470,0.476817
163,0.444700,0.473466
164,0.442165,0.474788
165,0.449850,0.489918
166,0.457495,0.507876
167,0.449982,0.492854
168,0.454562,0.513563
169,0.453364,0.498578
170,0.457635,0.510179
171,0.458905,0.513534
172,0.457876,0.512746
173,0.453286,0.500816
174,0.456400,0.500854
175,0.458577,0.512862
176,0.454526,0.499569
177,0.450957,0.484475
178,0.452684,0.486932
179,0.455904,0.489480
180,0.457061,0.498271
181,0.452314,0.480934
182,0.454423,0.491103
183,0.454730,0.494116
184,0.459495,0.515132
185,0.458606,0.512304
186,0.461636,0.518193
187,0.458090,0.515003
188,0.461864,0.522727
189,0.459836,0.520149
190,0.459198,0.511244
191,0.459725,0.523402
192,0.462363,0.528979
193,0.464631,0.537121
194,0.458203,0.512533
195,0.455950,0.507371
196,0.457108,0.518562
197,0.451040,0.498518
198,0.455719,0.505230
199,0.455627,0.501090
200,0.456271,0.501125
201,0.455652,0.498262
202,0.455591,0.491231
203,0.459266,0.502274
204,0.457093,0.500180
205,0.454105,0.494703
206,0.461633,0.512110
207,0.461272,0.511488
208,0.462502,0.521731
209,0.462730,0.531136
210,0.467636,0.550155
211,0.464203,0.537896
212,0.464896,0.541215
213,0.463329,0.537951
214,0.469790,0.550588
215,0.470908,0.559369
216,0.464461,0.537896
217,0.465727,0.526828
218,0.473785,0.537521
219,0.459365,0.509928
220,0.458286,0.521711
221,0.463684,0.532140
222,0.463832,0.531763
223,0.463075,0.523580
224,0.463507,0.520413
225,0.458100,0.490657
226,0.457523,0.484914
227,0.457772,0.494411
228,0.457975,0.492974
229,0.457580,0.488077
230,0.458979,0.500572
231,0.457742,0.501716
232,0.461945,0.519021
233,0.464150,0.528817
234,0.471061,0.549816
235,0.471815,0.549703
236,0.472230,0.561660
237,0.471540,0.560152
238,0.471672,0.551663
239,0.463885,0.521873
240,0.463117,0.515454
241,0.465948,0.518162
242,0.463209,0.508987
243,0.463481,0.513309
244,0.456441,0.503888
245,0.456527,0.509251
246,0.459824,0.514203
247,0.460021,0.510070
248,0.459097,0.502276
249,0.454989,0.483870
250,0.454931,0.481110
251,0.453450,0.477773
252,0.454081,0.482434
253,0.461072,0.495739
254,0.463594,0.512175
255,0.461130,0.506954
256,0.463913,0.519363
257,0.459128,0.511191
258,0.457879,0.502878
259,0.458471,0.510464
260,0.462107,0.523659
261,0.464666,0.530937
262,0.462818,0.525844
263,0.462533,0.528091
264,0.461338,0.517173
265,0.463393,0.514934
266,0.460350,0.503422
267,0.453908,0.486888
268,0.450722,0.482453
269,0.448900,0.475699
270,0.448986,0.482339
271,0.451130,0.479702
272,0.450289,0.480173
273,0.451050,0.480136
274,0.450886,0.477873
275,0.458403,0.501001
276,0.455796,0.500420
277,0.453589,0.487677
278,0.450087,0.471209
279,0.448577,0.470452
280,0.452765,0.489820
281,0.456287,0.494975
282,0.456813,0.490095
283,0.459176,0.496598
284,0.457657,0.499189
285,0.460964,0.517314
286,0.458160,0.502421
287,0.462377,0.523216
288,0.461097,0.516330
289,0.465387,0.509374
290,0.456477,0.483086
291,0.456639,0.477022
292,0.457422,0.486995
293,0.454369,0.474022
294,0.453660,0.478710
295,0.448965,0.474423
296,0.450116,0.471595
297,0.447942,0.458289
298,0.453371,0.477512
299,0.447671,0.465034
300,0.446640,0.470018
301,0.448740,0.467586
302,0.452026,0.484268
303,0.447890,0.475997
304,0.455717,0.496335
305,0.450488,0.484356
306,0.460731,0.507973
307,0.459472,0.499087
308,0.456714,0.491320
309,0.462062,0.500311
310,0.464444,0.509438
311,0.465020,0.505947
312,0.460099,0.492995
313,0.462136,0.485125
314,0.454069,0.474015
315,0.446676,0.447903
316,0.446309,0.459513
317,0.448152,0.467792
318,0.445667,0.451318
319,0.443908,0.443681
320,0.448785,0.453809
321,0.448587,0.457484
322,0.446726,0.452586
323,0.453403,0.468447
324,0.456121,0.477484
325,0.458483,0.481569
326,0.457765,0.479399
327,0.457617,0.485207
328,0.467232,0.498464
329,0.469043,0.510216
330,0.476980,0.526141
331,0.477151,0.523068
332,0.469472,0.500093
333,0.463946,0.501309
334,0.466155,0.503937
335,0.464782,0.507760
336,0.465611,0.508587
337,0.469489,0.512320
338,0.471736,0.510811
339,0.472916,0.519577
340,0.466168,0.504188
341,0.470905,0.517470
342,0.460499,0.486671
343,0.463958,0.500450
344,0.466380,0.501291
345,0.464293,0.495998
346,0.459895,0.491573
347,0.466227,0.505751
348,0.472147,0.521839
349,0.468209,0.512868
350,0.465612,0.511756
351,0.466623,0.515377
352,0.474330,0.526869
353,0.470851,0.508958
354,0.479103,0.520908
