step,mae,mse
0,0.250270,0.140052
1,0.292448,0.197504
2,0.323072,0.243105
3,0.342552,0.276085
4,0.351090,0.295262
5,0.354573,0.306157
6,0.354756,0.308822
7,0.356989,0.311992
8,0.358779,0.315027
9,0.357680,0.312224
10,0.361534,0.316082
11,0.361356,0.316965
12,0.361468,0.318904
13,0.359969,0.316058
14,0.358672,0.314962
15,0.360116,0.315717
16,0.360636,0.317130
17,0.361084,0.317345
18,0.360562,0.316876
19,0.361325,0.320055
20,0.361392,0.319585
21,0.359387,0.316174
22,0.359235,0.315168
23,0.365250,0.324440
24,0.371539,0.333629
25,0.375435,0.339291
26,0.375129,0.343561
27,0.383974,0.354606
28,0.382474,0.358522
29,0.384563,0.360480
30,0.383678,0.359378
31,0.386184,0.363682
32,0.386778,0.365484
33,0.383863,0.363423
34,0.384735,0.363127
35,0.382387,0.356868
36,0.380471,0.355746
37,0.382095,0.358573
38,0.379609,0.354833
39,0.377448,0.348717
40,0.377399,0.348129
41,0.377670,0.348651
42,0.377306,0.348669
43,0.377548,0.347582
44,0.375847,0.348686
45,0.377847,0.347329
46,0.376182,0.347787
47,0.375518,0.347191
48,0.381976,0.360465
49,0.386960,0.366966
50,0.389511,0.374312
51,0.390783,0.377930
52,0.393639,0.385136
53,0.395050,0.388475
54,0.395244,0.388706
55,0.397455,0.388749
56,0.399164,0.389152
57,0.395980,0.386174
58,0.396998,0.388675
59,0.397296,0.389806
60,0.397548,0.388978
61,0.395441,0.388097
62,0.397891,0.396100
63,0.396569,0.394109
64,0.393070,0.391714
65,0.393006,0.392768
66,0.393490,0.394196
67,0.395739,0.395491
68,0.394394,0.392000
69,0.392585,0.384312
70,0.392217,0.389895
71,0.393215,0.386867
72,0.393863,0.389199
73,0.399404,0.399465
74,0.400385,0.406254
75,0.404679,0.415037
76,0.401752,0.406019
77,0.404688,0.410610
78,0.405175,0.411655
79,0.409065,0.418978
80,0.408543,0.420676
81,0.407838,0.417553
82,0.406708,0.417662
83,0.405411,0.410931
84,0.406283,0.414220
85,0.410953,0.425839
86,0.410610,0.428428
87,0.405848,0.415551
88,0.405627,0.417585
89,0.404850,0.414691
90,0.406442,0.417758
91,0.405317,0.415200
92,0.405790,0.408456
93,0.406969,0.413384
94,0.405143,0.414744
95,0.406875,0.421462
96,0.406286,0.414428
97,0.408931,0.418657
98,0.409478,0.421985
99,0.409048,0.421332
100,0.408757,0.415907
101,0.411279,0.418815
102,0.412073,0.420962
103,0.413003,0.424251
104,0.412539,0.423285
105,0.411353,0.427917
106,0.413865,0.429645
107,0.418006,0.437350
108,0.416035,0.428991
109,0.418136,0.438140
110,0.415975,0.430403
111,0.412365,0.425783
112,0.414090,0.432857
113,0.414545,0.438244
114,0.416928,0.441433
115,0.417627,0.436631
116,0.414506,0.427650
117,0.410361,0.421486
118,0.410904,0.425867
119,0.412392,0.426699
120,0.421653,0.441231
121,0.424540,0.443790
122,0.423620,0.440220
123,0.422713,0.438330
124,0.421861,0.435519
125,0.423448,0.448046
126,0.423085,0.446255
127,0.426473,0.446323
128,0.428748,0.455020
129,0.426772,0.451266
130,0.434657,0.462755
131,0.427730,0.457466
132,0.422083,0.439395
133,0.423440,0.445488
134,0.425006,0.444511
135,0.423036,0.434996
136,0.425949,0.436452
137,0.424258,0.437200
138,0.423245,0.434855
139,0.423083,0.432707
140,0.425083,0.438243
141,0.421028,0.432778
142,0.421191,0.433928
143,0.423909,0.433693
144,0.425542,0.437473
145,0.430587,0.439338
146,0.433811,0.438879
147,0.436304,0.444852
148,0.435180,0.450387
149,0.437303,0.457139
150,0.436754,0.456039
151,0.432750,0.446954
152,0.438929,0.457875
153,0.441841,0.461656
154,0.438932,0.457665
155,0.433367,0.446187
156,0.433011,0.445560
157,0.431908,0.444344
158,0.432110,0.442505
159,0.430434,0.432569
160,0.432353,0.439934
161,0.434257,0.444348
162,0.435446,0.448424
163,0.434623,0.444452
164,0.436090,0.448254
165,0.435056,0.451025
166,0.436496,0.456796
167,0.437348,0.455386
168,0.441255,0.454869
169,0.450331,0.470175
