epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.437922,0.437922,1.000000,0.575994,0.575994,0.000000,0.000000,0.711714,0.556873
1,0.415666,0.415666,1.000000,0.569103,0.569103,0.000000,0.000000,0.708894,0.553713
2,0.409839,0.409839,1.000000,0.565128,0.565128,0.000000,0.000000,0.700800,0.550756
3,0.406240,0.406240,1.000000,0.563493,0.563493,0.000000,0.000000,0.698631,0.549850
4,0.404721,0.404721,1.000000,0.565465,0.565465,0.000000,0.000000,0.700886,0.552582
5,0.403043,0.403043,1.000000,0.567257,0.567257,0.000000,0.000000,0.699226,0.552466
6,0.400201,0.400201,1.000000,0.560796,0.560796,0.000000,0.000000,0.693566,0.546913
7,0.396809,0.396809,1.000000,0.570156,0.570156,0.000000,0.000000,0.708250,0.556710
8,0.396884,0.396884,1.000000,0.566285,0.566285,0.000000,0.000000,0.697774,0.552026
9,0.395798,0.395798,1.000000,0.564117,0.564117,0.000000,0.000000,0.696215,0.550839
