epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.473239,0.438315,0.962186,0.034757,0.602662,0.580690,0.910260,0.044423,0.709498,0.555532
1,0.451272,0.417476,0.924407,0.041250,0.588117,0.566928,0.884758,0.049311,0.700310,0.549593
2,0.439827,0.409414,0.865616,0.051351,0.580091,0.562535,0.825863,0.058754,0.693613,0.548075
3,0.436710,0.410639,0.801701,0.063382,0.574943,0.561975,0.756507,0.075016,0.693615,0.547261
4,0.427269,0.403515,0.759826,0.072481,0.576642,0.564955,0.740258,0.077455,0.701477,0.551621
5,0.421924,0.400913,0.716084,0.082217,0.567886,0.559556,0.684500,0.093216,0.686663,0.546148
6,0.418132,0.398952,0.686664,0.089364,0.566067,0.559781,0.654071,0.093452,0.684022,0.545652
7,0.414643,0.397618,0.653005,0.094343,0.572740,0.567392,0.647617,0.091516,0.698489,0.554328
8,0.413270,0.397597,0.632681,0.096871,0.562922,0.559874,0.605591,0.104632,0.688679,0.546691
9,0.410000,0.396040,0.605439,0.104914,0.562348,0.560227,0.592052,0.108599,0.688909,0.547492
