step,mae,mse
0,0.224129,0.118990
1,0.270961,0.176554
2,0.301629,0.221383
3,0.321827,0.254677
4,0.333379,0.277068
5,0.341067,0.291143
6,0.347123,0.299483
7,0.348448,0.302536
8,0.349561,0.304336
9,0.349947,0.305167
10,0.350849,0.305060
11,0.351628,0.305763
12,0.351986,0.307132
13,0.352891,0.308347
14,0.353795,0.310517
15,0.353827,0.308789
16,0.353454,0.308738
17,0.353799,0.309816
18,0.353889,0.309569
19,0.353232,0.307650
20,0.353278,0.307287
21,0.353718,0.308176
22,0.353449,0.308590
23,0.354330,0.310114
24,0.362346,0.322070
25,0.370646,0.335460
26,0.375193,0.345409
27,0.379128,0.351650
28,0.381480,0.357125
29,0.382977,0.360883
30,0.383184,0.362171
31,0.383438,0.360569
32,0.384150,0.361740
33,0.384676,0.362813
34,0.384316,0.362112
35,0.384744,0.361416
36,0.383784,0.360871
37,0.383685,0.361373
38,0.383075,0.360884
39,0.383300,0.360472
40,0.382327,0.358821
41,0.382411,0.359516
42,0.382232,0.358191
43,0.382095,0.358309
44,0.382744,0.359182
45,0.382808,0.360276
46,0.382712,0.360969
47,0.382670,0.361317
48,0.389927,0.371024
49,0.395231,0.380323
50,0.398229,0.387692
51,0.401270,0.395415
52,0.402904,0.398970
53,0.403566,0.400905
54,0.404288,0.403217
55,0.405093,0.404664
56,0.405178,0.403782
57,0.404985,0.405104
58,0.404738,0.404323
59,0.405168,0.404579
60,0.406646,0.406699
61,0.406330,0.406821
62,0.405541,0.404981
63,0.404917,0.404491
64,0.405360,0.402974
65,0.404413,0.403226
66,0.404384,0.403810
67,0.405412,0.405338
68,0.406176,0.404960
69,0.405860,0.408265
70,0.405258,0.407347
71,0.405357,0.406568
72,0.409367,0.412536
73,0.412024,0.418812
74,0.413498,0.423665
75,0.416118,0.428147
76,0.416853,0.430619
77,0.417798,0.434107
78,0.419069,0.435740
79,0.419165,0.435774
80,0.419504,0.434998
81,0.419615,0.433952
82,0.420108,0.435717
83,0.419936,0.436320
84,0.419809,0.435554
85,0.419608,0.436543
86,0.420339,0.438679
87,0.420076,0.437717
88,0.419536,0.436633
89,0.418401,0.434908
90,0.419651,0.436955
91,0.419588,0.435686
92,0.419181,0.434901
93,0.418455,0.434094
94,0.418931,0.435964
95,0.418218,0.435175
