step,mae,mse
0,0.224473,0.119942
1,0.274690,0.181298
2,0.308008,0.230745
3,0.329652,0.265148
4,0.340971,0.285609
5,0.348936,0.299033
6,0.357230,0.311128
7,0.357978,0.311609
8,0.359097,0.312319
9,0.360734,0.313833
10,0.357101,0.311112
11,0.359433,0.313020
12,0.356172,0.311602
13,0.360852,0.316051
14,0.360502,0.317163
15,0.359874,0.315644
16,0.357427,0.313215
17,0.357537,0.314042
18,0.357073,0.313516
19,0.356426,0.312098
20,0.355869,0.311310
21,0.357178,0.312497
22,0.356367,0.310935
23,0.360049,0.314176
24,0.366963,0.324756
25,0.377382,0.341460
26,0.384892,0.353991
27,0.388735,0.363097
28,0.390082,0.365226
29,0.389130,0.366837
30,0.390053,0.369104
31,0.390400,0.368315
32,0.389872,0.367760
33,0.392829,0.369264
34,0.389824,0.367729
35,0.393999,0.371840
36,0.390258,0.365419
37,0.386620,0.361712
38,0.387256,0.362233
39,0.387327,0.363787
40,0.387574,0.361858
41,0.401166,0.375780
42,0.402633,0.376929
43,0.389166,0.364686
44,0.391915,0.366984
45,0.393138,0.367269
46,0.392901,0.367155
47,0.390955,0.365916
48,0.393452,0.370422
49,0.397442,0.379651
50,0.399176,0.386853
51,0.403142,0.393504
52,0.405639,0.397762
53,0.408168,0.402413
54,0.408870,0.403883
55,0.407870,0.401820
56,0.407942,0.399996
57,0.418334,0.407432
58,0.407703,0.399831
59,0.409104,0.402002
60,0.413442,0.404529
61,0.414322,0.406506
62,0.410685,0.404652
63,0.406235,0.399815
64,0.405389,0.398988
65,0.405120,0.399756
66,0.404535,0.399162
67,0.405279,0.398365
68,0.405308,0.397554
69,0.405401,0.396524
70,0.403327,0.395303
71,0.403578,0.394981
72,0.408359,0.405893
73,0.411944,0.416952
74,0.413514,0.418409
75,0.416911,0.423421
76,0.417257,0.428063
77,0.418066,0.429891
78,0.417408,0.427271
79,0.424660,0.433859
80,0.422735,0.431467
81,0.420943,0.431444
82,0.419904,0.430823
83,0.419132,0.429802
84,0.418375,0.429082
85,0.420682,0.431089
86,0.419887,0.433663
87,0.419664,0.432939
88,0.418721,0.427824
89,0.419602,0.432647
90,0.418802,0.428790
91,0.418848,0.429692
92,0.418020,0.426509
93,0.420271,0.429251
94,0.420273,0.428218
95,0.419491,0.429158
