step,mae,mse
0,0.230079,0.126071
1,0.282481,0.189741
2,0.314889,0.237566
3,0.332197,0.269628
4,0.340936,0.288214
5,0.348624,0.299582
6,0.352578,0.307866
7,0.356014,0.313976
8,0.357270,0.314200
9,0.357307,0.315637
10,0.357681,0.316817
11,0.358315,0.317241
12,0.358631,0.316042
13,0.359552,0.316934
14,0.365608,0.326449
15,0.363330,0.324898
16,0.371180,0.334868
17,0.362979,0.323002
18,0.360495,0.320020
19,0.361248,0.322746
20,0.360562,0.320007
21,0.363001,0.320322
22,0.364410,0.322923
23,0.364008,0.326691
24,0.372614,0.337714
25,0.382651,0.349319
26,0.391473,0.363884
27,0.392381,0.369931
28,0.394309,0.374976
29,0.397031,0.378083
30,0.395937,0.378447
31,0.394474,0.377238
32,0.393949,0.377035
33,0.393839,0.375771
34,0.392243,0.376493
35,0.397119,0.385565
36,0.393674,0.378304
37,0.391133,0.372658
38,0.395230,0.379387
39,0.392440,0.378912
40,0.396360,0.388695
41,0.393962,0.386568
42,0.395384,0.389514
43,0.392176,0.384771
44,0.392347,0.385689
45,0.391921,0.384372
46,0.394208,0.384765
47,0.391643,0.381224
48,0.395798,0.385490
49,0.402067,0.393080
50,0.406159,0.400511
51,0.409403,0.410371
52,0.409417,0.412253
53,0.412693,0.417538
54,0.412006,0.419151
55,0.414987,0.423947
56,0.412588,0.413902
57,0.416468,0.422286
58,0.413565,0.418752
59,0.413996,0.423277
60,0.413128,0.419771
61,0.413683,0.416304
62,0.413951,0.423232
63,0.414083,0.427800
64,0.413403,0.424084
65,0.411914,0.419809
66,0.407972,0.413628
67,0.407822,0.413287
68,0.408003,0.411616
69,0.407854,0.409156
70,0.407042,0.407009
71,0.406907,0.410385
72,0.408751,0.409653
73,0.412932,0.416478
74,0.418318,0.426246
75,0.419785,0.433962
76,0.421105,0.435050
77,0.422342,0.435101
78,0.422149,0.435364
79,0.424752,0.441263
80,0.421909,0.437803
81,0.420466,0.435236
82,0.422636,0.438013
83,0.424600,0.442089
84,0.425682,0.443770
85,0.421337,0.436573
86,0.421715,0.439157
87,0.424633,0.450421
88,0.425131,0.446037
89,0.423885,0.445989
90,0.425763,0.444994
91,0.424890,0.449214
92,0.428248,0.446165
93,0.423328,0.441891
94,0.423664,0.439811
95,0.419710,0.438444
