step,mae,mse
0,0.222561,0.117937
1,0.272863,0.179233
2,0.302945,0.224210
3,0.325204,0.258812
4,0.337625,0.283343
5,0.345771,0.298013
6,0.349597,0.305667
7,0.353187,0.311939
8,0.353594,0.311446
9,0.355323,0.314089
10,0.355267,0.315895
11,0.356597,0.316937
12,0.356687,0.316396
13,0.358132,0.318779
14,0.356946,0.319064
15,0.358727,0.321745
16,0.358268,0.321411
17,0.358855,0.324548
18,0.356982,0.323327
19,0.357154,0.323124
20,0.355827,0.319318
21,0.357535,0.319741
22,0.354823,0.316801
23,0.356976,0.320872
24,0.364828,0.329220
25,0.374510,0.346449
26,0.378234,0.353992
27,0.382397,0.361127
28,0.383811,0.364728
29,0.386927,0.370057
30,0.387177,0.372822
31,0.388052,0.374859
32,0.387489,0.373411
33,0.388708,0.374911
34,0.387320,0.374308
35,0.386583,0.375053
36,0.385665,0.371896
37,0.387127,0.372036
38,0.386064,0.373098
39,0.386264,0.374617
40,0.386250,0.373392
41,0.387621,0.376223
42,0.386960,0.378045
43,0.386898,0.379444
44,0.385177,0.374823
45,0.386746,0.374541
46,0.386597,0.376014
47,0.387478,0.380816
48,0.392459,0.386077
49,0.400089,0.399088
50,0.402509,0.405878
51,0.404889,0.410404
52,0.405889,0.412062
53,0.408101,0.418417
54,0.407932,0.417728
55,0.408217,0.419257
56,0.407699,0.417461
57,0.409432,0.418269
58,0.407664,0.417329
59,0.408315,0.419835
60,0.407733,0.416308
61,0.409265,0.418427
62,0.408121,0.418993
63,0.408838,0.421654
64,0.408287,0.420903
65,0.409865,0.422115
66,0.408489,0.423170
67,0.408901,0.423856
68,0.408151,0.421475
69,0.408229,0.420262
70,0.407595,0.419766
71,0.409415,0.425571
72,0.411328,0.428824
73,0.414930,0.434481
74,0.417367,0.435843
75,0.420155,0.441700
76,0.420699,0.444476
77,0.422083,0.446296
78,0.422293,0.447014
79,0.422550,0.449592
80,0.421551,0.445700
81,0.422801,0.447473
82,0.422580,0.448834
83,0.423902,0.453008
84,0.421699,0.448201
85,0.423201,0.451050
86,0.422667,0.451893
87,0.423009,0.453107
88,0.422777,0.452507
89,0.423365,0.452427
90,0.424252,0.453854
91,0.424289,0.456539
92,0.423137,0.454086
93,0.424532,0.454158
94,0.425224,0.456855
95,0.423314,0.455643
