step,mae,mse
0,0.185897,0.081755
1,0.205094,0.100062
2,0.220546,0.114633
3,0.229052,0.124125
4,0.238683,0.135115
5,0.245790,0.143671
6,0.249568,0.151860
7,0.252876,0.155541
8,0.259140,0.164085
9,0.262214,0.170470
10,0.265218,0.174837
11,0.268057,0.177942
12,0.271556,0.185032
13,0.275800,0.191931
14,0.276710,0.195228
15,0.281345,0.203450
16,0.284224,0.208053
17,0.283955,0.208895
18,0.287785,0.214747
19,0.287078,0.215671
20,0.291136,0.220904
21,0.291918,0.223175
22,0.293757,0.226757
23,0.295646,0.229949
24,0.303526,0.239611
25,0.308266,0.246768
26,0.312661,0.252075
27,0.315956,0.258424
28,0.320155,0.263238
29,0.321864,0.265575
30,0.324583,0.270824
31,0.327601,0.276149
32,0.327622,0.277470
33,0.328087,0.278226
34,0.329025,0.279311
35,0.330224,0.281812
36,0.332161,0.285023
37,0.331767,0.284146
38,0.332911,0.285681
39,0.334027,0.288687
40,0.335566,0.291536
41,0.335684,0.291207
42,0.335719,0.289943
43,0.337441,0.293908
44,0.340127,0.297785
45,0.340760,0.300391
46,0.340830,0.297499
47,0.342880,0.302237
48,0.344554,0.302562
49,0.347787,0.307442
50,0.352435,0.311463
51,0.351887,0.313010
52,0.355506,0.316333
53,0.357323,0.320903
54,0.358669,0.323140
55,0.360063,0.324911
56,0.360447,0.327035
57,0.361548,0.328661
58,0.363096,0.330391
59,0.365017,0.333096
60,0.364051,0.331474
61,0.364624,0.332808
62,0.366459,0.335510
63,0.368578,0.339521
64,0.368860,0.338554
65,0.370240,0.340788
66,0.371196,0.342032
67,0.371142,0.343154
68,0.371755,0.343624
69,0.371492,0.342716
70,0.371260,0.342431
71,0.372142,0.344535
72,0.375097,0.347989
73,0.375731,0.348886
74,0.377453,0.349455
75,0.378654,0.353673
76,0.379877,0.354882
77,0.381307,0.356548
78,0.381157,0.356787
79,0.383029,0.359572
80,0.382260,0.359296
81,0.383416,0.361207
82,0.382845,0.361327
83,0.383544,0.361112
84,0.385074,0.363784
85,0.384078,0.363025
86,0.383027,0.362683
87,0.385781,0.364978
88,0.386270,0.365529
89,0.386814,0.366981
90,0.386483,0.365888
91,0.386475,0.368026
92,0.385534,0.367630
93,0.387646,0.369444
94,0.386817,0.369313
95,0.385887,0.366854
96,0.388163,0.371830
97,0.389114,0.373763
98,0.391770,0.375649
99,0.390930,0.376959
100,0.392459,0.378549
101,0.392287,0.378141
102,0.393345,0.383211
103,0.395418,0.383513
104,0.394980,0.385156
105,0.397782,0.389587
106,0.398546,0.390529
107,0.398757,0.390418
108,0.400426,0.392846
109,0.401547,0.395099
110,0.401535,0.395346
111,0.401879,0.397137
112,0.403647,0.400268
113,0.404224,0.402103
114,0.403695,0.401197
115,0.404393,0.403369
116,0.405227,0.404621
117,0.405750,0.404594
118,0.407645,0.406668
119,0.406826,0.404592
120,0.410121,0.411376
121,0.410937,0.414051
122,0.413295,0.415217
123,0.414804,0.417615
124,0.417630,0.422431
125,0.419543,0.423795
126,0.419220,0.423530
127,0.421151,0.426576
128,0.421932,0.429837
129,0.423105,0.432204
130,0.423311,0.431656
131,0.424055,0.431821
132,0.425229,0.435215
133,0.426131,0.437971
134,0.426735,0.437550
135,0.426998,0.440262
136,0.429006,0.443073
137,0.430062,0.442767
138,0.430163,0.441632
139,0.429693,0.443307
140,0.431555,0.444516
141,0.432267,0.445799
142,0.432692,0.445761
143,0.432534,0.447681
144,0.435151,0.451929
145,0.437631,0.451670
146,0.438607,0.451822
147,0.439600,0.455211
148,0.441243,0.458121
149,0.442819,0.459736
150,0.442860,0.459023
151,0.444072,0.461067
152,0.444220,0.462205
153,0.446392,0.468366
154,0.444531,0.463752
155,0.445282,0.463270
156,0.446315,0.467349
157,0.448492,0.470264
158,0.447374,0.466937
159,0.449587,0.471119
160,0.449951,0.471784
161,0.451253,0.474017
162,0.450454,0.471048
163,0.449726,0.472710
164,0.448903,0.470331
165,0.451435,0.473808
166,0.449184,0.471240
167,0.449313,0.468049
168,0.451360,0.473061
169,0.451994,0.473490
170,0.452826,0.474962
171,0.455810,0.478169
172,0.456524,0.478729
173,0.457998,0.480600
174,0.457489,0.480856
175,0.458736,0.482065
176,0.458476,0.482709
177,0.460711,0.486320
178,0.460450,0.486113
179,0.459759,0.485708
180,0.462681,0.490509
181,0.462618,0.489889
182,0.462828,0.490461
183,0.464207,0.491826
184,0.464540,0.492443
185,0.465451,0.490486
186,0.465644,0.491240
187,0.464037,0.490277
188,0.465308,0.489511
189,0.467153,0.494066
190,0.465405,0.492438
191,0.465326,0.490892
