step,mae,mse
0,0.169035,0.072572
1,0.192200,0.091782
2,0.209630,0.107965
3,0.220726,0.119570
4,0.230928,0.130399
5,0.238664,0.138152
6,0.243788,0.146142
7,0.250861,0.154472
8,0.255162,0.161166
9,0.259969,0.168068
10,0.260803,0.170736
11,0.266027,0.178173
12,0.270700,0.186022
13,0.272312,0.189189
14,0.275405,0.196790
15,0.277960,0.200543
16,0.280715,0.206482
17,0.282557,0.209795
18,0.283686,0.213780
19,0.286379,0.217057
20,0.289534,0.222915
21,0.289667,0.225109
22,0.291148,0.228747
23,0.294634,0.234536
24,0.302779,0.240488
25,0.309029,0.247984
26,0.313582,0.255033
27,0.319578,0.263510
28,0.321512,0.265623
29,0.321995,0.267465
30,0.323063,0.269259
31,0.326439,0.273813
32,0.327985,0.276446
33,0.327927,0.276990
34,0.329480,0.280311
35,0.331508,0.282695
36,0.332891,0.284587
37,0.334330,0.287576
38,0.333537,0.287030
39,0.335230,0.290410
40,0.337485,0.291669
41,0.336046,0.292141
42,0.337229,0.292021
43,0.338663,0.293467
44,0.342522,0.297077
45,0.340598,0.295022
46,0.343810,0.298759
47,0.343974,0.300021
48,0.347840,0.303946
49,0.349601,0.305803
50,0.351736,0.308708
51,0.353620,0.313176
52,0.354595,0.316133
53,0.355789,0.318260
54,0.357992,0.321099
55,0.360975,0.325942
56,0.361573,0.326772
57,0.361091,0.327779
58,0.361772,0.329049
59,0.364207,0.331780
60,0.365736,0.332743
61,0.365502,0.332975
62,0.365586,0.332924
63,0.366548,0.334786
64,0.367910,0.335716
65,0.367764,0.336745
66,0.369075,0.336595
67,0.369830,0.339568
68,0.371049,0.339778
69,0.369495,0.339015
70,0.371248,0.342023
71,0.372609,0.343697
72,0.375454,0.346915
73,0.378783,0.349919
74,0.379362,0.351085
75,0.382832,0.355524
76,0.385776,0.358359
77,0.384015,0.356705
78,0.383385,0.357345
79,0.387104,0.362648
80,0.386601,0.361360
81,0.384958,0.363161
82,0.387704,0.364577
83,0.386332,0.363692
84,0.387709,0.364902
85,0.386620,0.365665
86,0.386288,0.365530
87,0.388628,0.367702
88,0.389737,0.368222
89,0.388050,0.366034
90,0.388626,0.368128
91,0.390937,0.371223
92,0.391298,0.371102
93,0.389400,0.369918
94,0.389268,0.370316
95,0.390151,0.370062
96,0.392785,0.373893
97,0.393940,0.373634
98,0.395825,0.375512
99,0.396273,0.378059
100,0.400130,0.382822
101,0.398576,0.381342
102,0.398687,0.382747
103,0.399813,0.386287
104,0.399934,0.386825
105,0.398969,0.388140
106,0.399548,0.388883
107,0.400960,0.390147
108,0.403178,0.393271
109,0.402764,0.393180
110,0.402809,0.393279
111,0.404972,0.396420
112,0.405765,0.399165
113,0.405069,0.396843
114,0.406132,0.398080
115,0.409295,0.401081
116,0.407726,0.401643
117,0.407574,0.401510
118,0.407263,0.401436
119,0.408275,0.404744
120,0.412242,0.408688
121,0.414457,0.412478
122,0.414784,0.414496
123,0.419226,0.418567
124,0.421795,0.423663
125,0.421577,0.424033
126,0.422169,0.425998
127,0.424478,0.428275
128,0.425729,0.429538
129,0.426652,0.430928
130,0.427139,0.431747
131,0.428657,0.434289
132,0.430784,0.438322
133,0.429601,0.437549
134,0.428750,0.436479
135,0.430164,0.439228
136,0.430790,0.441122
137,0.431865,0.441089
138,0.432331,0.440813
139,0.433305,0.442196
140,0.433727,0.444529
141,0.433926,0.442368
142,0.432998,0.442584
143,0.435807,0.444361
144,0.438240,0.447939
145,0.439818,0.449519
146,0.441607,0.449242
147,0.442210,0.453532
148,0.443282,0.457051
149,0.443464,0.454826
150,0.443821,0.453822
151,0.446262,0.458151
152,0.445487,0.459570
153,0.444780,0.460391
154,0.445962,0.458743
155,0.444465,0.461384
156,0.445521,0.462231
157,0.447105,0.462245
158,0.447859,0.462544
159,0.448227,0.464139
160,0.447906,0.466956
161,0.448442,0.464071
162,0.449122,0.463009
163,0.449011,0.464976
164,0.450005,0.466791
165,0.449653,0.466913
166,0.449100,0.465357
167,0.449421,0.464425
168,0.450979,0.466340
169,0.454126,0.468573
170,0.454055,0.470147
171,0.455859,0.472266
172,0.458230,0.475935
173,0.459541,0.477517
174,0.457923,0.476991
175,0.462048,0.480924
176,0.460863,0.480856
177,0.461396,0.482639
178,0.462108,0.484184
179,0.462360,0.483519
180,0.463954,0.485495
181,0.463614,0.486244
182,0.463660,0.484778
183,0.465166,0.487192
184,0.463737,0.488487
185,0.465028,0.485454
186,0.464373,0.486373
187,0.464810,0.486666
188,0.466330,0.487314
189,0.464335,0.485433
190,0.463602,0.484238
191,0.464269,0.485396
