step,mae,mse
0,0.184210,0.081612
1,0.203886,0.099876
2,0.219464,0.114941
3,0.229657,0.125405
4,0.238491,0.136769
5,0.245103,0.143821
6,0.249475,0.152371
7,0.254157,0.157857
8,0.258646,0.164582
9,0.262846,0.172167
10,0.264948,0.175102
11,0.270010,0.182002
12,0.273351,0.187357
13,0.275247,0.191420
14,0.276920,0.196812
15,0.282070,0.204054
16,0.284102,0.208077
17,0.283933,0.209441
18,0.286289,0.213364
19,0.287130,0.216989
20,0.290475,0.221711
21,0.290430,0.222093
22,0.292599,0.226751
23,0.295530,0.230200
24,0.303888,0.241270
25,0.306715,0.244731
26,0.312529,0.252188
27,0.316076,0.257904
28,0.318860,0.260895
29,0.321705,0.266035
30,0.322642,0.267851
31,0.326832,0.273811
32,0.326792,0.274518
33,0.328880,0.279656
34,0.329758,0.281135
35,0.331379,0.284303
36,0.332127,0.284641
37,0.332255,0.284969
38,0.334074,0.289179
39,0.334715,0.289235
40,0.335301,0.290175
41,0.335474,0.291076
42,0.336822,0.291781
43,0.337854,0.292919
44,0.340083,0.296600
45,0.340157,0.298630
46,0.340690,0.297125
47,0.344010,0.300945
48,0.346898,0.303934
49,0.347231,0.305090
50,0.352652,0.309955
51,0.353900,0.314421
52,0.356839,0.316793
53,0.357741,0.319691
54,0.358329,0.322224
55,0.361681,0.325348
56,0.361645,0.326765
57,0.363209,0.329347
58,0.362587,0.328739
59,0.365400,0.332543
60,0.366672,0.333271
61,0.364839,0.332892
62,0.366466,0.335098
63,0.368506,0.338259
64,0.369021,0.338443
65,0.369768,0.340915
66,0.370776,0.340895
67,0.370579,0.341847
68,0.371003,0.342545
69,0.370509,0.340426
70,0.370940,0.341419
71,0.372011,0.342802
72,0.376719,0.349183
73,0.374337,0.347331
74,0.377346,0.348362
75,0.378772,0.352402
76,0.380172,0.354272
77,0.380907,0.355293
78,0.380654,0.356274
79,0.382968,0.358845
80,0.383966,0.359881
81,0.383516,0.362147
82,0.382679,0.360623
83,0.384151,0.362415
84,0.385366,0.363586
85,0.383534,0.362932
86,0.383139,0.363650
87,0.387157,0.367992
88,0.385941,0.365315
89,0.386323,0.367438
90,0.387521,0.367313
91,0.386259,0.367177
92,0.385331,0.368579
93,0.386993,0.369669
94,0.385927,0.369448
95,0.387957,0.370632
96,0.388390,0.372828
97,0.389907,0.375095
98,0.390347,0.375092
99,0.392062,0.378324
100,0.393441,0.380795
101,0.392925,0.380003
102,0.393249,0.383881
103,0.396593,0.386253
104,0.395496,0.385549
105,0.397806,0.390290
106,0.398241,0.391250
107,0.399160,0.391592
108,0.401157,0.395131
109,0.400595,0.394762
110,0.401202,0.396923
111,0.402410,0.398593
112,0.403336,0.400696
113,0.402921,0.401340
114,0.403044,0.401421
115,0.404894,0.404738
116,0.404957,0.404279
117,0.405453,0.405013
118,0.405720,0.404697
119,0.406889,0.405922
120,0.409100,0.411740
121,0.410680,0.415716
122,0.412291,0.415124
123,0.415624,0.420436
124,0.417441,0.422664
125,0.418471,0.423923
126,0.418427,0.423875
127,0.420876,0.426994
128,0.421633,0.428954
129,0.423213,0.433593
130,0.422988,0.432566
131,0.424518,0.432990
132,0.424815,0.433813
133,0.424526,0.436436
134,0.424366,0.434546
135,0.426067,0.437738
136,0.427385,0.440489
137,0.427538,0.439665
138,0.427965,0.438477
139,0.428444,0.441461
140,0.430990,0.443974
141,0.431184,0.444881
142,0.430279,0.442232
143,0.431094,0.445269
144,0.433823,0.447539
145,0.435536,0.449670
146,0.437839,0.451634
147,0.439440,0.455921
148,0.442151,0.459990
149,0.442416,0.461083
150,0.442397,0.459646
151,0.443940,0.461487
152,0.444417,0.462492
153,0.444145,0.465138
154,0.443992,0.463512
155,0.444892,0.463157
156,0.444678,0.465073
157,0.446792,0.466634
158,0.445913,0.464518
159,0.448915,0.468651
160,0.448808,0.469215
161,0.448631,0.470012
162,0.448689,0.468703
163,0.448009,0.468578
164,0.447735,0.468095
165,0.449640,0.470639
166,0.447499,0.469343
167,0.449022,0.468143
168,0.450130,0.470783
169,0.450943,0.472354
170,0.451690,0.472599
171,0.454823,0.477044
172,0.455362,0.477599
173,0.456422,0.479742
174,0.456891,0.481232
175,0.460366,0.484136
176,0.458515,0.484181
177,0.459562,0.485092
178,0.459950,0.485686
179,0.459928,0.486137
180,0.461878,0.489789
181,0.461258,0.488405
182,0.460657,0.487532
183,0.462496,0.488258
184,0.463578,0.490677
185,0.465146,0.490709
186,0.465044,0.490735
187,0.464192,0.490515
188,0.464781,0.488998
189,0.465516,0.490619
190,0.464479,0.491171
191,0.464339,0.488931
