step,mae,mse
0,0.173930,0.074968
1,0.198013,0.095102
2,0.215200,0.110651
3,0.225899,0.122005
4,0.234712,0.131894
5,0.244300,0.142070
6,0.247051,0.146439
7,0.253083,0.154228
8,0.257476,0.161000
9,0.261695,0.168779
10,0.265479,0.172381
11,0.268549,0.179862
12,0.272866,0.188015
13,0.275639,0.194263
14,0.278310,0.199103
15,0.280624,0.201611
16,0.284021,0.208214
17,0.283869,0.210545
18,0.284998,0.211832
19,0.288340,0.219165
20,0.291920,0.223629
21,0.292461,0.227092
22,0.292767,0.226730
23,0.294916,0.230703
24,0.303137,0.241435
25,0.306800,0.245754
26,0.312063,0.251265
27,0.316349,0.259199
28,0.319644,0.263513
29,0.322614,0.266987
30,0.324657,0.270974
31,0.326040,0.272910
32,0.327882,0.276965
33,0.327656,0.277040
34,0.329084,0.280023
35,0.332937,0.284165
36,0.332786,0.286577
37,0.334022,0.289202
38,0.335681,0.289635
39,0.340887,0.298800
40,0.340040,0.298463
41,0.339896,0.298895
42,0.341048,0.299539
43,0.344277,0.303425
44,0.345396,0.304810
45,0.342657,0.303419
46,0.345236,0.305292
47,0.347306,0.309699
48,0.351322,0.313935
49,0.353788,0.315235
50,0.359899,0.322493
51,0.359792,0.323669
52,0.361354,0.328651
53,0.362107,0.329480
54,0.367057,0.336828
55,0.365052,0.336657
56,0.366465,0.337592
57,0.367781,0.340893
58,0.369956,0.343000
59,0.368876,0.345509
60,0.369969,0.347659
61,0.370802,0.346627
62,0.372048,0.347024
63,0.373736,0.348724
64,0.373936,0.350322
65,0.371818,0.347063
66,0.374533,0.348108
67,0.378537,0.354852
68,0.376422,0.353047
69,0.377324,0.354060
70,0.375181,0.350654
71,0.375104,0.351612
72,0.377572,0.354616
73,0.378708,0.354294
74,0.380071,0.355306
75,0.383548,0.359923
76,0.383997,0.362015
77,0.384030,0.361572
78,0.383551,0.362308
79,0.387332,0.365580
80,0.382366,0.362681
81,0.383284,0.364169
82,0.385681,0.366140
83,0.385732,0.366249
84,0.387867,0.370923
85,0.388163,0.367578
86,0.388788,0.371344
87,0.392256,0.373623
88,0.388467,0.370987
89,0.389625,0.372195
90,0.389884,0.373103
91,0.393552,0.376546
92,0.389962,0.374398
93,0.388916,0.371105
94,0.392388,0.374955
95,0.391884,0.374554
96,0.390350,0.374734
97,0.392582,0.377753
98,0.395139,0.379852
99,0.394182,0.380646
100,0.394730,0.380714
101,0.396657,0.384474
102,0.397633,0.384812
103,0.398604,0.384925
104,0.395931,0.385350
105,0.398278,0.390777
106,0.398946,0.391064
107,0.399608,0.391714
108,0.402160,0.393902
109,0.402261,0.396827
110,0.402245,0.397935
111,0.403000,0.397943
112,0.404104,0.399869
113,0.404320,0.400905
114,0.406169,0.402463
115,0.408253,0.402407
116,0.408437,0.402994
117,0.408954,0.402454
118,0.408184,0.402942
119,0.407591,0.403564
120,0.409583,0.408635
121,0.412291,0.410287
122,0.414329,0.413572
123,0.415241,0.417493
124,0.417457,0.419978
125,0.420860,0.424073
126,0.421206,0.422114
127,0.421922,0.423382
128,0.422520,0.426159
129,0.422398,0.427070
130,0.424853,0.430870
131,0.423516,0.430104
132,0.426212,0.432946
133,0.427622,0.434293
134,0.428448,0.433708
135,0.430862,0.436667
136,0.430378,0.439189
137,0.430166,0.438081
138,0.431684,0.440236
139,0.435409,0.443608
140,0.433703,0.441879
141,0.432721,0.439454
142,0.433887,0.441114
143,0.435517,0.443638
144,0.437452,0.447929
145,0.439016,0.450539
146,0.440004,0.452512
147,0.439842,0.452005
148,0.441301,0.454863
149,0.444396,0.457268
150,0.445787,0.459097
151,0.445846,0.458054
152,0.444245,0.459107
153,0.447534,0.463520
154,0.447713,0.462008
155,0.446851,0.461876
156,0.448507,0.463318
157,0.448148,0.465382
158,0.449845,0.464742
159,0.450025,0.466161
160,0.449143,0.467735
161,0.449888,0.468713
162,0.451642,0.468515
163,0.452080,0.467829
164,0.450498,0.469269
165,0.451902,0.467790
166,0.451115,0.468490
167,0.451887,0.468199
168,0.450992,0.468373
169,0.454812,0.472689
170,0.456256,0.473982
171,0.456216,0.473810
172,0.455766,0.476097
173,0.458588,0.478886
174,0.458721,0.480661
175,0.458995,0.479717
176,0.459892,0.482409
177,0.459204,0.483574
178,0.461337,0.484732
179,0.460938,0.486022
180,0.462916,0.488350
181,0.462088,0.488374
182,0.464189,0.488159
183,0.463835,0.488084
184,0.465119,0.491611
185,0.464936,0.491162
186,0.467493,0.494300
187,0.467527,0.491198
188,0.467701,0.492824
189,0.466274,0.489549
190,0.466388,0.490066
191,0.466086,0.489711
