step,mae,mse
0,0.176412,0.076221
1,0.198509,0.095590
2,0.217222,0.111229
3,0.227005,0.123098
4,0.239162,0.135127
5,0.246201,0.142088
6,0.250772,0.150532
7,0.255050,0.156409
8,0.258226,0.161417
9,0.263627,0.168821
10,0.267542,0.173314
11,0.268568,0.178107
12,0.271987,0.184739
13,0.273909,0.191280
14,0.279631,0.198701
15,0.279929,0.201620
16,0.280251,0.202147
17,0.283413,0.208729
18,0.285656,0.215339
19,0.286695,0.216935
20,0.289137,0.219376
21,0.288920,0.221265
22,0.291862,0.223644
23,0.295967,0.232547
24,0.302802,0.240499
25,0.308034,0.247626
26,0.314522,0.255420
27,0.318516,0.261204
28,0.320734,0.262537
29,0.322761,0.266219
30,0.326360,0.274282
31,0.326199,0.272707
32,0.328197,0.276354
33,0.332067,0.281200
34,0.332328,0.281980
35,0.333669,0.283647
36,0.332733,0.281460
37,0.333436,0.285835
38,0.336964,0.288940
39,0.337361,0.288570
40,0.337137,0.290619
41,0.337897,0.291421
42,0.339964,0.293826
43,0.343384,0.297704
44,0.341247,0.296181
45,0.343140,0.298040
46,0.345643,0.300636
47,0.347763,0.304512
48,0.349619,0.306453
49,0.350932,0.307173
50,0.357393,0.317697
51,0.360749,0.321155
52,0.358718,0.321992
53,0.361744,0.325905
54,0.365385,0.329040
55,0.365515,0.329662
56,0.364780,0.330117
57,0.370641,0.338937
58,0.370961,0.339787
59,0.369479,0.338791
60,0.367922,0.336692
61,0.369775,0.341517
62,0.372643,0.343239
63,0.374514,0.344730
64,0.372052,0.341139
65,0.372140,0.343235
66,0.373243,0.342807
67,0.375541,0.343524
68,0.373175,0.342707
69,0.373822,0.345583
70,0.377375,0.349622
71,0.375474,0.347207
72,0.377350,0.348355
73,0.381061,0.355312
74,0.383681,0.357602
75,0.381454,0.356059
76,0.381923,0.357196
77,0.386164,0.362567
78,0.384481,0.360555
79,0.386720,0.364744
80,0.386053,0.361952
81,0.388701,0.367704
82,0.392639,0.371168
83,0.391248,0.371207
84,0.390230,0.366693
85,0.392744,0.373157
86,0.391427,0.371185
87,0.394624,0.374773
88,0.395516,0.376284
89,0.394555,0.375763
90,0.392608,0.373962
91,0.395206,0.376768
92,0.395238,0.375605
93,0.392621,0.374164
94,0.395282,0.377186
95,0.395447,0.379884
96,0.399736,0.383144
97,0.399009,0.383523
98,0.402168,0.389285
99,0.397075,0.381774
100,0.400137,0.385235
101,0.400395,0.388474
102,0.402732,0.390027
103,0.403155,0.392894
104,0.399443,0.386444
105,0.403935,0.394937
106,0.410439,0.403227
107,0.408903,0.400695
108,0.407661,0.398954
109,0.408051,0.401961
110,0.411349,0.408788
111,0.410144,0.406666
112,0.408034,0.401019
113,0.411270,0.407316
114,0.411269,0.408531
115,0.411824,0.409141
116,0.410261,0.407539
117,0.411735,0.410035
118,0.412576,0.408716
119,0.412704,0.411126
120,0.415907,0.415471
121,0.416610,0.418363
122,0.417899,0.421418
123,0.418242,0.422505
124,0.419416,0.423372
125,0.422739,0.428781
126,0.423984,0.429083
127,0.426398,0.433541
128,0.426716,0.431931
129,0.428027,0.435709
130,0.428155,0.435605
131,0.431776,0.440508
132,0.429157,0.436186
133,0.433585,0.442547
134,0.432741,0.442862
135,0.433492,0.442444
136,0.431433,0.439730
137,0.435621,0.443293
138,0.433603,0.443623
139,0.436066,0.445479
140,0.434479,0.444516
141,0.435499,0.444312
142,0.437479,0.446467
143,0.438378,0.449052
144,0.437934,0.449406
145,0.440355,0.452397
146,0.443795,0.458048
147,0.446039,0.458409
148,0.446963,0.459322
149,0.449636,0.464077
150,0.447411,0.463514
151,0.448215,0.463351
152,0.445790,0.462250
153,0.450067,0.467851
154,0.448926,0.463588
155,0.450166,0.467226
156,0.450764,0.467044
157,0.453942,0.471606
158,0.451813,0.468745
159,0.453097,0.470503
160,0.450257,0.467715
161,0.451766,0.469172
162,0.452103,0.468808
163,0.454793,0.470451
164,0.450089,0.466539
165,0.452792,0.468849
166,0.454457,0.471970
167,0.454589,0.471912
168,0.455057,0.471420
169,0.457212,0.477589
170,0.457906,0.476899
171,0.457247,0.476910
172,0.457309,0.478562
173,0.461416,0.485002
174,0.462726,0.486427
175,0.464796,0.489050
176,0.461514,0.484273
177,0.463897,0.491354
178,0.464607,0.489316
179,0.464794,0.489144
180,0.465359,0.490667
181,0.471373,0.497649
182,0.466209,0.491566
183,0.469108,0.493189
184,0.467664,0.491029
185,0.470606,0.494292
186,0.472018,0.496160
187,0.470915,0.493906
188,0.469162,0.491330
189,0.471806,0.496650
190,0.472711,0.495152
191,0.473512,0.497669
