step,mae,mse
0,0.184653,0.079908
1,0.204017,0.096918
2,0.218788,0.111528
3,0.227868,0.120498
4,0.232993,0.125863
5,0.246190,0.139624
6,0.247055,0.140977
7,0.255730,0.151637
8,0.268420,0.166894
9,0.261482,0.160697
10,0.268074,0.168966
11,0.275901,0.179168
12,0.271190,0.176580
13,0.271025,0.179639
14,0.276320,0.186029
15,0.275664,0.187761
16,0.281865,0.193508
17,0.277040,0.191748
18,0.279894,0.196200
19,0.288424,0.205005
20,0.284323,0.203275
21,0.291668,0.208927
22,0.286659,0.207703
23,0.290088,0.209486
24,0.296528,0.215931
25,0.298529,0.222233
26,0.307277,0.232251
27,0.312507,0.236097
28,0.313208,0.241779
29,0.315885,0.247419
30,0.315723,0.243175
31,0.322569,0.251591
32,0.329171,0.261841
33,0.322107,0.254793
34,0.322627,0.254189
35,0.324055,0.255554
36,0.327068,0.257527
37,0.331343,0.268067
38,0.333950,0.266810
39,0.327036,0.262994
40,0.337085,0.271200
41,0.333318,0.273071
42,0.334649,0.274659
43,0.339797,0.277092
44,0.335338,0.275355
45,0.348879,0.288942
46,0.341459,0.282710
47,0.338479,0.282606
48,0.344387,0.290848
49,0.351607,0.293857
50,0.349245,0.295017
51,0.350955,0.299028
52,0.352049,0.306178
53,0.357648,0.309530
54,0.356101,0.307444
55,0.364890,0.318419
56,0.358631,0.315674
57,0.365217,0.320287
58,0.363380,0.320179
59,0.367430,0.322958
60,0.364864,0.320784
61,0.367674,0.324375
62,0.365863,0.322634
63,0.369892,0.327741
64,0.366252,0.326232
65,0.369929,0.329237
66,0.369092,0.328197
67,0.377591,0.333822
68,0.371202,0.336416
69,0.377661,0.338930
70,0.376188,0.339782
71,0.376044,0.337547
72,0.375918,0.341942
73,0.374642,0.343526
74,0.379012,0.347732
75,0.378942,0.346741
76,0.383738,0.352603
77,0.385109,0.355312
78,0.383086,0.352656
79,0.383848,0.348536
80,0.380003,0.350922
81,0.382392,0.353316
82,0.382560,0.353134
83,0.381621,0.352825
84,0.380188,0.349112
85,0.382930,0.352110
86,0.384516,0.357119
87,0.382194,0.355528
88,0.382634,0.353097
89,0.390280,0.361093
90,0.386459,0.357037
91,0.386808,0.357893
92,0.386411,0.359819
93,0.387286,0.359436
94,0.386377,0.355606
95,0.385436,0.352546
96,0.389059,0.360518
97,0.396871,0.365649
98,0.386912,0.360303
99,0.393219,0.360449
100,0.386520,0.361812
101,0.387731,0.361936
102,0.387106,0.363194
103,0.386566,0.361264
104,0.390636,0.364318
105,0.387800,0.367211
106,0.391708,0.362828
107,0.391629,0.364149
108,0.389710,0.362764
109,0.392345,0.369654
110,0.400407,0.371406
111,0.394615,0.368975
112,0.394332,0.372034
113,0.396677,0.374490
114,0.396796,0.376550
115,0.399736,0.374305
116,0.398602,0.379633
117,0.405480,0.383667
118,0.405477,0.381265
119,0.402598,0.382951
120,0.407192,0.387012
121,0.403176,0.388930
122,0.409598,0.394091
123,0.406624,0.396437
124,0.411670,0.396699
125,0.418045,0.401005
126,0.415739,0.401766
127,0.415042,0.401637
128,0.416917,0.402528
129,0.427261,0.412293
130,0.425910,0.408886
131,0.421385,0.405985
132,0.417884,0.405897
133,0.415682,0.409485
134,0.414959,0.409138
135,0.419314,0.409736
136,0.417332,0.413814
137,0.421265,0.413128
138,0.417993,0.413813
139,0.419238,0.408990
140,0.420559,0.415771
141,0.423281,0.421276
142,0.424327,0.422095
143,0.420600,0.418840
144,0.427267,0.422756
145,0.433981,0.425395
146,0.433052,0.427459
147,0.426807,0.424920
148,0.429357,0.430229
149,0.433310,0.435355
150,0.430130,0.427753
151,0.431367,0.432162
152,0.431523,0.427636
153,0.439897,0.434072
154,0.431159,0.423855
155,0.437436,0.428036
156,0.435975,0.429532
157,0.441071,0.439131
158,0.439074,0.434129
159,0.437674,0.432819
160,0.436054,0.435725
161,0.443620,0.440509
162,0.441570,0.439265
163,0.445089,0.444613
164,0.440455,0.445858
165,0.441785,0.446873
166,0.438097,0.439773
167,0.444733,0.445692
168,0.445055,0.445249
169,0.446612,0.444483
170,0.450639,0.451466
171,0.450475,0.457079
172,0.446789,0.455046
173,0.453560,0.457019
174,0.449738,0.453932
175,0.454833,0.457344
176,0.452904,0.456545
177,0.450400,0.460939
178,0.449242,0.450804
179,0.449996,0.451814
180,0.450381,0.452125
181,0.461001,0.460164
182,0.450950,0.451907
183,0.456711,0.460405
184,0.451343,0.458838
185,0.451811,0.457210
186,0.453618,0.458150
187,0.454643,0.456199
188,0.455894,0.461465
189,0.457005,0.460039
190,0.453809,0.461614
191,0.457518,0.462665
192,0.461787,0.467251
193,0.458833,0.462061
194,0.462095,0.467891
195,0.462178,0.469598
196,0.461747,0.464476
197,0.467055,0.469822
198,0.459071,0.463583
199,0.469498,0.473620
200,0.465619,0.468749
201,0.463995,0.467615
202,0.462766,0.466475
203,0.465021,0.475842
204,0.458773,0.466213
205,0.467352,0.478221
206,0.462562,0.467985
207,0.463723,0.474356
208,0.462506,0.476560
209,0.463984,0.481217
210,0.466869,0.475752
211,0.467798,0.477730
212,0.469035,0.479804
213,0.469694,0.478865
214,0.470313,0.480167
215,0.471353,0.477710
216,0.472563,0.491514
217,0.476131,0.486174
218,0.480217,0.488587
219,0.483441,0.493898
220,0.475688,0.487687
221,0.476486,0.487342
222,0.479517,0.489665
223,0.481219,0.490149
224,0.479049,0.495309
225,0.479489,0.496309
226,0.478886,0.490645
227,0.480567,0.501552
228,0.477203,0.492327
229,0.485487,0.503457
230,0.484181,0.495909
231,0.481066,0.499353
232,0.480339,0.500702
233,0.482668,0.515776
234,0.482793,0.500997
235,0.482344,0.496962
236,0.485365,0.512387
237,0.485625,0.508120
238,0.486267,0.506933
