step,mae,mse
0,0.176251,0.077133
1,0.195031,0.092592
2,0.208749,0.105309
3,0.218471,0.114538
4,0.225766,0.121645
5,0.231978,0.128525
6,0.236424,0.134600
7,0.241997,0.141399
8,0.244275,0.144954
9,0.247981,0.150495
10,0.250647,0.154089
11,0.252814,0.157927
12,0.256178,0.163935
13,0.257531,0.168115
14,0.259947,0.170671
15,0.262009,0.174471
16,0.263799,0.178894
17,0.264775,0.181355
18,0.267638,0.185960
19,0.269341,0.188463
20,0.269837,0.190839
21,0.271691,0.194320
22,0.274535,0.198430
23,0.275485,0.199836
24,0.281465,0.206025
25,0.285086,0.211183
26,0.291706,0.219507
27,0.295163,0.224909
28,0.296807,0.226229
29,0.298661,0.229700
30,0.301269,0.233993
31,0.302694,0.234624
32,0.304537,0.237797
33,0.305170,0.238053
34,0.306107,0.240526
35,0.308409,0.243652
36,0.308685,0.245172
37,0.308675,0.245195
38,0.311236,0.247700
39,0.312767,0.250727
40,0.314048,0.252083
41,0.313120,0.251992
42,0.315417,0.254629
43,0.315980,0.255672
44,0.316419,0.256113
45,0.316404,0.256359
46,0.318094,0.258882
47,0.318082,0.260358
48,0.321275,0.263786
49,0.323167,0.264773
50,0.327310,0.268462
51,0.330182,0.271865
52,0.329647,0.273309
53,0.331936,0.276769
54,0.333454,0.278513
55,0.336506,0.282369
56,0.334818,0.282196
57,0.334684,0.282005
58,0.335843,0.283364
59,0.339266,0.288314
60,0.338099,0.285697
61,0.337444,0.285331
62,0.340012,0.288101
63,0.339848,0.289026
64,0.339553,0.287089
65,0.339868,0.286982
66,0.341629,0.288877
67,0.342401,0.290871
68,0.342337,0.291638
69,0.339881,0.287773
70,0.341750,0.289920
71,0.343642,0.292097
72,0.344710,0.293251
73,0.346762,0.295711
74,0.349138,0.296696
75,0.350821,0.298471
76,0.350915,0.299329
77,0.350968,0.300085
78,0.351043,0.299800
79,0.351199,0.300003
80,0.352173,0.302961
81,0.350482,0.300629
82,0.352234,0.303710
83,0.353957,0.306269
84,0.352298,0.304382
85,0.352956,0.305453
86,0.353202,0.305154
87,0.354195,0.307176
88,0.354711,0.308137
89,0.354292,0.307908
90,0.354695,0.307533
91,0.354019,0.307345
92,0.354208,0.307888
93,0.351897,0.305589
94,0.353346,0.307326
95,0.351973,0.305744
96,0.353114,0.308455
97,0.354105,0.309067
98,0.354809,0.309632
99,0.356368,0.311630
100,0.356583,0.311375
101,0.356695,0.310407
102,0.358121,0.312093
103,0.358515,0.313774
104,0.357000,0.312661
105,0.359368,0.315467
106,0.360003,0.316222
107,0.359419,0.316278
108,0.359689,0.317476
109,0.359952,0.318418
110,0.361442,0.318608
111,0.362371,0.320688
112,0.363063,0.320730
113,0.362780,0.321285
114,0.362283,0.320991
115,0.362072,0.320731
116,0.362937,0.322686
117,0.361905,0.322949
118,0.363431,0.321892
119,0.363620,0.322156
120,0.364914,0.326477
121,0.367842,0.330556
122,0.369497,0.331762
123,0.369818,0.332833
124,0.371053,0.335623
125,0.373112,0.337425
126,0.373755,0.338149
127,0.374516,0.339281
128,0.374790,0.340411
129,0.375484,0.342030
130,0.377438,0.343613
131,0.376838,0.343273
132,0.376654,0.346092
133,0.378023,0.345776
134,0.379056,0.345838
135,0.381343,0.349349
