epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.402309,0.402309,1.000000,0.345578,0.345578,0.000000,0.000000,0.225703,0.330942
1,0.365985,0.365985,1.000000,0.338859,0.338859,0.000000,0.000000,0.220326,0.323912
2,0.351424,0.351424,1.000000,0.335026,0.335026,0.000000,0.000000,0.219963,0.321661
3,0.341195,0.341195,1.000000,0.337316,0.337316,0.000000,0.000000,0.220252,0.324586
4,0.334505,0.334505,1.000000,0.334553,0.334553,0.000000,0.000000,0.216437,0.320876
5,0.330196,0.330196,1.000000,0.337331,0.337331,0.000000,0.000000,0.220072,0.323453
6,0.325358,0.325358,1.000000,0.334376,0.334376,0.000000,0.000000,0.215222,0.320702
7,0.322210,0.322210,1.000000,0.336601,0.336601,0.000000,0.000000,0.219853,0.322928
8,0.319263,0.319263,1.000000,0.340625,0.340625,0.000000,0.000000,0.230587,0.328062
9,0.316813,0.316813,1.000000,0.337152,0.337152,0.000000,0.000000,0.223292,0.323864
