step,mae,mse
0,0.146409,0.053903
1,0.173215,0.075109
2,0.194966,0.095472
3,0.215341,0.116627
4,0.229166,0.132058
5,0.243137,0.147849
6,0.254114,0.162826
7,0.263330,0.176237
8,0.274008,0.190282
9,0.284061,0.205052
10,0.291068,0.216397
11,0.297569,0.227724
12,0.304193,0.238872
13,0.312763,0.252529
14,0.317625,0.262749
15,0.322109,0.272239
16,0.325999,0.281295
17,0.332122,0.291476
18,0.335191,0.297886
19,0.338140,0.303705
20,0.342426,0.310585
21,0.345417,0.316096
22,0.345980,0.318954
23,0.348447,0.323538
24,0.349362,0.327597
25,0.351097,0.329529
26,0.353080,0.333135
27,0.354275,0.334083
28,0.355241,0.336998
29,0.356820,0.338151
30,0.357706,0.340984
31,0.357425,0.342168
32,0.358413,0.344391
33,0.359668,0.348180
34,0.360123,0.347217
35,0.361034,0.349173
36,0.360703,0.349454
37,0.359998,0.346869
38,0.360172,0.347821
39,0.360443,0.347129
40,0.360483,0.349656
41,0.360455,0.348386
42,0.361054,0.349506
43,0.360502,0.347610
44,0.360550,0.348334
45,0.361420,0.349471
46,0.361925,0.348968
47,0.362139,0.348333
48,0.361540,0.348182
49,0.362987,0.347302
50,0.363987,0.347834
51,0.363002,0.347456
52,0.362914,0.348328
53,0.363270,0.348178
54,0.363069,0.349048
55,0.363031,0.350008
56,0.363163,0.348918
57,0.363989,0.349013
58,0.365067,0.349079
59,0.365873,0.349808
60,0.364553,0.349095
61,0.365035,0.349098
62,0.365405,0.349138
63,0.366529,0.348851
64,0.365919,0.349748
65,0.365780,0.349106
66,0.364575,0.347882
67,0.365653,0.347951
68,0.364686,0.348085
69,0.364544,0.349225
70,0.363801,0.347754
71,0.363852,0.347189
72,0.363279,0.347481
73,0.364008,0.347433
74,0.362330,0.346716
75,0.362106,0.346564
76,0.362413,0.346517
77,0.363391,0.346341
78,0.363124,0.346326
79,0.362770,0.344352
80,0.364857,0.345604
81,0.363438,0.343542
82,0.361666,0.341925
83,0.361092,0.340721
84,0.361999,0.340641
85,0.360245,0.338571
86,0.359113,0.338906
87,0.358362,0.338754
88,0.357525,0.335948
89,0.356570,0.334216
90,0.355768,0.332040
91,0.354681,0.331373
92,0.353832,0.330920
93,0.353070,0.327408
94,0.352377,0.330303
95,0.352826,0.331413
96,0.356663,0.337158
97,0.361806,0.343451
98,0.364573,0.345399
99,0.369069,0.350638
100,0.371960,0.355512
101,0.376277,0.365465
102,0.379212,0.370511
103,0.380913,0.373849
104,0.382213,0.376027
105,0.385138,0.383167
106,0.387711,0.389222
107,0.388823,0.392687
108,0.389311,0.395891
109,0.390238,0.399256
110,0.392586,0.407748
111,0.391951,0.406844
112,0.390150,0.405551
113,0.392243,0.410982
114,0.393550,0.414507
115,0.393366,0.413964
116,0.394077,0.414643
117,0.395252,0.419947
118,0.397127,0.427690
119,0.396666,0.425363
120,0.398157,0.426948
121,0.400524,0.431557
122,0.400523,0.433282
123,0.402322,0.433140
124,0.401247,0.429928
125,0.402929,0.436288
126,0.402414,0.435997
127,0.403452,0.440071
128,0.403797,0.438117
129,0.403191,0.436242
130,0.403193,0.438986
131,0.403368,0.436570
132,0.403147,0.437411
133,0.402370,0.437803
134,0.401694,0.437481
135,0.401948,0.435137
136,0.402482,0.438151
137,0.403686,0.440595
138,0.401737,0.436391
139,0.402545,0.438571
140,0.402014,0.435610
141,0.402092,0.434341
142,0.400985,0.432107
143,0.400549,0.431863
144,0.400022,0.430161
145,0.400378,0.429154
146,0.400829,0.430211
147,0.399559,0.426651
148,0.400529,0.430967
149,0.399198,0.428490
150,0.400380,0.431798
151,0.400576,0.431383
152,0.399742,0.427784
153,0.399966,0.430738
154,0.399496,0.430725
155,0.396843,0.421099
156,0.397728,0.424208
157,0.397159,0.422334
158,0.397987,0.423805
159,0.398436,0.424266
160,0.398326,0.420973
161,0.399487,0.423819
162,0.398873,0.419529
163,0.398583,0.422536
164,0.398859,0.422072
165,0.398676,0.422362
166,0.398145,0.421888
167,0.398846,0.421002
168,0.398305,0.420222
169,0.398283,0.420967
170,0.398568,0.419508
171,0.399310,0.420181
172,0.398894,0.420925
173,0.399459,0.423722
174,0.397806,0.418775
175,0.397736,0.417431
176,0.398078,0.415239
177,0.396396,0.412352
178,0.396339,0.411607
179,0.396515,0.409117
180,0.395187,0.408052
181,0.394347,0.406495
182,0.392572,0.404287
183,0.392435,0.404065
184,0.391336,0.401874
185,0.391147,0.401668
186,0.390793,0.399546
187,0.389891,0.397259
188,0.389058,0.393197
189,0.387736,0.391575
190,0.386709,0.390915
191,0.386057,0.391125
