step,mae,mse
0,0.145673,0.053165
1,0.172217,0.073531
2,0.194031,0.093609
3,0.214331,0.114060
4,0.227849,0.128925
5,0.241839,0.144925
6,0.252726,0.159704
7,0.262023,0.173104
8,0.272612,0.187711
9,0.281563,0.200645
10,0.289616,0.212641
11,0.296684,0.224815
12,0.303548,0.235666
13,0.312238,0.249355
14,0.317377,0.259793
15,0.322675,0.270198
16,0.326354,0.278769
17,0.331311,0.287618
18,0.334925,0.294976
19,0.337938,0.301152
20,0.341597,0.307443
21,0.344792,0.313744
22,0.346362,0.318276
23,0.349058,0.323778
24,0.350803,0.328652
25,0.351956,0.330164
26,0.354106,0.333764
27,0.355119,0.335023
28,0.356694,0.338333
29,0.358234,0.339178
30,0.360019,0.342395
31,0.360086,0.344416
32,0.361566,0.347130
33,0.362496,0.351139
34,0.363403,0.350462
35,0.363496,0.351463
36,0.363327,0.351983
37,0.362066,0.348193
38,0.362894,0.350785
39,0.363430,0.349745
40,0.363207,0.352690
41,0.362033,0.349102
42,0.361916,0.349961
43,0.362090,0.349570
44,0.362168,0.350290
45,0.361887,0.350590
46,0.361865,0.349057
47,0.362345,0.349471
48,0.361722,0.349083
49,0.362374,0.347332
50,0.362551,0.348226
51,0.362715,0.348190
52,0.362798,0.349325
53,0.363318,0.349338
54,0.362659,0.350144
55,0.363877,0.351987
56,0.365262,0.352672
57,0.364653,0.350656
58,0.364474,0.349106
59,0.364910,0.350077
60,0.364805,0.350208
61,0.365183,0.349655
62,0.365317,0.350818
63,0.365887,0.348814
64,0.366127,0.350016
65,0.365212,0.348579
66,0.364105,0.347455
67,0.365309,0.347195
68,0.364452,0.347994
69,0.364531,0.349250
70,0.363585,0.347696
71,0.363771,0.346605
72,0.362559,0.346807
73,0.362470,0.346020
74,0.361149,0.347316
75,0.360962,0.346604
76,0.361053,0.346979
77,0.361452,0.347095
78,0.362511,0.347488
79,0.361136,0.344149
80,0.362821,0.345104
81,0.362193,0.345128
82,0.361076,0.343864
83,0.360743,0.342780
84,0.361716,0.342571
85,0.359572,0.340171
86,0.359209,0.342174
87,0.359479,0.343054
88,0.357984,0.338605
89,0.357037,0.338532
90,0.356567,0.336478
91,0.356010,0.337176
92,0.354790,0.336654
93,0.353293,0.332320
94,0.353634,0.335874
95,0.354263,0.337502
96,0.358236,0.343739
97,0.362608,0.348708
98,0.365537,0.349063
99,0.370012,0.355224
100,0.373282,0.360325
101,0.377284,0.370324
102,0.379322,0.373361
103,0.381421,0.377995
104,0.383405,0.380192
105,0.386838,0.388819
106,0.388294,0.393100
107,0.390511,0.397589
108,0.390772,0.400646
109,0.392299,0.404705
110,0.395084,0.414105
111,0.393768,0.411999
112,0.392374,0.409907
113,0.393742,0.415395
114,0.395580,0.419988
115,0.395371,0.419289
116,0.395666,0.419122
117,0.397877,0.425948
118,0.399787,0.434027
119,0.398507,0.432680
120,0.400204,0.433673
121,0.402997,0.440143
122,0.402682,0.441165
123,0.403735,0.441500
124,0.402803,0.437044
125,0.404937,0.442528
126,0.404711,0.444418
127,0.406124,0.448893
128,0.407026,0.448137
129,0.405958,0.445208
130,0.407390,0.451117
131,0.406177,0.447168
132,0.405843,0.446111
133,0.404979,0.445447
134,0.404320,0.445927
135,0.403955,0.442866
136,0.404516,0.445150
137,0.406591,0.449703
138,0.403381,0.442936
139,0.403586,0.444692
140,0.402899,0.440342
141,0.402967,0.441321
142,0.402154,0.439798
143,0.401463,0.438544
144,0.400887,0.437045
145,0.400300,0.435308
146,0.401065,0.436744
147,0.400031,0.433605
148,0.400958,0.438189
149,0.399127,0.432549
150,0.402162,0.439697
151,0.400997,0.436088
152,0.399878,0.432701
153,0.400003,0.434549
154,0.399374,0.434551
155,0.395902,0.425196
156,0.397078,0.427365
157,0.396520,0.424838
158,0.398030,0.428493
159,0.398305,0.428811
160,0.397840,0.424003
161,0.400145,0.429635
162,0.398291,0.423247
163,0.398424,0.427463
164,0.399391,0.427269
165,0.398581,0.425963
166,0.398612,0.427297
167,0.399187,0.427274
168,0.398810,0.425395
169,0.398130,0.425020
170,0.398648,0.424466
171,0.399285,0.426237
172,0.399335,0.428226
173,0.398940,0.429080
174,0.398166,0.426030
175,0.397902,0.424922
176,0.397703,0.421839
177,0.396419,0.419636
178,0.396628,0.420098
179,0.395711,0.414029
180,0.396428,0.417841
181,0.395229,0.414725
182,0.395022,0.416092
183,0.394566,0.414968
184,0.393179,0.411073
185,0.393422,0.412140
186,0.393143,0.410215
187,0.391736,0.405413
188,0.390235,0.400617
189,0.388690,0.399573
190,0.388914,0.399707
191,0.387977,0.401297
