epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.489452,0.411472,0.996325,0.041107,0.556105,0.481421,1.041553,0.082227,0.528586,0.471334
1,0.458007,0.391252,0.891918,0.095373,0.522251,0.482289,0.782006,0.128218,0.522616,0.471976
2,0.442580,0.384622,0.819311,0.117046,0.502376,0.473991,0.686878,0.147611,0.514952,0.463655
3,0.433098,0.380483,0.775099,0.127515,0.489835,0.474266,0.591034,0.150076,0.511709,0.466719
4,0.425195,0.377968,0.732170,0.131546,0.490678,0.477546,0.576035,0.150958,0.509245,0.465173
5,0.421102,0.376200,0.712968,0.132291,0.491781,0.482935,0.549279,0.147205,0.518906,0.473573
6,0.418543,0.374922,0.702077,0.133732,0.480041,0.474019,0.519189,0.146704,0.504716,0.462168
7,0.417187,0.373667,0.700068,0.136441,0.480994,0.474595,0.522586,0.146883,0.507765,0.466001
8,0.415105,0.372612,0.691309,0.140322,0.473574,0.470916,0.490852,0.145095,0.504112,0.463080
9,0.410800,0.371891,0.663709,0.141686,0.474463,0.472288,0.488604,0.144467,0.502514,0.463492
10,0.407065,0.371141,0.640566,0.140943,0.471963,0.470416,0.482014,0.146803,0.503051,0.461925
11,0.405096,0.370515,0.629872,0.139558,0.476403,0.475556,0.481908,0.150437,0.506255,0.462765
12,0.402935,0.370019,0.616886,0.139600,0.473544,0.474074,0.470104,0.143827,0.506350,0.465392
