step,mae,mse
0,0.146842,0.053657
1,0.175902,0.076745
2,0.198063,0.098036
3,0.214723,0.115225
4,0.229566,0.132274
5,0.243651,0.148617
6,0.255739,0.165620
7,0.264771,0.178489
8,0.275001,0.192955
9,0.285122,0.208351
10,0.291957,0.218182
11,0.298486,0.229236
12,0.307436,0.243058
13,0.314369,0.253986
14,0.319714,0.263622
15,0.324729,0.273373
16,0.330374,0.283621
17,0.333455,0.290771
18,0.335802,0.296447
19,0.338591,0.303663
20,0.341560,0.309964
21,0.345432,0.315225
22,0.347178,0.320346
23,0.348733,0.326708
24,0.351072,0.329329
25,0.353321,0.334709
26,0.353277,0.336428
27,0.355247,0.338987
28,0.357181,0.344887
29,0.357526,0.345484
30,0.361003,0.346242
31,0.363620,0.353177
32,0.365599,0.357196
33,0.363892,0.353786
34,0.364283,0.354512
35,0.363176,0.354529
36,0.364562,0.354978
37,0.365616,0.357305
38,0.363657,0.353200
39,0.363111,0.351505
40,0.365363,0.352507
41,0.364702,0.352417
42,0.364597,0.352106
43,0.363812,0.353709
44,0.364320,0.351652
45,0.363795,0.353955
46,0.362399,0.352773
47,0.362541,0.351927
48,0.364024,0.355451
49,0.364221,0.355566
50,0.365627,0.357918
51,0.365705,0.357791
52,0.364029,0.353819
53,0.363713,0.351441
54,0.364398,0.354165
55,0.363741,0.352992
56,0.363212,0.352870
57,0.364409,0.354160
58,0.363714,0.351865
59,0.364015,0.353755
60,0.363445,0.350627
61,0.363469,0.350289
62,0.364819,0.349447
63,0.364505,0.349714
64,0.363909,0.350080
65,0.363638,0.350955
66,0.364238,0.350887
67,0.365065,0.351902
68,0.364188,0.351817
69,0.362907,0.351002
70,0.363108,0.348482
71,0.363829,0.350728
72,0.364509,0.350557
73,0.364089,0.352789
74,0.363250,0.350945
75,0.363214,0.351333
76,0.363849,0.351060
77,0.364551,0.350078
78,0.363002,0.348600
79,0.362681,0.350223
80,0.364443,0.348951
81,0.364126,0.348741
82,0.362296,0.348020
83,0.362285,0.349083
84,0.363629,0.351001
85,0.365047,0.353724
86,0.363153,0.352155
87,0.362227,0.349525
88,0.362409,0.349669
89,0.361958,0.348171
90,0.361746,0.345669
91,0.362058,0.347851
92,0.362181,0.349099
93,0.359207,0.345052
94,0.358938,0.347060
95,0.357493,0.344913
96,0.360447,0.350561
97,0.365119,0.355592
98,0.370237,0.365480
99,0.373136,0.368432
100,0.376822,0.374371
101,0.377847,0.375017
102,0.382284,0.382209
103,0.385626,0.388881
104,0.385522,0.389367
105,0.386910,0.391378
106,0.388623,0.393459
107,0.389904,0.397803
108,0.391444,0.400541
109,0.395006,0.405480
110,0.395484,0.407985
111,0.395770,0.410237
112,0.397203,0.415294
113,0.397573,0.415609
114,0.399534,0.425119
115,0.398842,0.422556
116,0.399745,0.427273
117,0.400844,0.433436
118,0.399903,0.430727
119,0.402034,0.438632
120,0.400903,0.435992
121,0.402298,0.436323
122,0.403807,0.443356
123,0.402617,0.438899
124,0.403003,0.439411
125,0.403731,0.443601
126,0.402597,0.442054
127,0.405742,0.449664
128,0.406451,0.448753
129,0.404899,0.444942
130,0.407898,0.452707
131,0.408617,0.455513
132,0.406020,0.453141
133,0.408727,0.460264
134,0.405741,0.448901
135,0.404551,0.447750
136,0.404400,0.448496
137,0.404722,0.451298
138,0.402748,0.444007
139,0.404347,0.449500
140,0.401677,0.443046
141,0.401875,0.447725
142,0.401126,0.440448
143,0.400521,0.439864
144,0.399463,0.435164
145,0.401452,0.439000
146,0.400923,0.439220
147,0.400897,0.434236
148,0.401755,0.434856
149,0.400580,0.432775
150,0.400600,0.431204
151,0.401900,0.430891
152,0.399558,0.428217
153,0.399556,0.428671
154,0.397954,0.426181
155,0.401143,0.428981
156,0.399999,0.425962
157,0.401163,0.427383
158,0.402978,0.430513
159,0.401367,0.429757
160,0.398783,0.426569
161,0.399794,0.427776
162,0.399128,0.425829
163,0.397279,0.424096
164,0.398655,0.424258
165,0.397063,0.421924
166,0.398231,0.424022
167,0.397295,0.424848
168,0.398238,0.423400
169,0.397497,0.421785
170,0.398322,0.423387
171,0.398854,0.425645
172,0.398686,0.423966
173,0.397873,0.420159
174,0.397906,0.420140
175,0.398320,0.419733
176,0.398546,0.421240
177,0.397874,0.419533
178,0.397324,0.417309
179,0.398181,0.420928
180,0.397531,0.417126
181,0.395825,0.415352
182,0.395848,0.415713
183,0.395654,0.412264
184,0.394065,0.408741
185,0.393362,0.409160
186,0.392995,0.406104
187,0.392359,0.403675
188,0.391181,0.403544
189,0.388211,0.397962
190,0.388557,0.402055
191,0.387536,0.399115
