step,mae,mse
0,0.153232,0.057864
1,0.183838,0.083435
2,0.206077,0.104077
3,0.222246,0.120705
4,0.238259,0.138554
5,0.253563,0.156519
6,0.263407,0.170504
7,0.272659,0.184856
8,0.283478,0.200400
9,0.293721,0.215379
10,0.300804,0.228117
11,0.308939,0.240413
12,0.313989,0.247760
13,0.324813,0.264852
14,0.330143,0.274901
15,0.336875,0.285456
16,0.339392,0.292957
17,0.342657,0.299910
18,0.345698,0.306808
19,0.347328,0.311669
20,0.353142,0.319955
21,0.353193,0.322131
22,0.357662,0.328290
23,0.358407,0.330815
24,0.359835,0.334466
25,0.359458,0.336090
26,0.359766,0.337064
27,0.360531,0.339841
28,0.361887,0.341758
29,0.362011,0.341744
30,0.362580,0.344161
31,0.362553,0.344154
32,0.361108,0.344746
33,0.362619,0.345855
34,0.363417,0.347838
35,0.362965,0.347802
36,0.365271,0.350228
37,0.365895,0.350154
38,0.364483,0.348779
39,0.363616,0.350070
40,0.365931,0.351479
41,0.368056,0.353655
42,0.365408,0.349477
43,0.365060,0.351298
44,0.367052,0.352469
45,0.366408,0.350479
46,0.365187,0.351093
47,0.364335,0.351134
48,0.365132,0.349685
49,0.365883,0.350417
50,0.364758,0.350350
51,0.366876,0.352832
52,0.365612,0.350740
53,0.366197,0.350860
54,0.364924,0.349675
55,0.365275,0.351010
56,0.364966,0.348617
57,0.364748,0.347963
58,0.365954,0.349298
59,0.365397,0.348614
60,0.366883,0.349739
61,0.367975,0.352103
62,0.367802,0.351023
63,0.366892,0.352317
64,0.368491,0.352727
65,0.371956,0.358321
66,0.368589,0.354281
67,0.370773,0.354715
68,0.369274,0.354731
69,0.369069,0.352999
70,0.371594,0.356627
71,0.370632,0.358558
72,0.370319,0.357382
73,0.368431,0.357350
74,0.370837,0.364195
75,0.372831,0.367838
76,0.369162,0.359386
77,0.367584,0.359940
78,0.368039,0.360831
79,0.366135,0.356219
80,0.365194,0.356082
81,0.365624,0.355571
82,0.366203,0.354674
83,0.365373,0.353498
84,0.363528,0.348910
85,0.365482,0.351317
86,0.363495,0.349027
87,0.363144,0.346099
88,0.364333,0.346887
89,0.363847,0.346507
90,0.364533,0.346503
91,0.362624,0.341851
92,0.361479,0.343168
93,0.359939,0.340566
94,0.358090,0.334751
95,0.357806,0.336686
96,0.359776,0.339468
97,0.362937,0.342545
98,0.368581,0.349782
99,0.370716,0.353620
100,0.373306,0.358917
101,0.375423,0.364330
102,0.379242,0.371676
103,0.381078,0.376256
104,0.383731,0.378905
105,0.385421,0.381759
106,0.386965,0.386333
107,0.388935,0.390359
108,0.389287,0.394816
109,0.391896,0.401556
110,0.392996,0.404591
111,0.393931,0.408094
112,0.392747,0.408282
113,0.394209,0.410217
114,0.395144,0.413828
115,0.396252,0.417030
116,0.395779,0.420828
117,0.396619,0.422771
118,0.397813,0.423766
119,0.398883,0.423735
120,0.398186,0.425779
121,0.398264,0.424953
122,0.400105,0.427926
123,0.399886,0.428227
124,0.399741,0.429574
125,0.399654,0.426659
126,0.399419,0.425049
127,0.398630,0.423952
128,0.398625,0.424098
129,0.398800,0.424997
130,0.398900,0.425578
131,0.399609,0.426956
132,0.399620,0.425432
133,0.399539,0.426169
134,0.399468,0.424650
135,0.399493,0.424520
136,0.399299,0.425278
137,0.398582,0.423083
138,0.399053,0.423205
139,0.399054,0.422876
140,0.399187,0.423294
141,0.400085,0.424434
142,0.399758,0.423604
143,0.399683,0.423999
144,0.400360,0.424837
145,0.400984,0.423752
146,0.399643,0.423355
147,0.398016,0.422655
148,0.398797,0.423272
149,0.399125,0.425173
150,0.399435,0.425828
151,0.398540,0.421783
152,0.400171,0.423315
153,0.400385,0.424273
154,0.402667,0.427583
155,0.401860,0.425787
156,0.399787,0.423287
157,0.399304,0.423924
158,0.400181,0.423670
159,0.400545,0.424915
160,0.400189,0.425276
161,0.400788,0.426390
162,0.402038,0.427731
163,0.400074,0.424780
164,0.400095,0.424329
165,0.400803,0.426031
166,0.407795,0.436551
167,0.404978,0.433878
168,0.405577,0.436256
169,0.402847,0.432139
170,0.402943,0.432347
171,0.403699,0.433434
172,0.401722,0.430023
173,0.402840,0.431845
174,0.398137,0.425312
175,0.400584,0.428619
176,0.398856,0.423774
177,0.397879,0.420910
178,0.398450,0.423997
179,0.399647,0.424179
180,0.396952,0.415388
181,0.396633,0.413012
182,0.397002,0.411824
183,0.396728,0.412761
184,0.395609,0.411785
185,0.396179,0.409131
186,0.396764,0.409195
187,0.392123,0.401929
188,0.392231,0.400397
189,0.390912,0.398037
190,0.389044,0.394747
191,0.390443,0.395025
