epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.440000,0.440000,1.000000,0.550579,0.550579,0.000000,0.000000,0.681223,0.541361
1,0.422870,0.422870,1.000000,0.541216,0.541216,0.000000,0.000000,0.668212,0.533566
2,0.416789,0.416789,1.000000,0.540787,0.540787,0.000000,0.000000,0.664150,0.533173
3,0.413000,0.413000,1.000000,0.541714,0.541714,0.000000,0.000000,0.663914,0.534123
4,0.410835,0.410835,1.000000,0.543905,0.543905,0.000000,0.000000,0.663443,0.535834
5,0.409368,0.409368,1.000000,0.539884,0.539884,0.000000,0.000000,0.658906,0.532370
6,0.408143,0.408143,1.000000,0.541373,0.541373,0.000000,0.000000,0.658789,0.533690
7,0.407050,0.407050,1.000000,0.539664,0.539664,0.000000,0.000000,0.652939,0.531631
8,0.406062,0.406062,1.000000,0.539081,0.539081,0.000000,0.000000,0.655553,0.531623
9,0.405231,0.405231,1.000000,0.536845,0.536845,0.000000,0.000000,0.651824,0.528984
10,0.404492,0.404492,1.000000,0.541252,0.541252,0.000000,0.000000,0.653199,0.532649
11,0.403903,0.403903,1.000000,0.541751,0.541751,0.000000,0.000000,0.650684,0.532662
12,0.403459,0.403459,1.000000,0.542020,0.542020,0.000000,0.000000,0.653942,0.532551
13,0.400005,0.400005,1.000000,0.538992,0.538992,0.000000,0.000000,0.650376,0.530223
14,0.399488,0.399488,1.000000,0.539762,0.539762,0.000000,0.000000,0.651936,0.531280
15,0.399327,0.399327,1.000000,0.538645,0.538645,0.000000,0.000000,0.650017,0.529982
16,0.398992,0.398992,1.000000,0.540574,0.540574,0.000000,0.000000,0.653063,0.531847
17,0.398665,0.398665,1.000000,0.540609,0.540609,0.000000,0.000000,0.652795,0.531847
18,0.398516,0.398516,1.000000,0.539924,0.539924,0.000000,0.000000,0.651888,0.531284
