epoch,train_loss,train_ce,train_rec,train_distill,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.549630,0.441075,0.906310,0.039900,0.595805,0.549553,0.747776,0.081162,0.682209,0.541380
1,0.469262,0.422898,0.621599,0.080792,0.549263,0.543232,0.569082,0.126819,0.671704,0.535571
2,0.422659,0.417181,0.440658,0.105173,0.521589,0.546382,0.440127,0.143347,0.674226,0.538115
3,0.404022,0.413840,0.371762,0.115558,0.512819,0.545030,0.406983,0.155039,0.669152,0.536728
4,0.395166,0.411636,0.341049,0.119964,0.508183,0.551212,0.366799,0.160820,0.675858,0.543414
5,0.388134,0.410113,0.315917,0.126655,0.495151,0.540590,0.345851,0.166133,0.660160,0.532821
6,0.381244,0.408807,0.290679,0.127689,0.491902,0.544743,0.318279,0.175608,0.663812,0.537776
7,0.375873,0.407467,0.272064,0.133091,0.488722,0.540940,0.317152,0.175747,0.655849,0.534214
8,0.371766,0.406084,0.259008,0.129334,0.480500,0.538543,0.289787,0.177716,0.655275,0.532117
9,0.368780,0.404765,0.250542,0.132285,0.479495,0.539231,0.283217,0.180888,0.657536,0.532983
10,0.364687,0.403818,0.236112,0.125883,0.478991,0.543934,0.265607,0.166120,0.661136,0.537952
11,0.361398,0.402821,0.225291,0.120980,0.476326,0.541026,0.263738,0.158292,0.657163,0.534672
