step,mae,mse
0,0.148495,0.054182
1,0.176082,0.075379
2,0.197087,0.094432
3,0.218014,0.114232
4,0.232348,0.131778
5,0.244884,0.147379
6,0.256356,0.163159
7,0.267518,0.178868
8,0.276272,0.191470
9,0.286360,0.205464
10,0.294563,0.217978
11,0.301976,0.229686
12,0.308683,0.240660
13,0.315669,0.252546
14,0.321744,0.263024
15,0.326775,0.273245
16,0.331683,0.282545
17,0.334436,0.288736
18,0.337316,0.294682
19,0.341780,0.301925
20,0.344796,0.307218
21,0.348217,0.312809
22,0.350478,0.316894
23,0.351577,0.320373
24,0.352398,0.323412
25,0.353793,0.326273
26,0.354871,0.328124
27,0.356697,0.331751
28,0.357431,0.334654
29,0.357234,0.335026
30,0.358689,0.336998
31,0.358870,0.339285
32,0.359472,0.340120
33,0.359921,0.340591
34,0.361400,0.341458
35,0.361865,0.342593
36,0.362466,0.343713
37,0.363226,0.344320
38,0.361530,0.342841
39,0.363425,0.344457
40,0.363638,0.344660
41,0.364455,0.344667
42,0.364185,0.344283
43,0.362924,0.343546
44,0.364179,0.344660
45,0.363432,0.344082
46,0.364825,0.344747
47,0.366667,0.345368
48,0.366516,0.345400
49,0.366672,0.345176
50,0.367114,0.345074
51,0.365247,0.343225
52,0.366689,0.344759
53,0.368477,0.345760
54,0.366700,0.344215
55,0.364546,0.342469
56,0.363745,0.342596
57,0.362946,0.341029
58,0.363407,0.341144
59,0.362780,0.340707
60,0.364500,0.341938
61,0.364400,0.341725
62,0.365447,0.342604
63,0.364721,0.342203
64,0.363857,0.342690
65,0.364708,0.343626
66,0.365925,0.345662
67,0.364110,0.344339
68,0.362596,0.342758
69,0.362629,0.341503
70,0.362196,0.340631
71,0.361754,0.341381
72,0.362650,0.340621
73,0.363672,0.342618
74,0.364801,0.343133
75,0.365100,0.342750
76,0.365085,0.342634
77,0.363973,0.340863
78,0.363508,0.339100
79,0.362351,0.339148
80,0.362912,0.340561
81,0.364377,0.339137
82,0.361872,0.337148
83,0.361539,0.336819
84,0.361358,0.335017
85,0.360088,0.335869
86,0.359404,0.332698
87,0.359297,0.332031
88,0.358545,0.331862
89,0.359288,0.330654
90,0.359417,0.331319
91,0.355781,0.326310
92,0.356725,0.328933
93,0.354845,0.326509
94,0.357486,0.326990
95,0.354887,0.325274
96,0.357006,0.328049
97,0.361596,0.333797
98,0.365601,0.340113
99,0.368433,0.345134
100,0.371875,0.350254
101,0.374086,0.354980
102,0.376734,0.360605
103,0.377673,0.365569
104,0.381508,0.371655
105,0.383929,0.376474
106,0.385845,0.379471
107,0.386745,0.382157
108,0.387409,0.385896
109,0.389419,0.389716
110,0.391238,0.393669
111,0.393036,0.397728
112,0.394737,0.400915
113,0.394249,0.402593
114,0.394165,0.405407
115,0.395516,0.407637
116,0.395453,0.408863
117,0.395696,0.410448
118,0.396142,0.411833
119,0.396923,0.413011
120,0.397646,0.413537
121,0.397816,0.414436
122,0.397484,0.414425
123,0.399110,0.415775
124,0.398355,0.415003
125,0.397850,0.415426
126,0.398109,0.415877
127,0.398142,0.416570
128,0.398312,0.415453
129,0.398587,0.416754
130,0.398510,0.415749
131,0.398656,0.416316
132,0.399621,0.417728
133,0.398744,0.414903
134,0.397964,0.415448
135,0.398499,0.415275
136,0.398370,0.415948
137,0.399748,0.415645
138,0.398309,0.414979
139,0.398020,0.414648
140,0.397809,0.414853
141,0.397665,0.414337
142,0.397278,0.413726
143,0.397486,0.414603
144,0.397400,0.414082
145,0.398637,0.417220
146,0.399632,0.417490
147,0.400620,0.417501
148,0.398204,0.414165
149,0.398417,0.414727
150,0.397401,0.414644
151,0.397730,0.414830
152,0.397206,0.414269
153,0.397455,0.413651
154,0.396842,0.413143
155,0.398443,0.417077
156,0.398482,0.415000
157,0.397268,0.414251
158,0.397976,0.415225
159,0.399454,0.416977
160,0.399763,0.417909
161,0.398131,0.417442
162,0.398694,0.419952
163,0.397931,0.417859
164,0.398668,0.422802
165,0.398404,0.422775
166,0.396596,0.418204
167,0.397574,0.418550
168,0.398012,0.417599
169,0.399654,0.420467
170,0.398056,0.415783
171,0.400256,0.417125
172,0.398061,0.414029
173,0.396603,0.411921
174,0.396875,0.412366
175,0.396425,0.410729
176,0.396715,0.410336
177,0.396301,0.409208
178,0.394737,0.404602
179,0.393798,0.402541
180,0.393946,0.401672
181,0.392388,0.398795
182,0.391334,0.398529
183,0.391638,0.396455
184,0.391668,0.396908
185,0.390774,0.394722
186,0.391404,0.393010
187,0.388969,0.390778
188,0.388079,0.388039
189,0.387937,0.386523
190,0.385811,0.381121
191,0.385511,0.381031
192,0.385910,0.378185
193,0.388590,0.383237
194,0.391715,0.387672
195,0.394038,0.389335
196,0.397605,0.395306
197,0.399291,0.396770
198,0.402012,0.400807
199,0.402331,0.399564
200,0.404749,0.404308
201,0.405263,0.405122
202,0.405818,0.406098
203,0.406185,0.406038
204,0.407592,0.408158
205,0.410498,0.414446
206,0.410952,0.414409
207,0.412610,0.416699
208,0.412809,0.418019
209,0.413582,0.419758
210,0.415721,0.422475
211,0.414056,0.420465
212,0.414118,0.421692
213,0.414962,0.422872
214,0.415281,0.423311
215,0.415719,0.424018
216,0.416191,0.424462
217,0.416421,0.424796
218,0.415160,0.424152
219,0.416475,0.425060
220,0.416196,0.424483
221,0.415849,0.424511
222,0.416222,0.423852
223,0.416113,0.423996
224,0.416384,0.425507
225,0.416511,0.425561
226,0.417760,0.425958
227,0.418659,0.426992
228,0.417239,0.425197
229,0.417584,0.426040
230,0.418791,0.426491
231,0.417518,0.425234
232,0.418552,0.426934
233,0.418312,0.426633
234,0.417731,0.426061
235,0.417299,0.426188
236,0.417741,0.427745
237,0.417913,0.427187
238,0.416698,0.425268
239,0.417542,0.426576
240,0.417812,0.426765
241,0.417143,0.425614
242,0.417024,0.424904
243,0.417004,0.425443
244,0.416578,0.424374
245,0.416092,0.423931
246,0.417030,0.425289
247,0.416876,0.426021
248,0.415576,0.422406
249,0.417043,0.424569
250,0.416348,0.425002
251,0.417220,0.425498
252,0.417670,0.425311
253,0.417828,0.425236
254,0.419504,0.426608
255,0.420397,0.427709
256,0.418700,0.425482
257,0.418165,0.425612
258,0.417828,0.425794
259,0.416598,0.424806
260,0.417287,0.425133
261,0.416661,0.424413
262,0.418657,0.426986
263,0.416325,0.424189
264,0.416088,0.423202
265,0.415395,0.423781
266,0.415415,0.422756
267,0.414005,0.421363
268,0.414012,0.421408
269,0.413982,0.420778
270,0.414189,0.421221
271,0.414304,0.421252
272,0.414456,0.421297
273,0.414293,0.421817
274,0.415242,0.421696
275,0.414969,0.419798
276,0.412645,0.417137
277,0.412341,0.416741
278,0.412876,0.416106
279,0.410754,0.412693
280,0.409975,0.412223
281,0.409611,0.410548
282,0.408851,0.409686
283,0.409727,0.408802
284,0.408415,0.407092
285,0.406681,0.406303
286,0.405640,0.404988
287,0.404994,0.405203
288,0.405823,0.407843
289,0.408119,0.411756
290,0.410592,0.415816
291,0.412796,0.421268
292,0.414391,0.424638
293,0.417697,0.430955
294,0.417969,0.433730
295,0.419528,0.437513
296,0.420261,0.440303
297,0.421223,0.441303
298,0.422906,0.445555
299,0.423847,0.448234
300,0.425942,0.449866
301,0.426788,0.451974
302,0.428515,0.455358
303,0.430050,0.458420
304,0.430572,0.459289
305,0.431589,0.462398
306,0.429712,0.461613
307,0.433144,0.465585
308,0.432438,0.464817
309,0.435462,0.469973
310,0.433763,0.468975
311,0.434117,0.471129
312,0.434962,0.472268
313,0.435794,0.472660
314,0.434589,0.471172
315,0.435669,0.473177
316,0.439602,0.476471
317,0.438172,0.475754
318,0.439345,0.476899
319,0.437322,0.475783
320,0.438582,0.480198
321,0.438796,0.478228
322,0.439881,0.477661
323,0.439805,0.477840
324,0.437539,0.475062
325,0.438343,0.475035
326,0.438059,0.473402
327,0.437563,0.473615
328,0.437955,0.474048
329,0.437232,0.473537
330,0.437325,0.472925
331,0.437553,0.475056
332,0.438098,0.475364
333,0.437846,0.476449
334,0.438658,0.478408
335,0.438598,0.477741
