epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.422711,0.422711,1.000000,0.536305,0.536305,0.000000,0.000000,0.673016,0.536380
1,0.408509,0.408509,1.000000,0.539667,0.539667,0.000000,0.000000,0.669503,0.539673
2,0.403815,0.403815,1.000000,0.541503,0.541503,0.000000,0.000000,0.669748,0.541496
3,0.400927,0.400927,1.000000,0.537534,0.537534,0.000000,0.000000,0.662325,0.537530
4,0.396381,0.396381,1.000000,0.536022,0.536022,0.000000,0.000000,0.661130,0.536057
5,0.395338,0.395338,1.000000,0.536510,0.536510,0.000000,0.000000,0.661344,0.536440
6,0.394944,0.394944,1.000000,0.535693,0.535693,0.000000,0.000000,0.660689,0.535671
7,0.394554,0.394554,1.000000,0.536334,0.536334,0.000000,0.000000,0.661777,0.536312
8,0.394187,0.394187,1.000000,0.536384,0.536384,0.000000,0.000000,0.661075,0.536382
9,0.393935,0.393935,1.000000,0.537231,0.537231,0.000000,0.000000,0.662456,0.537292
